seed,fold,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix,elapsed_seconds
42,1,252,64,0.876984126984127,0.78125,0.78125,0.7793103448275862,0.49096948404121366,"[[28, 4], [10, 22]]",0.030780915869399905
42,2,252,64,0.8809523809523809,0.796875,0.796875,0.7964276975776854,0.44772353511087065,"[[27, 5], [8, 24]]",0.017035749973729253
42,3,253,63,0.8774703557312253,0.7936507936507936,0.7933467741935484,0.7934426229508197,0.45165197575628624,"[[26, 6], [7, 24]]",0.01514120795764029
42,4,253,63,0.849802371541502,0.8253968253968254,0.826108870967742,0.825220680958386,0.40221066018176904,"[[25, 7], [4, 27]]",0.016902040923014283
42,5,254,62,0.8700787401574803,0.7903225806451613,0.7903225806451613,0.7898305084745763,0.45179678583578103,"[[23, 8], [5, 26]]",0.017499333014711738
43,1,252,64,0.873015873015873,0.765625,0.765625,0.7655677655677655,0.4997494761226311,"[[24, 8], [7, 25]]",0.018008625134825706
43,2,252,64,0.873015873015873,0.78125,0.78125,0.7810361681329423,0.46811623925663043,"[[24, 8], [6, 26]]",0.015534209087491035
43,3,253,63,0.8695652173913043,0.746031746031746,0.7454637096774194,0.7454545454545454,0.469886416141023,"[[25, 7], [9, 22]]",0.021417667157948017
43,4,253,63,0.8774703557312253,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4096550889183611,"[[24, 8], [6, 25]]",0.01796479197219014
43,5,254,62,0.8582677165354331,0.7903225806451613,0.7903225806451613,0.7902680197762164,0.39837579454968036,"[[25, 6], [7, 24]]",0.017679166980087757
44,1,252,64,0.8650793650793651,0.8125,0.8125,0.8123167155425219,0.45785145274919653,"[[25, 7], [5, 27]]",0.017418624833226204
44,2,252,64,0.876984126984127,0.734375,0.734375,0.7343101343101344,0.4603041620851502,"[[24, 8], [9, 23]]",0.015560165978968143
44,3,253,63,0.857707509881423,0.8095238095238095,0.8109879032258065,0.808316430020284,0.4480112893620142,"[[23, 9], [3, 28]]",0.01751933293417096
44,4,253,63,0.8932806324110671,0.7142857142857143,0.7121975806451613,0.7083333333333333,0.5813587792909278,"[[27, 5], [13, 18]]",0.015476166969165206
44,5,254,62,0.8661417322834646,0.8709677419354839,0.8709677419354839,0.8708333333333333,0.33722061918539775,"[[28, 3], [5, 26]]",0.017700124997645617
