epoch,seed,candidate_minus_feature_accuracy,feature_only_correct,eegnet_only_correct,both_correct,both_wrong,mcnemar_exact_p
20,42,-0.01898734177215189,49,43,134,90,0.6024122776961505
30,42,-0.006329113924050556,48,46,135,87,0.9179230673157438
40,42,0.0,51,51,132,82,1.0
50,42,-0.01898734177215189,55,49,128,84,0.624143515844679
60,42,0.006329113924050667,51,53,132,80,0.921948827626431
20,43,-0.02848101265822789,60,51,131,74,0.44780613214374815
30,43,-0.015822784810126556,57,52,134,73,0.701811182064683
40,43,-0.015822784810126556,58,53,133,72,0.704379315424892
50,43,-0.009493670886076,55,52,136,73,0.8468020751891947
60,43,-0.03164556962025311,61,51,130,74,0.39519335735782307
20,44,-0.0031645569620252223,50,49,132,85,1.0
30,44,-0.006329113924050556,52,50,130,84,0.9211910492538715
40,44,-0.012658227848101222,52,48,130,86,0.7643534344026671
50,44,0.044303797468354444,48,62,134,72,0.21497653774329675
60,44,0.015822784810126667,52,57,130,77,0.701811182064683
