accuracy,balanced_accuracy,macro_f1,confusion_matrix,seed,epoch,validation_loss
0.48417721518987344,0.48666025718062733,0.39207100452040083,"[[15, 144], [19, 138]]",42,1,0.7045775064436964
0.49050632911392406,0.4930296839322197,0.39599434887393004,"[[15, 144], [17, 140]]",42,2,0.7020586294239436
0.5,0.5025037054841165,0.4089962121212121,"[[17, 142], [16, 141]]",42,3,0.7001568484151311
0.4873417721518987,0.48956455554220246,0.4166552714344319,"[[22, 137], [25, 132]]",42,4,0.698236977639872
0.4936708860759494,0.49557344870408204,0.44451768842012745,"[[31, 128], [32, 125]]",42,5,0.6967599134679027
0.5189873417721519,0.5207306814084846,0.48051049102314514,"[[39, 120], [32, 125]]",42,6,0.6941495711868462
0.5569620253164557,0.5584264711773425,0.53270238296434,"[[52, 107], [33, 124]]",42,7,0.6917473279095738
0.5537974683544303,0.5550014020750711,0.5376809338521401,"[[58, 101], [40, 117]]",42,8,0.6913552374246651
0.5727848101265823,0.5736690301646437,0.5647249686246901,"[[69, 90], [45, 112]]",42,9,0.6911794906791195
0.5822784810126582,0.5830228738533029,0.5767857142857142,"[[74, 85], [47, 110]]",42,10,0.6891472137030874
0.5822784810126582,0.5829026959900653,0.578479324144064,"[[77, 82], [50, 107]]",42,11,0.6863829266450213
0.5791139240506329,0.5795978047510315,0.5768723509217031,"[[80, 79], [54, 103]]",42,12,0.6860170622824847
0.5886075949367089,0.5889516484396907,0.587550200803213,"[[85, 74], [56, 101]]",42,13,0.6867888487464322
0.5822784810126582,0.5825822216880984,0.5814569536423841,"[[85, 74], [58, 99]]",42,14,0.6849711708327744
0.5822784810126582,0.5826222809758442,0.5812048192771084,"[[84, 75], [57, 100]]",42,15,0.6826550121976422
0.5727848101265823,0.5733084965749309,0.5700940230371557,"[[78, 81], [54, 103]]",42,16,0.687642095830018
0.5854430379746836,0.5858871129271321,0.583604083890761,"[[82, 77], [54, 103]]",42,17,0.6894444050810465
0.5949367088607594,0.5951207787525538,0.5946769280102613,"[[90, 69], [59, 98]]",42,18,0.6870151633300909
0.5727848101265823,0.5729079036974722,0.5726778255251375,"[[88, 71], [64, 93]]",42,19,0.6855827180165698
0.560126582278481,0.5604895244962544,0.558849819719385,"[[80, 79], [60, 97]]",42,20,0.6877061416418881
0.5822784810126582,0.5824620438248608,0.5820105820105821,"[[88, 71], [61, 96]]",42,21,0.6821236596502439
0.5759493670886076,0.5761326763610143,0.5756774090107424,"[[87, 72], [62, 95]]",42,22,0.6848298416969687
0.560126582278481,0.5604094059207627,0.5593808620983678,"[[82, 77], [62, 95]]",42,23,0.6873772768578255
0.5727848101265823,0.5730681408484557,0.5720605495199976,"[[84, 75], [60, 97]]",42,24,0.6835188803025569
0.5917721518987342,0.5919761246645034,0.5914407416687547,"[[89, 70], [59, 98]]",42,25,0.6802859727862887
0.5759493670886076,0.5761326763610143,0.5756774090107424,"[[87, 72], [62, 95]]",42,26,0.6848612718459565
0.5632911392405063,0.5634338821455754,0.5631336405529954,"[[86, 73], [65, 92]]",42,27,0.6860736322741278
0.5949367088607594,0.5950807194648079,0.5947906231216189,"[[91, 68], [60, 97]]",42,28,0.6860465914387336
0.5759493670886076,0.5762929135119977,0.574859437751004,"[[83, 76], [58, 99]]",42,29,0.6899209072100299
0.5727848101265823,0.572988022272964,0.5724379854673014,"[[86, 73], [62, 95]]",42,30,0.6825197055604729
0.569620253164557,0.5698834274726595,0.5689987163029526,"[[84, 75], [61, 96]]",42,31,0.6849085275253375
0.5727848101265823,0.5730280815607098,0.57226650624154,"[[85, 74], [61, 96]]",42,32,0.6857720049584528
0.5791139240506329,0.5793574490245563,0.5786032987416655,"[[86, 73], [60, 97]]",42,33,0.6839052937702866
0.5569620253164557,0.5572246925449665,0.5563222079589216,"[[82, 77], [63, 94]]",42,34,0.6843042135567525
0.5759493670886076,0.5762929135119977,0.574859437751004,"[[83, 76], [58, 99]]",42,35,0.692868324868589
0.5632911392405063,0.5633938228578296,0.5632211538461539,"[[87, 72], [66, 91]]",42,36,0.6925699819178861
0.5854430379746836,0.5855265793374194,0.5854056706761345,"[[91, 68], [63, 94]]",42,37,0.6819733457205301
0.5917721518987342,0.5918559468012659,0.5917353550932928,"[[92, 67], [62, 95]]",42,38,0.6844662077148534
0.5822784810126582,0.5825421624003525,0.5816752246469833,"[[86, 73], [59, 98]]",42,39,0.6858496013137803
0.5791139240506329,0.5791170932980811,0.5791097090781634,"[[92, 67], [66, 91]]",42,40,0.6865871091249237
0.6044303797468354,0.6046348595921964,0.6041092458030568,"[[91, 68], [57, 100]]",42,41,0.6887699767692829
0.5854430379746836,0.585646757200657,0.5851064896016036,"[[88, 71], [60, 97]]",42,42,0.6815439644955041
0.6044303797468354,0.6046348595921964,0.6041092458030568,"[[91, 68], [57, 100]]",42,43,0.6889851159311513
0.560126582278481,0.5601289909065417,0.5601221771568775,"[[89, 70], [69, 88]]",42,44,0.6936206261262631
0.5537974683544303,0.553839682730441,0.5537929998497823,"[[87, 72], [69, 88]]",42,45,0.69057192243539
0.5759493670886076,0.5761326763610143,0.5756774090107424,"[[87, 72], [62, 95]]",42,46,0.6894260249634236
0.5664556962025317,0.5666586548091175,0.5661037334001504,"[[85, 74], [63, 94]]",42,47,0.6972183399710297
0.5854430379746836,0.5857268757761487,0.5847402369416272,"[[86, 73], [58, 99]]",42,48,0.6826228039670161
0.5727848101265823,0.5729079036974722,0.5726778255251375,"[[88, 71], [64, 93]]",42,49,0.6845382607048673
0.560126582278481,0.5602892280575251,0.5599106275110965,"[[85, 74], [65, 92]]",42,50,0.6964321233671944
0.5664556962025317,0.5666185955213716,0.5662428486979871,"[[86, 73], [64, 93]]",42,51,0.6856887745496812
0.5886075949367089,0.5889917077274366,0.5872684161877586,"[[84, 75], [55, 102]]",42,52,0.6969062385702788
0.5854430379746836,0.585646757200657,0.5851064896016036,"[[88, 71], [60, 97]]",42,53,0.6937242166608297
0.5727848101265823,0.5728277851219805,0.5727805317710679,"[[90, 69], [66, 91]]",42,54,0.6951520620162381
0.5727848101265823,0.572988022272964,0.5724379854673014,"[[86, 73], [62, 95]]",42,55,0.6851148442664035
0.5569620253164557,0.5570644553939831,0.5568910256410257,"[[86, 73], [67, 90]]",42,56,0.6920248889765616
0.5759493670886076,0.5760124984977767,0.5759323799222849,"[[90, 69], [65, 92]]",42,57,0.6903810081642751
0.5854430379746836,0.5857669350638945,0.5845068302034508,"[[85, 74], [57, 100]]",42,58,0.7000523055013858
0.5791139240506329,0.579157152585827,0.5791097090781634,"[[91, 68], [65, 92]]",42,59,0.6989702856032902
0.5854430379746836,0.5858069943516404,0.5842397581528016,"[[84, 75], [56, 101]]",42,60,0.6970611070409396
0.5063291139240507,0.5057485077915315,0.5018392012611665,"[[95, 64], [92, 65]]",43,1,0.6982050967015362
0.49683544303797467,0.49639466410287225,0.49415566764323904,"[[90, 69], [90, 67]]",43,2,0.6954793456132348
0.49050632911392406,0.4901053559267716,0.48824624050696575,"[[88, 71], [90, 67]]",43,3,0.692534514474566
0.4778481012658228,0.4776068581500621,0.47696289385777485,"[[82, 77], [88, 69]]",43,4,0.689946779805216
