accuracy,balanced_accuracy,macro_f1,confusion_matrix,seed,epoch,validation_loss
0.5189873417721519,0.5190882506109041,0.5189102564102565,"[[80, 79], [73, 84]]",42,1,0.7354851744798309
0.5474683544303798,0.547670552417578,0.547100977198697,"[[82, 77], [66, 91]]",42,2,0.7146479313403038
0.5632911392405063,0.5636742378720506,0.5618695494916208,"[[80, 79], [59, 98]]",42,3,0.7093712416918749
0.569620253164557,0.5698433681849137,0.5691888207225629,"[[85, 74], [62, 95]]",42,4,0.7070885785438936
0.5664556962025317,0.5666586548091175,0.5661037334001504,"[[85, 74], [63, 94]]",42,5,0.7044915062605321
0.5537974683544303,0.5537996234426952,0.5537929998497821,"[[88, 71], [70, 87]]",42,6,0.6986674208627951
0.5537974683544303,0.5538797420181869,0.5537572485903433,"[[86, 73], [68, 89]]",42,7,0.6976015505163577
0.5537974683544303,0.553839682730441,0.5537929998497823,"[[87, 72], [69, 88]]",42,8,0.692930442733266
0.5632911392405063,0.5633137042823378,0.5632911392405063,"[[89, 70], [68, 89]]",42,9,0.6880533649645726
0.5569620253164557,0.5569442775307455,0.5569442775307455,"[[89, 70], [70, 87]]",42,10,0.689885979858564
0.5854430379746836,0.5855265793374194,0.5854056706761345,"[[91, 68], [63, 94]]",42,11,0.6903924501205744
0.5791139240506329,0.5792372711613187,0.5790085244062466,"[[89, 70], [63, 94]]",42,12,0.6911045416559075
0.5759493670886076,0.5760525577855226,0.5758814102564103,"[[89, 70], [64, 93]]",42,13,0.690166885840872
0.6012658227848101,0.6014100869286544,0.6011220196353436,"[[92, 67], [59, 98]]",42,14,0.6890191024828768
0.6075949367088608,0.6077795136802467,0.6073432740099407,"[[92, 67], [57, 100]]",42,15,0.6873703513789041
0.6044303797468354,0.6045547410167047,0.6043313199306828,"[[93, 66], [59, 98]]",42,16,0.6873655237037517
0.5854430379746836,0.5854865200496735,0.5854388863852586,"[[92, 67], [64, 93]]",42,17,0.684690868908364
0.5632911392405063,0.563273644994592,0.563273644994592,"[[90, 69], [69, 88]]",42,18,0.6860895813904336
0.5917721518987342,0.59181588751352,0.5917680636923539,"[[93, 66], [63, 94]]",42,19,0.6846523446908115
0.5791139240506329,0.5793574490245563,0.5786032987416655,"[[86, 73], [60, 97]]",42,20,0.6832834172107306
0.5917721518987342,0.5920161839522493,0.591276883741916,"[[88, 71], [58, 99]]",42,21,0.6829197031148626
0.5886075949367089,0.5888314705764531,0.5881951962789205,"[[88, 71], [59, 98]]",42,22,0.6812247043278902
0.5886075949367089,0.5887914112887073,0.5883437550104217,"[[89, 70], [60, 97]]",42,23,0.6822830008118945
0.5886075949367089,0.5888314705764531,0.5881951962789205,"[[88, 71], [59, 98]]",42,24,0.6835203682829741
0.6012658227848101,0.6014501462164002,0.601010101010101,"[[91, 68], [58, 99]]",42,25,0.6859635254668041
0.6012658227848101,0.6014100869286544,0.6011220196353436,"[[92, 67], [59, 98]]",42,26,0.6872908310615038
0.5981012658227848,0.5981452549773665,0.5980972409994492,"[[94, 65], [62, 95]]",42,27,0.6860285516239679
0.6012658227848101,0.6014902055041461,0.6008661133164922,"[[90, 69], [57, 100]]",42,28,0.6881129139779901
0.5886075949367089,0.5887513520009614,0.5884592266078942,"[[90, 69], [61, 96]]",42,29,0.6890192593997477
0.6012658227848101,0.6013700276409085,0.601201923076923,"[[93, 66], [60, 97]]",42,30,0.6885599109605798
0.5791139240506329,0.579157152585827,0.5791097090781634,"[[91, 68], [65, 92]]",42,31,0.6850654945575638
0.5917721518987342,0.5917758282257741,0.5917680636923539,"[[94, 65], [64, 93]]",42,32,0.6842050929704692
0.6075949367088608,0.6077394543925009,0.6074534161490683,"[[93, 66], [58, 99]]",42,33,0.683025848703509
0.6170886075949367,0.6172134759443977,0.616992717692901,"[[95, 64], [57, 100]]",42,34,0.6832668656627962
0.6044303797468354,0.6045547410167047,0.6043313199306828,"[[93, 66], [59, 98]]",42,35,0.6852861685625383
0.6075949367088608,0.6077394543925009,0.6074534161490683,"[[93, 66], [58, 99]]",42,36,0.6880922326312063
0.620253164556962,0.6203981893201939,0.6201162091765178,"[[95, 64], [56, 101]]",42,37,0.6855158422116747
0.6075949367088608,0.6077795136802467,0.6073432740099407,"[[92, 67], [57, 100]]",42,38,0.6817846505394652
0.5886075949367089,0.5887513520009614,0.5884592266078942,"[[90, 69], [61, 96]]",42,39,0.6820477215878713
0.5949367088607594,0.5950807194648079,0.5947906231216189,"[[91, 68], [60, 97]]",42,40,0.6834170595316937
0.6139240506329114,0.6141088811440932,0.6136764470097804,"[[93, 66], [56, 101]]",42,41,0.6851609404377367
0.6075949367088608,0.6077795136802467,0.6073432740099407,"[[92, 67], [57, 100]]",42,42,0.6813164158489375
0.6170886075949367,0.6173336538076353,0.6166240537424175,"[[92, 67], [54, 103]]",42,43,0.6825339517646394
0.6107594936708861,0.6109642270560429,0.6104434978702079,"[[92, 67], [56, 101]]",42,44,0.6831614132500999
0.6075949367088608,0.6077394543925009,0.6074534161490683,"[[93, 66], [58, 99]]",42,45,0.6823474272600499
0.5981012658227848,0.5982654328406041,0.5979039546324407,"[[91, 68], [59, 98]]",42,46,0.6834214208023959
0.5981012658227848,0.5982654328406041,0.5979039546324407,"[[91, 68], [59, 98]]",42,47,0.6811443274509434
0.6075949367088608,0.6077795136802467,0.6073432740099407,"[[92, 67], [57, 100]]",42,48,0.6815846579118348
