accuracy,balanced_accuracy,macro_f1,confusion_matrix,model,seed,fold,training_cases,validation_cases,train_loss,train_accuracy,validation_loss
0.546875,0.546875,0.5458771715194519,"[[16, 16], [13, 19]]",feature_linear,42,1,252,64,0.5695151979961093,0.7063492063492064,0.7213411927223206
0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]",feature_linear,42,2,252,64,0.587479485405816,0.6944444444444444,0.6089875102043152
0.6190476190476191,0.6219758064516129,0.6070686070686071,"[[14, 18], [6, 25]]",feature_linear,42,3,253,63,0.5761499668769685,0.691699604743083,0.6703255971272787
0.5238095238095238,0.5241935483870968,0.5236895161290323,"[[16, 16], [14, 17]]",feature_linear,42,4,253,63,0.5771900071456969,0.6996047430830039,0.7101983267163473
0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[16, 15], [13, 18]]",feature_linear,42,5,254,62,0.5872716903686523,0.6811023622047244,0.7065083596014208
0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]",feature_linear,43,1,252,64,0.5746735693916442,0.6944444444444444,0.6521924436092377
0.640625,0.640625,0.6398336187912894,"[[19, 13], [10, 22]]",feature_linear,43,2,252,64,0.5857230368114653,0.6666666666666666,0.6625383496284485
0.6349206349206349,0.6355846774193548,0.6345523329129886,"[[19, 13], [10, 21]]",feature_linear,43,3,253,63,0.5934832124370831,0.6837944664031621,0.6414716205899678
0.5555555555555556,0.5579637096774194,0.5462962962962963,"[[13, 19], [9, 22]]",feature_linear,43,4,253,63,0.5790471012884449,0.6798418972332015,0.6960193694583954
0.5806451612903226,0.5806451612903225,0.5766806722689075,"[[15, 16], [10, 21]]",feature_linear,43,5,254,62,0.5629067683783103,0.7047244094488189,0.6873811291110131
0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]",feature_linear,44,1,252,64,0.5965422827099996,0.6626984126984127,0.632472574710846
0.5625,0.5625,0.5625,"[[18, 14], [14, 18]]",feature_linear,44,2,252,64,0.5692660392276825,0.6984126984126984,0.7329773008823395
0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]",feature_linear,44,3,253,63,0.5622889326495144,0.6877470355731226,0.7056333451043992
0.5555555555555556,0.5559475806451613,0.5554435483870968,"[[17, 15], [13, 18]]",feature_linear,44,4,253,63,0.5765841751701747,0.7035573122529645,0.6806463514055524
0.5483870967741935,0.5483870967741935,0.5479166666666666,"[[18, 13], [15, 16]]",feature_linear,44,5,254,62,0.5678954049358218,0.6850393700787402,0.7410771769862021
0.578125,0.578125,0.5696139476961395,"[[14, 18], [9, 23]]",tiny_eegnet,42,1,252,64,0.6564867231580946,0.6190476190476191,0.673696905374527
0.640625,0.640625,0.6405372405372406,"[[20, 12], [11, 21]]",tiny_eegnet,42,2,252,64,0.6503457266186911,0.6468253968253969,0.6523174047470093
0.47619047619047616,0.47580645161290325,0.4756620428751577,"[[16, 16], [17, 14]]",tiny_eegnet,42,3,253,63,0.644805403094989,0.616600790513834,0.7095635732014974
