model,seed,fold,train_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
adamw_linear,42,1,252,64,0.7619047619047619,0.5,0.5,0.5,"[[16, 16], [16, 16]]"
logistic_l2,42,1,252,64,0.9087301587301587,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
ridge,42,1,252,64,0.9404761904761905,0.515625,0.515625,0.5145583557621727,"[[18, 14], [17, 15]]"
linear_svm,42,1,252,64,0.9880952380952381,0.578125,0.578125,0.5780219780219781,"[[19, 13], [14, 18]]"
adamw_linear,42,2,252,64,0.7341269841269841,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
logistic_l2,42,2,252,64,0.8928571428571429,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
ridge,42,2,252,64,0.9325396825396826,0.65625,0.65625,0.6549019607843137,"[[23, 9], [13, 19]]"
linear_svm,42,2,252,64,0.9880952380952381,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
adamw_linear,42,3,253,63,0.7351778656126482,0.6349206349206349,0.6376008064516129,0.6254846213491858,"[[15, 17], [6, 25]]"
logistic_l2,42,3,253,63,0.9051383399209486,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
ridge,42,3,253,63,0.9169960474308301,0.6666666666666666,0.6683467741935484,0.6636155606407322,"[[18, 14], [7, 24]]"
linear_svm,42,3,253,63,0.9723320158102767,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
adamw_linear,42,4,253,63,0.7114624505928854,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
logistic_l2,42,4,253,63,0.8893280632411067,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
ridge,42,4,253,63,0.924901185770751,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
linear_svm,42,4,253,63,0.9920948616600791,0.5714285714285714,0.5725806451612903,0.5696939033645332,"[[16, 16], [11, 20]]"
adamw_linear,42,5,254,62,0.7362204724409449,0.5967741935483871,0.5967741935483871,0.5966692688004163,"[[18, 13], [12, 19]]"
logistic_l2,42,5,254,62,0.9094488188976378,0.6290322580645161,0.6290322580645161,0.6266038229903117,"[[17, 14], [9, 22]]"
ridge,42,5,254,62,0.9212598425196851,0.532258064516129,0.532258064516129,0.5291961246399581,"[[14, 17], [12, 19]]"
linear_svm,42,5,254,62,0.9763779527559056,0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[17, 14], [12, 19]]"
adamw_linear,43,1,252,64,0.7301587301587301,0.640625,0.640625,0.6405372405372406,"[[21, 11], [12, 20]]"
logistic_l2,43,1,252,64,0.9087301587301587,0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]"
ridge,43,1,252,64,0.9285714285714286,0.609375,0.609375,0.6069761729304839,"[[17, 15], [10, 22]]"
linear_svm,43,1,252,64,0.9880952380952381,0.578125,0.578125,0.577195987276731,"[[17, 15], [12, 20]]"
adamw_linear,43,2,252,64,0.7222222222222222,0.578125,0.578125,0.5755342667649226,"[[16, 16], [11, 21]]"
logistic_l2,43,2,252,64,0.9246031746031746,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
ridge,43,2,252,64,0.9523809523809523,0.640625,0.640625,0.6333748443337484,"[[16, 16], [7, 25]]"
linear_svm,43,2,252,64,0.9920634920634921,0.640625,0.640625,0.6362737830491723,"[[17, 15], [8, 24]]"
adamw_linear,43,3,253,63,0.7470355731225297,0.5873015873015873,0.5877016129032258,0.5871975806451613,"[[18, 14], [12, 19]]"
logistic_l2,43,3,253,63,0.8695652173913043,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
ridge,43,3,253,63,0.924901185770751,0.7301587301587301,0.7303427419354839,0.7301587301587302,"[[23, 9], [8, 23]]"
linear_svm,43,3,253,63,0.9762845849802372,0.6349206349206349,0.6350806451612903,0.634920634920635,"[[20, 12], [11, 20]]"
adamw_linear,43,4,253,63,0.7154150197628458,0.6031746031746031,0.6053427419354839,0.5966709346991037,"[[15, 17], [8, 23]]"
logistic_l2,43,4,253,63,0.9130434782608695,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
ridge,43,4,253,63,0.9367588932806324,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
linear_svm,43,4,253,63,0.9960474308300395,0.5873015873015873,0.5866935483870968,0.5863636363636363,"[[20, 12], [14, 17]]"
adamw_linear,43,5,254,62,0.7637795275590551,0.5806451612903226,0.5806451612903225,0.5788923719958202,"[[16, 15], [11, 20]]"
logistic_l2,43,5,254,62,0.9173228346456693,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
ridge,43,5,254,62,0.937007874015748,0.5806451612903226,0.5806451612903225,0.5766806722689075,"[[15, 16], [10, 21]]"
linear_svm,43,5,254,62,0.9960629921259843,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
adamw_linear,44,1,252,64,0.7341269841269841,0.734375,0.734375,0.7290161892901619,"[[19, 13], [4, 28]]"
logistic_l2,44,1,252,64,0.9087301587301587,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
ridge,44,1,252,64,0.9404761904761905,0.65625,0.65625,0.6559139784946237,"[[20, 12], [10, 22]]"
linear_svm,44,1,252,64,0.9920634920634921,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
adamw_linear,44,2,252,64,0.7301587301587301,0.578125,0.578125,0.5780219780219781,"[[19, 13], [14, 18]]"
logistic_l2,44,2,252,64,0.8928571428571429,0.703125,0.703125,0.7013018914271678,"[[20, 12], [7, 25]]"
ridge,44,2,252,64,0.9365079365079365,0.59375,0.59375,0.5901477832512315,"[[16, 16], [10, 22]]"
linear_svm,44,2,252,64,0.9880952380952381,0.609375,0.609375,0.6046454163577959,"[[16, 16], [9, 23]]"
adamw_linear,44,3,253,63,0.7312252964426877,0.5555555555555556,0.5574596774193548,0.55,"[[14, 18], [10, 21]]"
logistic_l2,44,3,253,63,0.8932806324110671,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
ridge,44,3,253,63,0.9011857707509882,0.6666666666666666,0.6663306451612903,0.6663303909205549,"[[22, 10], [11, 20]]"
linear_svm,44,3,253,63,0.9604743083003953,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
adamw_linear,44,4,253,63,0.766798418972332,0.6190476190476191,0.6194556451612903,0.6189516129032258,"[[19, 13], [11, 20]]"
logistic_l2,44,4,253,63,0.8932806324110671,0.6666666666666666,0.6673387096774194,0.6663303909205549,"[[20, 12], [9, 22]]"
ridge,44,4,253,63,0.9565217391304348,0.6507936507936508,0.6507056451612903,0.6507056451612903,"[[21, 11], [11, 20]]"
linear_svm,44,4,253,63,0.9881422924901185,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
adamw_linear,44,5,254,62,0.7598425196850394,0.5,0.5,0.49986989331251624,"[[16, 15], [16, 15]]"
logistic_l2,44,5,254,62,0.9094488188976378,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
ridge,44,5,254,62,0.9251968503937008,0.6290322580645161,0.6290322580645161,0.6266038229903117,"[[22, 9], [14, 17]]"
linear_svm,44,5,254,62,0.9803149606299213,0.5806451612903226,0.5806451612903225,0.5788923719958202,"[[20, 11], [15, 16]]"
