seed,fold,train_cases,validation_cases,train_left,train_right,validation_left,validation_right,index_overlap,exact_signal_overlap,preprocessing_fit_cases
42,1,252,64,127,125,32,32,0,0,252
42,2,252,64,127,125,32,32,0,0,252
42,3,253,63,127,126,32,31,0,0,253
42,4,253,63,127,126,32,31,0,0,253
42,5,254,62,128,126,31,31,0,0,254
43,1,252,64,127,125,32,32,0,0,252
43,2,252,64,127,125,32,32,0,0,252
43,3,253,63,127,126,32,31,0,0,253
43,4,253,63,127,126,32,31,0,0,253
43,5,254,62,128,126,31,31,0,0,254
44,1,252,64,127,125,32,32,0,0,252
44,2,252,64,127,125,32,32,0,0,252
44,3,253,63,127,126,32,31,0,0,253
44,4,253,63,127,126,32,31,0,0,253
44,5,254,62,128,126,31,31,0,0,254
