source_index_a,source_index_b,label_a,label_b,correlation
113,129,0,1,0.9757497881794582
266,315,1,0,0.9669276417298214
113,163,0,1,0.9658162511251012
129,163,1,1,0.9647755224397073
129,201,1,0,0.9618709192446636
166,223,1,1,0.9612623431305385
83,227,1,0,0.959168266647043
43,265,0,0,0.9584674164475122
212,302,1,1,0.9581670829550523
192,212,0,1,0.9566326558706897
198,306,0,0,0.9565302067545116
86,262,1,1,0.9556790288719551
88,166,1,1,0.9553555544578395
272,288,0,1,0.9551465856869278
122,250,1,1,0.9542094274860686
271,285,0,0,0.95408340595585
59,144,0,1,0.9536914194879276
55,100,0,1,0.9534169077586503
202,294,0,0,0.9532235889565487
248,277,1,1,0.953218320739324
