kind,seed,permutation,balanced_accuracy
true_labels,42,0,0.6489804911268677
shuffled_labels,42,1,0.5380362937146977
shuffled_labels,42,2,0.47776709530104555
shuffled_labels,42,3,0.4650683010856067
shuffled_labels,42,4,0.5157833593718704
shuffled_labels,42,5,0.51263870528382
shuffled_labels,42,6,0.45260986259664304
shuffled_labels,42,7,0.5474301966911028
shuffled_labels,42,8,0.5254576773624965
shuffled_labels,42,9,0.534731402475664
shuffled_labels,42,10,0.5633537635700837
true_labels,43,0,0.6268076753595321
shuffled_labels,43,1,0.5125986459960742
shuffled_labels,43,2,0.5601289909065417
shuffled_labels,43,3,0.5065096342587029
shuffled_labels,43,4,0.4683331330368946
shuffled_labels,43,5,0.4715178464126908
shuffled_labels,43,6,0.4905460080919761
shuffled_labels,43,7,0.537956175139206
shuffled_labels,43,8,0.5253374994992589
shuffled_labels,43,9,0.48087169010135
shuffled_labels,43,10,0.4937307214677723
true_labels,44,0,0.6552697993029684
shuffled_labels,44,1,0.5158234186596162
shuffled_labels,44,2,0.4905460080919761
shuffled_labels,44,3,0.490586067379722
shuffled_labels,44,4,0.4998597924928895
shuffled_labels,44,5,0.5504546729159155
shuffled_labels,44,6,0.4745823819252494
shuffled_labels,44,7,0.5064295156832112
shuffled_labels,44,8,0.5030445058686857
shuffled_labels,44,9,0.5254176180747506
shuffled_labels,44,10,0.5091735768938028
