pipeline,outer_seed,outer_fold,c,selected_c,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
nested_selected,42,1,10.0,10.0,252,64,0.9880952380952381,0.5625,0.5625,0.5620723362658846,"[[19, 13], [15, 17]]"
fixed_c_1,42,1,1.0,10.0,252,64,0.9087301587301587,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
nested_selected,42,2,10.0,10.0,252,64,0.9841269841269841,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
fixed_c_1,42,2,1.0,10.0,252,64,0.8928571428571429,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
nested_selected,42,3,1.0,1.0,253,63,0.9051383399209486,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
fixed_c_1,42,3,1.0,1.0,253,63,0.9051383399209486,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
nested_selected,42,4,0.03,0.03,253,63,0.7351778656126482,0.6031746031746031,0.6048387096774194,0.5995423340961099,"[[16, 16], [9, 22]]"
fixed_c_1,42,4,1.0,0.03,253,63,0.8893280632411067,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
nested_selected,42,5,0.3,0.3,254,62,0.8464566929133859,0.6451612903225806,0.6451612903225807,0.6436781609195402,"[[18, 13], [9, 22]]"
fixed_c_1,42,5,1.0,0.3,254,62,0.9094488188976378,0.6290322580645161,0.6290322580645161,0.6266038229903117,"[[17, 14], [9, 22]]"
nested_selected,43,1,0.01,0.01,252,64,0.6904761904761905,0.5625,0.5625,0.5607843137254902,"[[16, 16], [12, 20]]"
fixed_c_1,43,1,1.0,0.01,252,64,0.9087301587301587,0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]"
nested_selected,43,2,1.0,1.0,252,64,0.9246031746031746,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
fixed_c_1,43,2,1.0,1.0,252,64,0.9246031746031746,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
nested_selected,43,3,0.3,0.3,253,63,0.8300395256916996,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
fixed_c_1,43,3,1.0,0.3,253,63,0.8695652173913043,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
nested_selected,43,4,3.0,3.0,253,63,0.9604743083003953,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
fixed_c_1,43,4,1.0,3.0,253,63,0.9130434782608695,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
nested_selected,43,5,1.0,1.0,254,62,0.9173228346456693,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
fixed_c_1,43,5,1.0,1.0,254,62,0.9173228346456693,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
nested_selected,44,1,3.0,3.0,252,64,0.9523809523809523,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
fixed_c_1,44,1,1.0,3.0,252,64,0.9087301587301587,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
nested_selected,44,2,0.3,0.3,252,64,0.8571428571428571,0.625,0.625,0.624633431085044,"[[19, 13], [11, 21]]"
fixed_c_1,44,2,1.0,0.3,252,64,0.8928571428571429,0.703125,0.703125,0.7013018914271678,"[[20, 12], [7, 25]]"
nested_selected,44,3,0.3,0.3,253,63,0.8537549407114624,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
fixed_c_1,44,3,1.0,0.3,253,63,0.8932806324110671,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
nested_selected,44,4,0.03,0.03,253,63,0.7351778656126482,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
fixed_c_1,44,4,1.0,0.03,253,63,0.8932806324110671,0.6666666666666666,0.6673387096774194,0.6663303909205549,"[[20, 12], [9, 22]]"
nested_selected,44,5,0.01,0.01,254,62,0.7204724409448819,0.5161290322580645,0.5161290322580645,0.5161290322580645,"[[16, 15], [15, 16]]"
fixed_c_1,44,5,1.0,0.01,254,62,0.9094488188976378,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
