c,seed,fold,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
1.0,42,1,252,64,0.9087301587301587,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
1.25,42,1,252,64,0.9206349206349206,0.59375,0.59375,0.5901477832512315,"[[22, 10], [16, 16]]"
1.5,42,1,252,64,0.9206349206349206,0.59375,0.59375,0.5901477832512315,"[[22, 10], [16, 16]]"
2.0,42,1,252,64,0.9325396825396826,0.578125,0.578125,0.5755342667649226,"[[21, 11], [16, 16]]"
2.5,42,1,252,64,0.9404761904761905,0.5625,0.5625,0.5586206896551724,"[[21, 11], [17, 15]]"
3.0,42,1,252,64,0.9444444444444444,0.53125,0.53125,0.5294117647058825,"[[19, 13], [17, 15]]"
4.0,42,1,252,64,0.9603174603174603,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
5.0,42,1,252,64,0.9722222222222222,0.5625,0.5625,0.5620723362658846,"[[19, 13], [15, 17]]"
1.0,42,2,252,64,0.8928571428571429,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
1.25,42,2,252,64,0.9087301587301587,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
1.5,42,2,252,64,0.9166666666666666,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
2.0,42,2,252,64,0.9404761904761905,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
2.5,42,2,252,64,0.9404761904761905,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
3.0,42,2,252,64,0.9484126984126984,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
4.0,42,2,252,64,0.9603174603174603,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
5.0,42,2,252,64,0.9642857142857143,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
1.0,42,3,253,63,0.9051383399209486,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
1.25,42,3,253,63,0.9130434782608695,0.6507936507936508,0.6522177419354839,0.6485801217038539,"[[18, 14], [8, 23]]"
1.5,42,3,253,63,0.9169960474308301,0.6507936507936508,0.6522177419354839,0.6485801217038539,"[[18, 14], [8, 23]]"
2.0,42,3,253,63,0.932806324110672,0.6507936507936508,0.6517137096774194,0.65,"[[19, 13], [9, 22]]"
