seed,reference_pipeline,candidate_pipeline,candidate_minus_reference_accuracy,reference_only_correct,candidate_only_correct,both_correct,both_wrong,mcnemar_exact_p
42,current__logistic,current__fisher,-0.015822784810126556,32,27,173,84,0.6029232012571504
42,current__logistic,terminal__logistic,0.034810126582278444,50,61,155,50,0.3425805825718986
42,current__logistic,terminal__fisher,0.01898734177215189,52,58,153,53,0.6337556480191587
42,current__logistic,combined__logistic,0.03797468354430378,21,33,184,78,0.13367423536410522
42,current__logistic,combined__fisher,0.01898734177215189,20,26,185,85,0.4613911821367651
42,current__logistic,fourier_pca__logistic,-0.069620253164557,69,47,136,64,0.05072955668288316
42,current__logistic,fourier_pca__fisher,-0.06645569620253167,69,48,136,63,0.06399591064679512
43,current__logistic,current__fisher,-0.03164556962025322,33,23,165,95,0.2288055412343561
43,current__logistic,terminal__logistic,0.07278481012658222,48,71,150,47,0.043268262574608723
43,current__logistic,terminal__fisher,0.069620253164557,47,69,151,49,0.05072955668288316
43,current__logistic,combined__logistic,0.04746835443037978,16,31,182,87,0.03998605682605215
43,current__logistic,combined__fisher,0.03797468354430378,19,31,179,87,0.11892045255943628
43,current__logistic,fourier_pca__logistic,-0.05379746835443033,65,48,133,70,0.13192429082426044
43,current__logistic,fourier_pca__fisher,-0.04746835443037978,63,48,135,70,0.18365717190177477
44,current__logistic,current__fisher,-0.04113924050632911,34,21,173,88,0.10478948242660333
44,current__logistic,terminal__logistic,0.028481012658227778,50,59,157,50,0.4436695012023486
44,current__logistic,terminal__fisher,0.02215189873417711,51,58,156,51,0.5657001139736335
44,current__logistic,combined__logistic,0.028481012658227778,18,27,189,82,0.23269319190831084
44,current__logistic,combined__fisher,0.028481012658227778,25,34,182,75,0.2975952082844287
44,current__logistic,fourier_pca__logistic,-0.069620253164557,71,49,136,60,0.05477979691370204
44,current__logistic,fourier_pca__fisher,-0.07594936708860767,72,48,135,61,0.035323682537769574
