pipeline,representation,classifier,seed,folds,feature_count,accuracy,balanced_accuracy,macro_f1,confusion_matrix
current__logistic,current,logistic,42,5,196,0.6487341772151899,0.6489804911268677,0.6483080162430441,"[[97, 62], [49, 108]]"
current__fisher,current,fisher,42,5,196,0.6329113924050633,0.6332171613988703,0.6321894441099739,"[[93, 66], [50, 107]]"
terminal__logistic,terminal,logistic,42,5,252,0.6835443037974683,0.6835316268076753,0.6835316268076753,"[[109, 50], [50, 107]]"
terminal__fisher,terminal,fisher,42,5,252,0.6677215189873418,0.6677682970796779,0.6677181913774974,"[[105, 54], [51, 106]]"
combined__logistic,combined,logistic,42,5,448,0.6867088607594937,0.6865961623202339,0.6865550512489105,"[[112, 47], [52, 105]]"
combined__fisher,combined,fisher,42,5,448,0.6677215189873418,0.6676881785041862,0.6676915680991917,"[[107, 52], [53, 104]]"
fourier_pca__logistic,fourier_pca,logistic,42,5,20,0.5791139240506329,0.5791972118735729,0.5790759862589763,"[[90, 69], [64, 93]]"
fourier_pca__fisher,fourier_pca,fisher,42,5,20,0.5822784810126582,0.5823418659616232,0.5822617473861315,"[[91, 68], [64, 93]]"
current__logistic,current,logistic,43,5,196,0.6265822784810127,0.6268076753595321,0.6262079473916357,"[[94, 65], [53, 104]]"
current__fisher,current,fisher,43,5,196,0.5949367088607594,0.5954011937667748,0.5929638127440325,"[[83, 76], [52, 105]]"
terminal__logistic,terminal,logistic,43,5,252,0.6993670886075949,0.6994952529744021,0.6992918031473189,"[[108, 51], [44, 113]]"
terminal__fisher,terminal,fisher,43,5,252,0.6962025316455697,0.6963105395986059,0.6961538461538461,"[[108, 51], [45, 112]]"
combined__logistic,combined,logistic,43,5,448,0.6740506329113924,0.6743380202699996,0.6734980488930351,"[[100, 59], [44, 113]]"
combined__fisher,combined,fisher,43,5,448,0.6645569620253164,0.6647438208548652,0.6643418310084976,"[[101, 58], [48, 109]]"
fourier_pca__logistic,fourier_pca,logistic,43,5,20,0.5727848101265823,0.5728277851219805,0.5727805317710679,"[[90, 69], [66, 91]]"
fourier_pca__fisher,fourier_pca,fisher,43,5,20,0.5791139240506329,0.579157152585827,0.5791097090781634,"[[91, 68], [65, 92]]"
current__logistic,current,logistic,44,5,196,0.6550632911392406,0.6552697993029684,0.6547832623402656,"[[99, 60], [49, 108]]"
current__fisher,current,fisher,44,5,196,0.6139240506329114,0.6143091775828226,0.6126672828838966,"[[88, 71], [51, 106]]"
terminal__logistic,terminal,logistic,44,5,252,0.6835443037974683,0.6835316268076753,0.6835316268076753,"[[109, 50], [50, 107]]"
terminal__fisher,terminal,fisher,44,5,252,0.6772151898734177,0.6772022593438288,0.6772022593438288,"[[108, 51], [51, 106]]"
combined__logistic,combined,logistic,44,5,448,0.6835443037974683,0.6837319232464046,0.6833413500080167,"[[104, 55], [45, 112]]"
combined__fisher,combined,fisher,44,5,448,0.6835443037974683,0.6836518046709129,0.6834935897435896,"[[106, 53], [47, 110]]"
fourier_pca__logistic,fourier_pca,logistic,44,5,20,0.5854430379746836,0.5854865200496735,0.5854388863852586,"[[92, 67], [64, 93]]"
fourier_pca__fisher,fourier_pca,fisher,44,5,20,0.5791139240506329,0.579157152585827,0.5791097090781634,"[[91, 68], [65, 92]]"
