variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
cov_empirical__trial_off__f2_1__fusion_lda,42,1,2,bp,left,0.30913105794563855,0.30913105794563855,71.99312818066757,71.99312818066757
cov_empirical__trial_off__f2_1__fusion_lda,42,1,2,bp,right,0.2601401593363227,0.2601401593363227,74.92162113624649,74.92162113624649
cov_empirical__trial_off__f2_1__fusion_lda,42,1,2,erd,left,0.9728615859426626,0.9728615859426626,13.378793727961417,13.378793727961417
cov_empirical__trial_off__f2_1__fusion_lda,42,1,2,erd,right,0.9813968774512635,0.9813968774512635,11.068942496531898,11.068942496531898
cov_empirical__trial_off__f2_1__fusion_lda,42,1,3,bp,left,0.623128931065597,0.623128931065597,51.45501263822297,51.45501263822297
cov_empirical__trial_off__f2_1__fusion_lda,42,1,3,bp,right,0.6241628724148878,0.6241628724148878,51.37922914094778,51.37922914094778
cov_empirical__trial_off__f2_1__fusion_lda,42,1,3,erd,left,0.9923232072533366,0.9923232072533366,7.1040459598900885,7.1040459598900885
cov_empirical__trial_off__f2_1__fusion_lda,42,1,3,erd,right,0.9830507521240912,0.9830507521240912,10.563994698549319,10.563994698549319
cov_empirical__trial_off__f2_1__fusion_lda,42,1,4,bp,left,0.6771783793986084,0.6771783793986084,47.37645680812717,47.37645680812717
cov_empirical__trial_off__f2_1__fusion_lda,42,1,4,bp,right,0.42508142506789415,0.42508142506789415,64.84418253802832,64.84418253802832
cov_empirical__trial_off__f2_1__fusion_lda,42,1,4,erd,left,0.9852109903794461,0.9852109903794461,9.866062565453289,9.866062565453289
cov_empirical__trial_off__f2_1__fusion_lda,42,1,4,erd,right,0.9887887794095758,0.9887887794095758,8.58757737817898,8.58757737817898
cov_empirical__trial_off__f2_1__fusion_lda,42,1,5,bp,left,0.5544086295223308,0.5544086295223308,56.3300076919698,56.3300076919698
cov_empirical__trial_off__f2_1__fusion_lda,42,1,5,bp,right,0.07662959872279125,0.07662959872279125,85.60513905581139,85.60513905581139
cov_empirical__trial_off__f2_1__fusion_lda,42,1,5,erd,left,0.9824184156452556,0.9824184156452556,10.759819707706782,10.759819707706782
cov_empirical__trial_off__f2_1__fusion_lda,42,1,5,erd,right,0.9899750677569559,0.9899750677569559,8.11973463886871,8.11973463886871
cov_empirical__trial_off__f2_1__fusion_lda,42,2,3,bp,left,0.629019687266348,0.629019687266348,51.0221661831814,51.0221661831814
cov_empirical__trial_off__f2_1__fusion_lda,42,2,3,bp,right,0.04064819034601968,0.04064819034601968,87.67038842110387,87.67038842110387
cov_empirical__trial_off__f2_1__fusion_lda,42,2,3,erd,left,0.978827933889679,0.978827933889679,11.811049380807841,11.811049380807841
cov_empirical__trial_off__f2_1__fusion_lda,42,2,3,erd,right,0.9914476621001455,0.9914476621001455,7.498770492918268,7.498770492918268
cov_empirical__trial_off__f2_1__fusion_lda,42,2,4,bp,left,0.7289245113843689,0.7289245113843689,43.203692333198866,43.203692333198866
cov_empirical__trial_off__f2_1__fusion_lda,42,2,4,bp,right,0.31655968683554125,0.31655968683554125,71.54500363163368,71.54500363163368
cov_empirical__trial_off__f2_1__fusion_lda,42,2,4,erd,left,0.9818107130696546,0.9818107130696546,10.94475302008619,10.94475302008619
cov_empirical__trial_off__f2_1__fusion_lda,42,2,4,erd,right,0.9853629177472268,0.9853629177472268,9.815129813036148,9.815129813036148
cov_empirical__trial_off__f2_1__fusion_lda,42,2,5,bp,left,0.655499297329725,0.655499297329725,49.0424798283749,49.0424798283749
cov_empirical__trial_off__f2_1__fusion_lda,42,2,5,bp,right,0.7397797813525847,0.7397797813525847,42.28734030044353,42.28734030044353
cov_empirical__trial_off__f2_1__fusion_lda,42,2,5,erd,left,0.9800041481979496,0.9800041481979496,11.477146535252414,11.477146535252414
cov_empirical__trial_off__f2_1__fusion_lda,42,2,5,erd,right,0.9923504618017744,0.9923504618017744,7.091408019265374,7.091408019265374
cov_empirical__trial_off__f2_1__fusion_lda,42,3,4,bp,left,0.834276672242203,0.834276672242203,33.45940467785735,33.45940467785735
cov_empirical__trial_off__f2_1__fusion_lda,42,3,4,bp,right,0.05460440375057124,0.05460440375057124,86.86984130462494,86.86984130462494
cov_empirical__trial_off__f2_1__fusion_lda,42,3,4,erd,left,0.9823017537601964,0.9823017537601964,10.795564492954924,10.795564492954924
cov_empirical__trial_off__f2_1__fusion_lda,42,3,4,erd,right,0.9802849654921022,0.9802849654921022,11.3960016894702,11.3960016894702
cov_empirical__trial_off__f2_1__fusion_lda,42,3,5,bp,left,0.852062830092633,0.852062830092633,31.563251952671,31.563251952671
cov_empirical__trial_off__f2_1__fusion_lda,42,3,5,bp,right,0.5148044048179828,0.5148044048179828,59.0156179708588,59.0156179708588
cov_empirical__trial_off__f2_1__fusion_lda,42,3,5,erd,left,0.9881091357722572,0.9881091357722572,8.844547656186188,8.844547656186188
cov_empirical__trial_off__f2_1__fusion_lda,42,3,5,erd,right,0.9854016179311611,0.9854016179311611,9.802113928515395,9.802113928515395
cov_empirical__trial_off__f2_1__fusion_lda,42,4,5,bp,left,0.7468646448856947,0.7468646448856947,41.68049122205439,41.68049122205439
cov_empirical__trial_off__f2_1__fusion_lda,42,4,5,bp,right,0.1373651394752947,0.1373651394752947,82.10459322775625,82.10459322775625
cov_empirical__trial_off__f2_1__fusion_lda,42,4,5,erd,left,0.9822772579292416,0.9822772579292416,10.803055081707155,10.803055081707155
cov_empirical__trial_off__f2_1__fusion_lda,42,4,5,erd,right,0.9850755817708319,0.9850755817708319,9.911239079845682,9.911239079845682
cov_empirical__trial_off__f2_1__fusion_lda,43,1,2,bp,left,0.49916059002276325,0.49916059002276325,60.05551939558651,60.05551939558651
cov_empirical__trial_off__f2_1__fusion_lda,43,1,2,bp,right,0.7256532014969336,0.7256532014969336,43.47678635097882,43.47678635097882
cov_empirical__trial_off__f2_1__fusion_lda,43,1,2,erd,left,0.9829930995643454,0.9829930995643454,10.581997223081515,10.581997223081515
cov_empirical__trial_off__f2_1__fusion_lda,43,1,2,erd,right,0.980026324820511,0.980026324820511,11.470758985712708,11.470758985712708
cov_empirical__trial_off__f2_1__fusion_lda,43,1,3,bp,left,0.7672183414996072,0.7672183414996072,39.89524873753259,39.89524873753259
cov_empirical__trial_off__f2_1__fusion_lda,43,1,3,bp,right,0.07228426915945417,0.07228426915945417,85.8548013056178,85.8548013056178
cov_empirical__trial_off__f2_1__fusion_lda,43,1,3,erd,left,0.9851865030475944,0.9851865030475944,9.87424745635069,9.87424745635069
cov_empirical__trial_off__f2_1__fusion_lda,43,1,3,erd,right,0.9848029918256893,0.9848029918256893,10.00157084681407,10.00157084681407
cov_empirical__trial_off__f2_1__fusion_lda,43,1,4,bp,left,0.7138341225637378,0.7138341225637378,44.45226741896576,44.45226741896576
cov_empirical__trial_off__f2_1__fusion_lda,43,1,4,bp,right,0.5473910326233733,0.5473910326233733,56.81178963515855,56.81178963515855
cov_empirical__trial_off__f2_1__fusion_lda,43,1,4,erd,left,0.9627087601910167,0.9627087601910167,15.696397175372079,15.696397175372079
cov_empirical__trial_off__f2_1__fusion_lda,43,1,4,erd,right,0.9895502704603107,0.9895502704603107,8.290277545034892,8.290277545034892
cov_empirical__trial_off__f2_1__fusion_lda,43,1,5,bp,left,0.7189119316764997,0.7189119316764997,44.035279581920264,44.035279581920264
cov_empirical__trial_off__f2_1__fusion_lda,43,1,5,bp,right,0.5364108634648703,0.5364108634648703,57.56035662259868,57.56035662259868
cov_empirical__trial_off__f2_1__fusion_lda,43,1,5,erd,left,0.9859445851585754,0.9859445851585754,9.617660944898047,9.617660944898047
cov_empirical__trial_off__f2_1__fusion_lda,43,1,5,erd,right,0.9744081374841979,0.9744081374841979,12.99029920015435,12.99029920015435
cov_empirical__trial_off__f2_1__fusion_lda,43,2,3,bp,left,0.6396094415276101,0.6396094415276101,50.237297299931306,50.237297299931306
