variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,branch,side,comparisons,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,erd,left,30,0.8005705974207733,0.040785685612683226,27.93781508182283,87.6625039842218
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,erd,right,30,0.8036893087007703,0.004236620490206261,28.89799844353939,89.75725880035044
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,erd,left,30,0.8005705974207733,0.040785685612683226,27.93781508182283,87.6625039842218
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,erd,right,30,0.8036893087007703,0.004236620490206261,28.89799844353939,89.75725880035044
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,erd,left,30,0.9765831951462263,0.9373109990506786,11.929479293366592,20.395231082590527
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,erd,right,30,0.9477780556122912,0.782467584869488,16.490129837828967,38.51293630386112
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,erd,left,30,0.9765831951462263,0.9373109990506786,11.929479293366592,20.395231082590527
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,erd,right,30,0.9477780556122912,0.782467584869488,16.490129837828967,38.51293630386112
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,erd,left,30,0.98196162549837,0.9627087601910167,10.735198270093539,15.696397175372079
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,erd,right,30,0.9843845499143693,0.9713496069075501,9.992019806579586,13.748183015099565
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,bp,left,30,0.6288570510367852,0.015038330795331725,49.39606763839272,89.13833463462079
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,bp,right,30,0.4038005380634081,0.004521431596380809,65.03475654754526,89.74094016949032
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,erd,left,30,0.98196162549837,0.9627087601910167,10.735198270093539,15.696397175372079
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,erd,right,30,0.9843845499143693,0.9713496069075501,9.992019806579586,13.748183015099565
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,bp,left,30,0.42860620340781835,0.034016517137123906,63.0450900154412,88.05062106563824
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,bp,right,30,0.41290390311953973,0.013989155130072567,64.3114340291985,89.19845430736741
