variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,bp_condition_number,erd_condition_number,bp_left_shrinkage,bp_right_shrinkage,erd_left_shrinkage,erd_right_shrinkage,f1_features,f2_features,f3_features,elapsed_seconds
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,42,1,252,64,0.859375,0.859375,0.8593406593406594,0.3367270415838576,9089.270904107952,5075.269779826114,,,,,8,24,38,0.013993208995088935
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,42,1,252,64,0.84375,0.84375,0.84375,0.4599622628647599,9089.270904107952,5075.269779826114,,,,,8,24,38,0.011604250175878406
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,42,1,252,64,0.84375,0.84375,0.8435972629521017,0.3599969984637278,9089.270904107952,5075.269779826114,,,,,8,16,38,0.01179725001566112
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,42,1,252,64,0.890625,0.890625,0.8905982905982905,0.46821845104594934,9089.270904107952,5075.269779826114,,,,,8,16,38,0.010776874842122197
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,42,1,252,64,0.875,0.875,0.8748778103616813,0.36845671403864055,9089.270904107952,5075.269779826114,,,,,8,8,38,0.011670083040371537
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,42,1,252,64,0.859375,0.859375,0.8593406593406594,0.46999826069011175,9089.270904107952,5075.269779826114,,,,,8,8,38,0.01019950001500547
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,42,1,252,64,0.8125,0.8125,0.8125,0.4151881376290093,2914.039414617676,3969.3170840527428,,,,,8,24,38,0.015276083955541253
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,42,1,252,64,0.828125,0.828125,0.828083028083028,0.48518842736013473,2914.039414617676,3969.3170840527428,,,,,8,24,38,0.012133083073422313
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,42,1,252,64,0.8125,0.8125,0.8123167155425219,0.366147096030223,2914.039414617676,3969.3170840527428,,,,,8,16,38,0.01255854219198227
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,42,1,252,64,0.8125,0.8125,0.8123167155425219,0.46823098559244025,2914.039414617676,3969.3170840527428,,,,,8,16,38,0.012558125192299485
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,42,1,252,64,0.859375,0.859375,0.8593406593406594,0.37877216089332144,2914.039414617676,3969.3170840527428,,,,,8,8,38,0.012763167032971978
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,42,1,252,64,0.828125,0.828125,0.828083028083028,0.4680792092229889,2914.039414617676,3969.3170840527428,,,,,8,8,38,0.01117000007070601
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,42,1,252,64,0.859375,0.859375,0.8590653290922436,0.28595529681095716,2609.061845812722,3588.9245889294225,0.004688464094255377,0.0070540996627701715,0.0012468633649986931,0.0016586699884126451,8,24,38,0.013899625046178699
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,42,1,252,64,0.859375,0.859375,0.8585114222549741,0.4279014429347267,2609.061845812722,3588.9245889294225,0.004688464094255377,0.0070540996627701715,0.0012468633649986931,0.0016586699884126451,8,24,38,0.012927957810461521
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,42,1,252,64,0.875,0.875,0.8748778103616813,0.2901036300583239,2609.061845812722,3588.9245889294225,0.004688464094255377,0.0070540996627701715,0.0012468633649986931,0.0016586699884126451,8,16,38,0.013227458111941814
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,42,1,252,64,0.875,0.875,0.8745098039215686,0.4284548565234165,2609.061845812722,3588.9245889294225,0.004688464094255377,0.0070540996627701715,0.0012468633649986931,0.0016586699884126451,8,16,38,0.012056582840159535
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,42,1,252,64,0.890625,0.890625,0.8903841448495229,0.3289097710807932,2609.061845812722,3588.9245889294225,0.004688464094255377,0.0070540996627701715,0.0012468633649986931,0.0016586699884126451,8,8,38,0.01333366590552032
