variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,42,316,0.8322784810126582,0.8324920882906702,0.8321423202204961,0.35705693672074745,"[[127, 32], [21, 136]]"
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,43,316,0.8575949367088608,0.8576893802828186,0.8575821006139394,0.32082350078365546,"[[134, 25], [20, 137]]"
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,44,316,0.8607594936708861,0.860793975083123,0.8607594936708861,0.3327258345665962,"[[136, 23], [21, 136]]"
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,42,316,0.8259493670886076,0.826082602251332,0.8259057807695005,0.44190422017877196,"[[128, 31], [24, 133]]"
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,43,316,0.8322784810126582,0.8323318511396868,0.8322768013619749,0.4193710298921919,"[[131, 28], [25, 132]]"
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,44,316,0.8291139240506329,0.8291070784761447,0.8291070784761447,0.4423674271535604,"[[132, 27], [27, 130]]"
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,42,316,0.8481012658227848,0.8482954773064135,0.848003848003848,0.3311055864525851,"[[130, 29], [19, 138]]"
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,43,316,0.8512658227848101,0.8513600128189721,0.8512524161967812,0.29609105523000856,"[[133, 26], [21, 136]]"
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,44,316,0.8449367088607594,0.8450306453551256,0.8449227317796228,0.33202785824419057,"[[132, 27], [22, 135]]"
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,42,316,0.8575949367088608,0.8578095581460562,0.8574793284891005,0.4378974904263763,"[[131, 28], [17, 140]]"
