variant,family,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,bp_condition_number,erd_condition_number,bp_left_shrinkage,bp_right_shrinkage,erd_left_shrinkage,erd_right_shrinkage,f1_features,f2_features,f3_features,elapsed_seconds
baseline,reference,42,1,252,64,0.53125,0.53125,0.53125,1.0608737807723432,1244.9188819004676,56.046929247599294,,,,,8,24,38,0.03453141706995666
covariance_ridge_1e3,covariance,42,1,252,64,0.53125,0.53125,0.53125,1.0626562751298845,1178.4541710613364,55.478983428315566,,,,,8,24,38,0.01286608399823308
covariance_ledoit_wolf,covariance,42,1,252,64,0.546875,0.546875,0.5467643467643468,1.0701952631876517,1153.032684244278,51.4862744258026,0.001553446037378882,0.0012691020323203803,0.009183547637756915,0.008011040614596534,8,24,38,0.014854665962047875
covariance_oas,covariance,42,1,252,64,0.546875,0.546875,0.5467643467643468,1.0668975220790289,951.3845003360495,52.570494327620686,0.005513855908558666,0.005370039801261058,0.007055377527507707,0.00580795350445477,8,24,38,0.014828416984528303
trial_trace_normalized,trial_normalization,42,1,252,64,0.484375,0.484375,0.48424908424908425,1.1102785773919135,1242.9195286602026,59.2462861823779,,,,,8,24,38,0.01411037496291101
f2_components_2,f2_reduction,42,1,252,64,0.5625,0.5625,0.5625,1.0424398674922881,1244.9188819004676,56.046929247599294,,,,,8,16,38,0.012968958937563002
f2_components_1,f2_reduction,42,1,252,64,0.609375,0.609375,0.6069761729304839,1.0229685492163134,1244.9188819004676,56.046929247599294,,,,,8,8,38,0.012631666962988675
fusion_hard_vote,voting,42,1,252,64,0.53125,0.53125,0.530791788856305,3.3482555546085955,1244.9188819004676,56.046929247599294,,,,,8,24,38,0.011352790985256433
fusion_soft_vote,voting,42,1,252,64,0.578125,0.578125,0.578021978021978,0.7017270635304911,1244.9188819004676,56.046929247599294,,,,,8,24,38,0.011043499922379851
baseline,reference,42,2,252,64,0.609375,0.609375,0.6069761729304839,0.8492695156448637,1192.6377110884164,58.39590048286425,,,,,8,24,38,0.012632000027224422
covariance_ridge_1e3,covariance,42,2,252,64,0.59375,0.59375,0.592156862745098,0.8490280384072105,1131.9973852613255,57.78156693541124,,,,,8,24,38,0.011970083927735686
covariance_ledoit_wolf,covariance,42,2,252,64,0.59375,0.59375,0.5901477832512315,0.8465983746123972,1112.4652075391539,53.50611851673566,0.001445807889844487,0.0012412420036686277,0.00903353439075127,0.008045501698593598,8,24,38,0.013380458927713335
covariance_oas,covariance,42,2,252,64,0.59375,0.59375,0.5901477832512315,0.8481770576152546,924.4852495133201,54.65703607293542,0.0054253725095639626,0.0053476208881877915,0.0069672478679845655,0.0058432816414673025,8,24,38,0.013678291928954422
trial_trace_normalized,trial_normalization,42,2,252,64,0.609375,0.609375,0.6092796092796093,0.925980041253252,1167.6337151176651,61.40111356025796,,,,,8,24,38,0.014029665966518223
f2_components_2,f2_reduction,42,2,252,64,0.625,0.625,0.624633431085044,0.7850570625671073,1192.6377110884164,58.39590048286425,,,,,8,16,38,0.01193924993276596
f2_components_1,f2_reduction,42,2,252,64,0.71875,0.71875,0.71875,0.7979300393260609,1192.6377110884164,58.39590048286425,,,,,8,8,38,0.012025207979604602
fusion_hard_vote,voting,42,2,252,64,0.578125,0.578125,0.578021978021978,2.4721153609672104,1192.6377110884164,58.39590048286425,,,,,8,24,38,0.01163145899772644
fusion_soft_vote,voting,42,2,252,64,0.625,0.625,0.6235294117647059,0.6719954239205604,1192.6377110884164,58.39590048286425,,,,,8,24,38,0.0108582500834018
baseline,reference,42,3,253,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.9779192784183519,1382.8499205451697,56.788215966332174,,,,,8,24,38,0.012047291966155171
covariance_ridge_1e3,covariance,42,3,253,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.9771090887988543,1301.0599213390758,56.20517414594484,,,,,8,24,38,0.012250583036802709
covariance_ledoit_wolf,covariance,42,3,253,63,0.5396825396825397,0.5398185483870968,0.5396825396825397,0.9860795950760927,1268.7362689908477,52.09141088302921,0.0015237126776332436,0.0013335338919236548,0.009134134249260063,0.008133105007688738,8,24,38,0.013455291045829654
covariance_oas,covariance,42,3,253,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.9817763701108019,1029.0397652176584,53.21378789924783,0.005488786626970606,0.005392493498378394,0.006985811233032548,0.005903886874811681,8,24,38,0.013921541976742446
trial_trace_normalized,trial_normalization,42,3,253,63,0.5238095238095238,0.5236895161290323,0.5236895161290323,1.2551149870623342,1393.352460748462,59.13532078688129,,,,,8,24,38,0.013801542110741138
f2_components_2,f2_reduction,42,3,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.8973955118186129,1382.8499205451697,56.788215966332174,,,,,8,16,38,0.011441249982453883
f2_components_1,f2_reduction,42,3,253,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.8759146565069477,1382.8499205451697,56.788215966332174,,,,,8,8,38,0.01233145804144442
fusion_hard_vote,voting,42,3,253,63,0.5396825396825397,0.5413306451612903,0.5354691075514875,2.329201985348046,1382.8499205451697,56.788215966332174,,,,,8,24,38,0.011417250032536685
fusion_soft_vote,voting,42,3,253,63,0.5079365079365079,0.5090725806451613,0.5059448520111308,0.7044648075147792,1382.8499205451697,56.788215966332174,,,,,8,24,38,0.010958541999571025
baseline,reference,42,4,253,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.7947568201294918,1210.979836625281,57.13230672070255,,,,,8,24,38,0.012136875069700181
covariance_ridge_1e3,covariance,42,4,253,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.7921348849964686,1148.0306553305013,56.54129777211043,,,,,8,24,38,0.012207458028569818
covariance_ledoit_wolf,covariance,42,4,253,63,0.6507936507936508,0.6507056451612903,0.6507056451612903,0.7872936706487516,1124.8376343427224,52.505397828692814,0.0015561828416910215,0.001232867952771304,0.009421124503199497,0.0073473725835947554,8,24,38,0.014184499974362552
covariance_oas,covariance,42,4,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7841662069988921,932.8743716242607,53.507307513496265,0.005505759878766178,0.005311128447201312,0.00732764805591543,0.005585600389432947,8,24,38,0.014274624991230667
trial_trace_normalized,trial_normalization,42,4,253,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.8165968468788366,1194.6947058014114,59.46096729212808,,,,,8,24,38,0.013824083027429879
f2_components_2,f2_reduction,42,4,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7580788075687737,1210.979836625281,57.13230672070255,,,,,8,16,38,0.011651790933683515
f2_components_1,f2_reduction,42,4,253,63,0.6825396825396826,0.6824596774193548,0.6824596774193548,0.6632704986223242,1210.979836625281,57.13230672070255,,,,,8,8,38,0.011572042014449835
fusion_hard_vote,voting,42,4,253,63,0.5079365079365079,0.5085685483870968,0.5074401008827238,3.393096942479529,1210.979836625281,57.13230672070255,,,,,8,24,38,0.011751792044378817
fusion_soft_vote,voting,42,4,253,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,0.6802920419603716,1210.979836625281,57.13230672070255,,,,,8,24,38,0.010795167065225542
baseline,reference,42,5,254,62,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.7227278047951406,1370.123276079303,56.484753370021686,,,,,8,24,38,0.01166204095352441
covariance_ridge_1e3,covariance,42,5,254,62,0.5967741935483871,0.5967741935483871,0.5966692688004163,0.7239133339667327,1290.2320360346284,55.90152824831998,,,,,8,24,38,0.011973666958510876
covariance_ledoit_wolf,covariance,42,5,254,62,0.5967741935483871,0.5967741935483871,0.5966692688004163,0.7400035159504972,1262.8838357861423,51.76946827868192,0.001470379999451271,0.0012687038810339825,0.009512140081515052,0.007843109783499167,8,24,38,0.014108166913501918
covariance_oas,covariance,42,5,254,62,0.5967741935483871,0.5967741935483871,0.5966692688004163,0.7367717465798566,1026.4739359516798,52.891317517205756,0.005426562202516105,0.005330933164609604,0.00728215509680938,0.005690706420909177,8,24,38,0.014048791024833918
trial_trace_normalized,trial_normalization,42,5,254,62,0.6612903225806451,0.6612903225806451,0.6612021857923497,0.7741065999328962,1360.6731121413695,59.11703583085602,,,,,8,24,38,0.013029167079366744
f2_components_2,f2_reduction,42,5,254,62,0.5967741935483871,0.596774193548387,0.5958279009126467,0.7605188628871871,1370.123276079303,56.484753370021686,,,,,8,16,38,0.01124583394266665
f2_components_1,f2_reduction,42,5,254,62,0.6129032258064516,0.6129032258064516,0.6125,0.7129381767856923,1370.123276079303,56.484753370021686,,,,,8,8,38,0.010999875026755035
fusion_hard_vote,voting,42,5,254,62,0.6129032258064516,0.6129032258064516,0.6125,2.2847117543821693,1370.123276079303,56.484753370021686,,,,,8,24,38,0.010451833019033074
fusion_soft_vote,voting,42,5,254,62,0.5967741935483871,0.596774193548387,0.5958279009126467,0.6489806212232884,1370.123276079303,56.484753370021686,,,,,8,24,38,0.010246334015391767
baseline,reference,43,1,252,64,0.609375,0.609375,0.6069761729304839,0.7168313923686009,1119.5023281722551,55.89987744104073,,,,,8,24,38,0.011094750021584332
covariance_ridge_1e3,covariance,43,1,252,64,0.609375,0.609375,0.6069761729304839,0.7164345614817622,1065.821934042072,55.32956240696153,,,,,8,24,38,0.010697250021621585
covariance_ledoit_wolf,covariance,43,1,252,64,0.609375,0.609375,0.6069761729304839,0.7105345670865596,1047.2081261409155,51.26751532115968,0.0015205489234613881,0.0012170413650594175,0.009508575178208488,0.007911246730915648,8,24,38,0.01204699999652803
covariance_oas,covariance,43,1,252,64,0.609375,0.609375,0.6069761729304839,0.7095509289543558,879.2641531392551,52.35480205256834,0.005480663294866309,0.0053126972846562395,0.007300571139090075,0.005779604622230894,8,24,38,0.012058166088536382
trial_trace_normalized,trial_normalization,43,1,252,64,0.609375,0.609375,0.6085148030340103,0.7433843446098413,1120.2822994344826,59.147000833233534,,,,,8,24,38,0.01234304194804281
f2_components_2,f2_reduction,43,1,252,64,0.640625,0.640625,0.6405372405372405,0.6622459142571121,1119.5023281722551,55.89987744104073,,,,,8,16,38,0.010796917020343244
f2_components_1,f2_reduction,43,1,252,64,0.609375,0.609375,0.6085148030340103,0.6298547203806786,1119.5023281722551,55.89987744104073,,,,,8,8,38,0.011138332891277969
fusion_hard_vote,voting,43,1,252,64,0.640625,0.640625,0.6398336187912894,1.9191559838227925,1119.5023281722551,55.89987744104073,,,,,8,24,38,0.010058999992907047
fusion_soft_vote,voting,43,1,252,64,0.609375,0.609375,0.6092796092796093,0.6420824550570832,1119.5023281722551,55.89987744104073,,,,,8,24,38,0.010386999929323792
baseline,reference,43,2,252,64,0.53125,0.53125,0.5294117647058824,0.9133660623592247,1198.3515805164495,57.68413387346917,,,,,8,24,38,0.01182945806067437
covariance_ridge_1e3,covariance,43,2,252,64,0.53125,0.53125,0.5294117647058824,0.9118823017873503,1136.2312341399154,57.08139646526765,,,,,8,24,38,0.012102582957595587
covariance_ledoit_wolf,covariance,43,2,252,64,0.546875,0.546875,0.5458771715194519,0.9058115146258261,1110.1632347184009,52.80767308736755,0.0015938075476929073,0.001307970391634082,0.009384021309041375,0.007998792964650352,8,24,38,0.013941167038865387
covariance_oas,covariance,43,2,252,64,0.546875,0.546875,0.5458771715194519,0.9084845285584382,920.7874171856041,53.96479747799196,0.005554753472684311,0.0054142740001451115,0.0071913953169782194,0.005810244671040194,8,24,38,0.013671249966137111
trial_trace_normalized,trial_normalization,43,2,252,64,0.5625,0.5625,0.5607843137254902,0.8901490850028873,1196.5441069918775,60.309866945918365,,,,,8,24,38,0.013204291928559542
f2_components_2,f2_reduction,43,2,252,64,0.5625,0.5625,0.5607843137254902,0.8794056503281225,1198.3515805164495,57.68413387346917,,,,,8,16,38,0.012270041042938828
f2_components_1,f2_reduction,43,2,252,64,0.546875,0.546875,0.5440923605993613,0.9417499025351613,1198.3515805164495,57.68413387346917,,,,,8,8,38,0.01141370797995478
fusion_hard_vote,voting,43,2,252,64,0.578125,0.578125,0.577195987276731,3.3284350646787044,1198.3515805164495,57.68413387346917,,,,,8,24,38,0.010539041017182171
fusion_soft_vote,voting,43,2,252,64,0.53125,0.53125,0.530791788856305,0.6981228283736381,1198.3515805164495,57.68413387346917,,,,,8,24,38,0.010947708040475845
baseline,reference,43,3,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7360890289371415,1389.2179798925827,57.23065641802916,,,,,8,24,38,0.011854249984025955
covariance_ridge_1e3,covariance,43,3,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7366812176251205,1307.1680670631238,56.64034563409721,,,,,8,24,38,0.012849375023506582
covariance_ledoit_wolf,covariance,43,3,253,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7354999433978443,1279.0684676110445,52.52902885336562,0.0014726877610964325,0.0012675706424423168,0.009095149403294285,0.007967610529858895,8,24,38,0.01395470800343901
