bin_ms,window_ms,samples_per_bin,bins_per_window,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,best_seed_balanced_accuracy,mean_macro_f1,mean_log_loss
10,200,1,20,0.7964135021097046,0.796171667401087,0.012269050225347236,0.7845611505027441,0.813143452309418,0.7959952764295494,0.45608259465569234
10,300,1,30,0.7943037974683543,0.7942755277811161,0.0025526600447716074,0.7910908144053199,0.7973400632936747,0.7942431632260855,0.40154423395802336
10,400,1,40,0.839662447257384,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.8395592126354009,0.3705033515555345
10,500,1,50,0.8291139240506329,0.8293073749148739,0.010319809536045069,0.8167287585626728,0.8420061691303129,0.8289704148393507,0.3743384074956578
20,200,2,10,0.7964135021097046,0.796171667401087,0.012269050225347236,0.7845611505027441,0.813143452309418,0.7959952764295494,0.45608259465569234
20,300,2,15,0.7943037974683543,0.7942755277811161,0.0025526600447716074,0.7910908144053199,0.7973400632936747,0.7942431632260855,0.40154423395802336
20,400,2,20,0.839662447257384,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.8395592126354009,0.3705033515555345
20,500,2,25,0.8291139240506329,0.8293073749148739,0.010319809536045069,0.8167287585626728,0.8420061691303129,0.8289704148393507,0.3743384074956578
50,200,5,4,0.7964135021097046,0.796171667401087,0.012269050225347236,0.7845611505027441,0.813143452309418,0.7959952764295494,0.45608259465569234
50,300,5,6,0.7943037974683543,0.7942755277811161,0.0025526600447716074,0.7910908144053199,0.7973400632936747,0.7942431632260855,0.40154423395802336
50,400,5,8,0.839662447257384,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.8395592126354009,0.3705033515555345
50,500,5,10,0.8291139240506329,0.8293073749148739,0.010319809536045069,0.8167287585626728,0.8420061691303129,0.8289704148393507,0.3743384074956578
100,200,10,2,0.7964135021097046,0.796171667401087,0.012269050225347236,0.7845611505027441,0.813143452309418,0.7959952764295494,0.45608259465569234
100,300,10,3,0.7943037974683543,0.7942755277811161,0.0025526600447716074,0.7910908144053199,0.7973400632936747,0.7942431632260855,0.40154423395802336
100,400,10,4,0.839662447257384,0.8398563206879515,0.005394642486715603,0.8324520290029244,0.8451508232183632,0.8395592126354009,0.3705033515555345
100,500,10,5,0.8291139240506329,0.8293073749148739,0.010319809536045069,0.8167287585626728,0.8420061691303129,0.8289704148393507,0.3743384074956578
