variant,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,fit_and_inference_seconds,riemannian_bp_mean_iterations,riemannian_erd_mean_iterations,float32_predictions_exact,float32_max_score_error,float32_max_probability_error
baseline_cssd_lda,42,1,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990315,0.015225125011056662,0,0,True,0.00010321430046211777,2.5161846247012676e-05
low_dimensional_riemannian_tslda,42,1,252,64,0.828125,0.828125,0.8260439831974302,0.4019893006825019,0.1211554161272943,15,10,True,0.00025412297174742804,2.672948322129942e-05
baseline_cssd_lda,42,2,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707459,0.010285332798957825,0,0,True,0.00013501160399442824,2.2066379369412026e-05
low_dimensional_riemannian_tslda,42,2,252,64,0.765625,0.765625,0.7651088818204062,0.4630627748591918,0.11684433417394757,15,11,True,0.00024242515073868987,2.96997785913522e-05
baseline_cssd_lda,42,3,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.3570111861458797,0.010921875014901161,0,0,True,0.00013559537618856865,1.8035848465880466e-05
low_dimensional_riemannian_tslda,42,3,253,63,0.8888888888888888,0.8891129032258065,0.8888888888888888,0.31384922775440993,0.11683179112151265,15,11,True,0.00022123688288155918,2.058831431178687e-05
baseline_cssd_lda,42,4,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079910767,0.0107269580475986,0,0,True,9.089742821299929e-05,2.230854285234507e-05
low_dimensional_riemannian_tslda,42,4,253,63,0.8888888888888888,0.888608870967742,0.8887767969735183,0.22768749858095322,0.11282666609622538,14,11,True,0.00012993799314386933,1.95626367745505e-05
baseline_cssd_lda,42,5,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.3991521471956277,0.01149612502194941,0,0,True,0.00016463681476519554,1.4606604448186289e-05
low_dimensional_riemannian_tslda,42,5,254,62,0.8548387096774194,0.8548387096774194,0.8548009367681498,0.34574558640265995,0.12041433295235038,16,11,True,0.00021984690652354644,4.260993883475894e-05
baseline_cssd_lda,43,1,252,64,0.828125,0.828125,0.828083028083028,0.341532850714626,0.010247417027130723,0,0,True,0.00015806719429067861,2.0233787306089823e-05
low_dimensional_riemannian_tslda,43,1,252,64,0.84375,0.84375,0.8435972629521017,0.30948403585671114,0.11737054213881493,16,11,True,0.0001615524920346445,1.4137968673555434e-05
baseline_cssd_lda,43,2,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045455,0.010484457947313786,0,0,True,0.00014266868715662184,2.9734659794444784e-05
low_dimensional_riemannian_tslda,43,2,252,64,0.796875,0.796875,0.7968253968253969,0.5677993595497872,0.11121566710062325,15,10,True,0.00021470958170111132,2.6416533256690133e-05
baseline_cssd_lda,43,3,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.39226225006980775,0.010493542067706585,0,0,True,0.00018629443311346527,4.020664678822117e-05
low_dimensional_riemannian_tslda,43,3,253,63,0.7936507936507936,0.7918346774193548,0.790268886043534,0.419071237419281,0.11457216716371477,15,11,True,0.00027904143687407235,6.607786320672604e-05
baseline_cssd_lda,43,4,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697381,0.011245625093579292,0,0,True,0.0001412144920770464,3.518403119395774e-05
low_dimensional_riemannian_tslda,43,4,253,63,0.9523809523809523,0.9516129032258065,0.9521882114849481,0.19498665458571832,0.11563916597515345,15,11,True,0.00013100306346203183,1.5764506832161018e-05
baseline_cssd_lda,43,5,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3632261549038589,0.010440666927024722,0,0,True,0.00010688694563487644,1.4194515883581005e-05
low_dimensional_riemannian_tslda,43,5,254,62,0.8225806451612904,0.8225806451612903,0.8214192196910186,0.3806867823533974,0.1140012089163065,15,11,True,0.000166666759156886,1.8254513628024327e-05
baseline_cssd_lda,44,1,252,64,0.828125,0.828125,0.8277465133349645,0.30683242750203693,0.01046050013974309,0,0,True,0.00023547723078998217,1.7730933687065686e-05
low_dimensional_riemannian_tslda,44,1,252,64,0.84375,0.84375,0.84375,0.3928680668628544,0.1145610420498997,15,11,True,0.00020332999698524645,2.543349136768791e-05
baseline_cssd_lda,44,2,252,64,0.859375,0.859375,0.8585114222549741,0.40709676984336074,0.01050500012934208,0,0,True,0.00010541173512779167,2.5753802249450786e-05
low_dimensional_riemannian_tslda,44,2,252,64,0.84375,0.84375,0.8431372549019608,0.4117766456652781,0.11137916683219373,15,10,True,0.00015308976804284669,2.2258781872008804e-05
baseline_cssd_lda,44,3,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.36505045594541674,0.010470291832461953,0,0,True,0.00013465605960849558,1.601337757395349e-05
low_dimensional_riemannian_tslda,44,3,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.28578614453526857,0.11491837492212653,15,11,True,0.00018002137282091546,3.5873490095927885e-05
baseline_cssd_lda,44,4,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.4791364253366135,0.010471625020727515,0,0,True,9.230473110677373e-05,2.2897761306761577e-05
low_dimensional_riemannian_tslda,44,4,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3580156633198573,0.1144614580553025,15,11,True,0.00012633261042216404,1.7529552217454558e-05
baseline_cssd_lda,44,5,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.27915147806108537,0.010431166971102357,0,0,True,0.00011165927817735621,1.3089995669152144e-05
low_dimensional_riemannian_tslda,44,5,254,62,0.9193548387096774,0.9193548387096775,0.9188269180413721,0.2601200877433751,0.11234837491065264,14,11,True,0.0001431146125199234,1.6261005563733555e-05
