seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
42,1,in_sample,f1,64,0.625,0.625,0.6216748768472906,0.6722014561879672
42,1,in_sample,f2,64,0.828125,0.828125,0.828083028083028,0.3795862756512799
42,1,in_sample,f3,64,0.671875,0.671875,0.6717948717948719,0.6222220061677867
42,1,in_sample,f1_f2,64,0.8125,0.8125,0.8125,0.3588088415162424
42,1,in_sample,f1_f3,64,0.75,0.75,0.7497556207233627,0.6071556517153247
42,1,in_sample,f2_f3,64,0.84375,0.84375,0.84375,0.34890489976836025
42,1,in_sample,f1_f2_f3,64,0.859375,0.859375,0.8593406593406594,0.3367270415835584
42,1,inner_oof,f1,64,0.5625,0.5625,0.5515515515515516,0.6690633248706741
42,1,inner_oof,f2,64,0.828125,0.828125,0.828083028083028,0.40971937572143097
42,1,inner_oof,f3,64,0.6875,0.6875,0.6871945259042034,0.5553224642613144
42,1,inner_oof,f1_f2,64,0.8125,0.8125,0.8125,0.3883221273782741
42,1,inner_oof,f1_f3,64,0.734375,0.734375,0.733790066063127,0.5490662241430786
42,1,inner_oof,f2_f3,64,0.84375,0.84375,0.84375,0.3402420250175152
42,1,inner_oof,f1_f2_f3,64,0.875,0.875,0.875,0.33170547936775424
42,2,in_sample,f1,64,0.5625,0.5625,0.5607843137254902,0.6758761748522601
42,2,in_sample,f2,64,0.8125,0.8125,0.8123167155425219,0.3996877162825418
42,2,in_sample,f3,64,0.78125,0.78125,0.7810361681329423,0.533811658955796
42,2,in_sample,f1_f2,64,0.796875,0.796875,0.7964276975776854,0.39685140284777165
42,2,in_sample,f1_f3,64,0.796875,0.796875,0.7968253968253969,0.5297762543660289
42,2,in_sample,f2_f3,64,0.828125,0.828125,0.828083028083028,0.37192736590549963
42,2,in_sample,f1_f2_f3,64,0.84375,0.84375,0.8435972629521017,0.36761013864319014
42,2,inner_oof,f1,64,0.59375,0.59375,0.59375,0.6682690019049442
42,2,inner_oof,f2,64,0.8125,0.8125,0.8123167155425219,0.4676430742916616
42,2,inner_oof,f3,64,0.75,0.75,0.7490196078431373,0.4897486538479777
42,2,inner_oof,f1_f2,64,0.78125,0.78125,0.7810361681329423,0.4575327521562163
42,2,inner_oof,f1_f3,64,0.75,0.75,0.7490196078431373,0.48842014969138825
42,2,inner_oof,f2_f3,64,0.828125,0.828125,0.828083028083028,0.37331765032320785
42,2,inner_oof,f1_f2_f3,64,0.828125,0.828125,0.828083028083028,0.3721291346122588
42,3,in_sample,f1,63,0.6349206349206349,0.6355846774193548,0.6345523329129887,0.6896047010302984
42,3,in_sample,f2,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.6025795574476664
42,3,in_sample,f3,63,0.7301587301587301,0.7303427419354839,0.7301587301587301,0.6634461832716286
42,3,in_sample,f1_f2,63,0.6666666666666666,0.6663306451612903,0.6663303909205549,0.6228185165522874
42,3,in_sample,f1_f3,63,0.7142857142857143,0.7142137096774194,0.7142137096774194,0.6907236368019667
42,3,in_sample,f2_f3,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.4844316338821971
42,3,in_sample,f1_f2_f3,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.5121311209502019
42,3,inner_oof,f1,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.6640059220550898
42,3,inner_oof,f2,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.54437511190478
42,3,inner_oof,f3,63,0.7142857142857143,0.7142137096774194,0.7142137096774194,0.5483585206985893
42,3,inner_oof,f1_f2,63,0.6666666666666666,0.6663306451612903,0.6663303909205549,0.5435174254426302
42,3,inner_oof,f1_f3,63,0.7142857142857143,0.7142137096774194,0.7142137096774194,0.5645298964622392
42,3,inner_oof,f2_f3,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.4307615262109173
42,3,inner_oof,f1_f2_f3,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.4524713145557059
