fusion_training,subset,seed,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
in_sample,f1,42,0.6170886075949367,0.6172134759443977,0.616992717692901,0.6785877104436783,"[[95, 64], [57, 100]]"
in_sample,f1,43,0.689873417721519,0.6899811721347594,0.6898237179487179,0.6217044891961756,"[[107, 52], [46, 111]]"
in_sample,f1,44,0.6044303797468354,0.604755037455434,0.60353705172085,0.6735027925813277,"[[88, 71], [54, 103]]"
in_sample,f2,42,0.8069620253164557,0.8068140848455715,0.8068053119518918,0.4312836573688761,"[[132, 27], [34, 123]]"
in_sample,f2,43,0.7626582278481012,0.7625085125986459,0.7624655474818341,0.42382251282147304,"[[125, 34], [41, 116]]"
in_sample,f2,44,0.8006329113924051,0.800484717381725,0.8004710598847407,0.3996954002947138,"[[131, 28], [35, 122]]"
in_sample,f3,42,0.7689873417721519,0.7689580579257301,0.7689665187737238,0.5394112562362205,"[[123, 36], [37, 120]]"
in_sample,f3,43,0.7784810126582279,0.7785522573408645,0.7784721387653728,0.48046349779083525,"[[122, 37], [33, 124]]"
in_sample,f3,44,0.7721518987341772,0.7723831270280015,0.7719234933237098,0.5270883816543204,"[[117, 42], [30, 127]]"
in_sample,f1_f2,42,0.7721518987341772,0.7721427713015263,0.7721427713015263,0.4374319250620901,"[[123, 36], [36, 121]]"
in_sample,f1_f2,43,0.8006329113924051,0.8006449545327085,0.8006309148264985,0.40822063926606506,"[[127, 32], [31, 126]]"
in_sample,f1_f2,44,0.810126582278481,0.8099587389336218,0.8099362444364249,0.3979774955998362,"[[133, 26], [34, 123]]"
in_sample,f1_f3,42,0.7689873417721519,0.7690782357889677,0.7689665187737238,0.5445163783458996,"[[120, 39], [34, 123]]"
in_sample,f1_f3,43,0.7879746835443038,0.7881464567559989,0.7878705902391616,0.474085042225326,"[[121, 38], [29, 128]]"
in_sample,f1_f3,44,0.7689873417721519,0.7691182950767135,0.7689294908395188,0.5269053359050139,"[[119, 40], [33, 124]]"
in_sample,f2_f3,42,0.8322784810126582,0.8324920882906702,0.8321423202204961,0.3546461209455975,"[[127, 32], [21, 136]]"
in_sample,f2_f3,43,0.8607594936708861,0.8608740936586148,0.8607371794871794,0.32146737082461657,"[[134, 25], [19, 138]]"
in_sample,f2_f3,44,0.8575949367088608,0.8576092617073269,0.857593510590356,0.3296985681779098,"[[136, 23], [22, 135]]"
in_sample,f1_f2_f3,42,0.8322784810126582,0.8324920882906702,0.8321423202204961,0.3570569367206312,"[[127, 32], [21, 136]]"
in_sample,f1_f2_f3,43,0.8575949367088608,0.8576893802828186,0.8575821006139394,0.3208235007839991,"[[134, 25], [20, 137]]"
in_sample,f1_f2_f3,44,0.8607594936708861,0.860793975083123,0.8607594936708861,0.3327258345665689,"[[136, 23], [21, 136]]"
inner_oof,f1,42,0.6139240506329114,0.6138284661298722,0.613784812662793,0.6576269512698292,"[[100, 59], [63, 94]]"
inner_oof,f1,43,0.6835443037974683,0.6835316268076753,0.6835316268076753,0.6176508656546749,"[[109, 50], [50, 107]]"
inner_oof,f1,44,0.6012658227848101,0.6014902055041461,0.6008661133164923,0.6681393287359902,"[[90, 69], [57, 100]]"
inner_oof,f2,42,0.810126582278481,0.8099587389336218,0.8099362444364249,0.4598198112550291,"[[133, 26], [34, 123]]"
inner_oof,f2,43,0.759493670886076,0.7593638585105957,0.7593394260060926,0.461551280400152,"[[124, 35], [41, 116]]"
inner_oof,f2,44,0.7974683544303798,0.7973801225814205,0.7973953115608094,0.4406052893885523,"[[129, 30], [34, 123]]"
inner_oof,f3,42,0.759493670886076,0.7594439770860875,0.7594551282051282,0.5009145790506904,"[[122, 37], [39, 118]]"
inner_oof,f3,43,0.7753164556962026,0.7754076032528142,0.7752962031908821,0.4795245143750123,"[[121, 38], [33, 124]]"
inner_oof,f3,44,0.7816455696202531,0.7817770300044066,0.7815908886017369,0.5037509026973119,"[[121, 38], [31, 126]]"
inner_oof,f1_f2,42,0.7689873417721519,0.7689580579257301,0.7689665187737238,0.45268295886846344,"[[123, 36], [37, 120]]"
inner_oof,f1_f2,43,0.7879746835443038,0.7879461603172696,0.7879555720251985,0.4309365110870082,"[[126, 33], [34, 123]]"
inner_oof,f1_f2,44,0.7943037974683544,0.7942354684933702,0.7942522863639551,0.4327942674900421,"[[128, 31], [34, 123]]"
inner_oof,f1_f3,42,0.7563291139240507,0.7563794415735288,0.7563266736768314,0.5048576971387841,"[[119, 40], [37, 120]]"
inner_oof,f1_f3,43,0.7943037974683544,0.7944357649320996,0.7942522863639551,0.47068075577362706,"[[123, 36], [29, 128]]"
inner_oof,f1_f3,44,0.7689873417721519,0.7691984136522052,0.7687997995489853,0.503699745460234,"[[117, 42], [31, 126]]"
inner_oof,f2_f3,42,0.8322784810126582,0.8324920882906702,0.8321423202204961,0.35855754619045327,"[[127, 32], [21, 136]]"
inner_oof,f2_f3,43,0.8575949367088608,0.8577294395705645,0.8575592751750458,0.3512910463367872,"[[133, 26], [19, 138]]"
inner_oof,f2_f3,44,0.8639240506329114,0.8639386291711734,0.8639226878974513,0.35041940687228923,"[[137, 22], [21, 136]]"
inner_oof,f1_f2_f3,42,0.8227848101265823,0.8229780074510276,0.8226711560044894,0.36635101066319464,"[[126, 33], [23, 134]]"
inner_oof,f1_f2_f3,43,0.8449367088607594,0.8449905860673798,0.8449351559761654,0.35063550285817613,"[[133, 26], [23, 134]]"
inner_oof,f1_f2_f3,44,0.870253164556962,0.8703080559227657,0.8702518652045466,0.35293053688753406,"[[137, 22], [19, 138]]"
