model,seed,accuracy,balanced_accuracy,macro_f1,confusion_matrix
adamw_linear,42,0.6044303797468354,0.6047149781676882,0.6037597680740718,"[[89, 70], [55, 102]]"
logistic_l2,42,0.6487341772151899,0.6489804911268677,0.6483080162430441,"[[97, 62], [49, 108]]"
ridge,42,0.5981012658227848,0.5982654328406041,0.5979039546324407,"[[91, 68], [59, 98]]"
linear_svm,42,0.6107594936708861,0.6108841084805512,0.6106620188117919,"[[94, 65], [58, 99]]"
adamw_linear,43,0.5981012658227848,0.5984657292793334,0.59693472736951,"[[86, 73], [54, 103]]"
logistic_l2,43,0.6265822784810127,0.6268076753595321,0.6262079473916357,"[[94, 65], [53, 104]]"
ridge,43,0.620253164556962,0.620638545046669,0.6190169995579311,"[[89, 70], [50, 107]]"
linear_svm,43,0.6139240506329114,0.6141088811440932,0.6136764470097804,"[[93, 66], [56, 101]]"
adamw_linear,44,0.5981012658227848,0.5984256699915875,0.5971936445483834,"[[87, 72], [55, 102]]"
logistic_l2,44,0.6550632911392406,0.6552697993029684,0.6547832623402656,"[[99, 60], [49, 108]]"
ridge,44,0.6392405063291139,0.6392661138484957,0.6392405063291139,"[[101, 58], [56, 101]]"
linear_svm,44,0.6455696202531646,0.6457156591755798,0.6454417952314164,"[[99, 60], [52, 105]]"
