outer_seed,outer_fold,inner_seed,selected_c,c,inner_oof_accuracy,inner_oof_balanced_accuracy,inner_oof_macro_f1,inner_fold_balanced_accuracy_mean,inner_fold_balanced_accuracy_std,inner_training_accuracy_mean
42,1,42001,10.0,0.001,0.5555555555555556,0.5560314960629922,0.5541795665634675,0.5569556451612903,0.06898064023033483,0.6415712004597782
42,1,42001,10.0,0.003,0.5674603174603174,0.5677795275590551,0.566907904072655,0.568422379032258,0.04934606231869975,0.6653532471841542
42,1,42001,10.0,0.01,0.5873015873015873,0.5877165354330709,0.5863636363636364,0.5884576612903225,0.06515547102694698,0.7222602161431948
42,1,42001,10.0,0.03,0.6031746031746031,0.6032125984251968,0.6031746031746033,0.6043346774193548,0.09203984185047188,0.7843886459647937
42,1,42001,10.0,0.1,0.6031746031746031,0.6031496062992125,0.6031496062992125,0.6043346774193548,0.08714657980820864,0.8584776065459157
42,1,42001,10.0,0.3,0.5992063492063492,0.5990866141732283,0.5990485042297453,0.6003024193548387,0.09130731353575247,0.9007502503303175
42,1,42001,10.0,1.0,0.6071428571428571,0.6071496062992126,0.6071366707084704,0.6078629032258064,0.06827978486652302,0.9483840363319647
42,1,42001,10.0,3.0,0.6349206349206349,0.6348346456692913,0.634828629032258,0.6354586693548386,0.06700959909045259,0.984098766419595
42,1,42001,10.0,10.0,0.6507936507936508,0.6506456692913386,0.6505955757231991,0.651335685483871,0.05623123115157916,1.0
42,2,42002,10.0,0.001,0.5119047619047619,0.5120944881889764,0.5117125348540463,0.5118447580645161,0.025041494029184146,0.6322769838307352
42,2,42002,10.0,0.003,0.5158730158730159,0.5158425196850394,0.5158425196850394,0.5157510080645161,0.03502540675998364,0.6600622418931489
42,2,42002,10.0,0.01,0.5357142857142857,0.5355905511811023,0.5355314355928733,0.5356602822580645,0.04791289923678099,0.6838930956232189
42,2,42002,10.0,0.03,0.5436507936507936,0.5434645669291338,0.5432984004412577,0.5438508064516129,0.06009338556552639,0.7460492247166379
42,2,42002,10.0,0.1,0.5753968253968254,0.5753385826771653,0.5753366406803686,0.5758568548387097,0.06993103225804716,0.8135034690745776
42,2,42002,10.0,0.3,0.5992063492063492,0.5989606299212598,0.5986944799205336,0.599546370967742,0.05660217177835156,0.8743297368717302
42,2,42002,10.0,1.0,0.626984126984127,0.6268346456692913,0.6267725467952354,0.6273941532258065,0.04953447376275875,0.9325524953044549
42,2,42002,10.0,3.0,0.6309523809523809,0.6308976377952755,0.6309000708717222,0.630922379032258,0.022892813724205048,0.9709199861355515
42,2,42002,10.0,10.0,0.6428571428571429,0.642771653543307,0.6427671370967742,0.6427671370967741,0.03127539453359954,0.9986842105263158
42,3,42003,1.0,0.001,0.5612648221343873,0.5615548056492938,0.5590327392635628,0.561491935483871,0.07372781998024351,0.607422533938103
42,3,42003,1.0,0.003,0.5770750988142292,0.5773653293338332,0.5749234513621732,0.577242943548387,0.09410015884809741,0.6350269944786341
42,3,42003,1.0,0.01,0.5731225296442688,0.5733345831771028,0.5719924812030075,0.5730846774193548,0.06672671363040947,0.6943496393689285
42,3,42003,1.0,0.03,0.5849802371541502,0.5851143607049119,0.5845648604269293,0.585055443548387,0.038446297416293726,0.7536168810624584
42,3,42003,1.0,0.1,0.6007905138339921,0.6008311461067366,0.6007655651902195,0.6008064516129032,0.049066619145579866,0.8181401001048286
42,3,42003,1.0,0.3,0.6047430830039525,0.6048306461692288,0.6045886471617904,0.6048387096774194,0.05268845063153252,0.8734390878301046
42,3,42003,1.0,1.0,0.6205533596837944,0.6206724159480065,0.6202626641651032,0.6205897177419355,0.02870292964962456,0.9235094353102069
42,3,42003,1.0,3.0,0.616600790513834,0.6167041619797525,0.6163850374376689,0.6164314516129032,0.03198652937536513,0.9762390633360597
42,3,42003,1.0,10.0,0.5849802371541502,0.5850206224221972,0.5849543004452777,0.5846774193548387,0.02462719012236126,1.0
42,4,42004,0.03,0.001,0.5770750988142292,0.5772403449568804,0.5764133377145629,0.5774949596774194,0.0341414426892521,0.6258509129134645
42,4,42004,0.03,0.003,0.5573122529644269,0.5575240594925635,0.5561403508771929,0.5577116935483871,0.02902017977920319,0.662762928263066
42,4,42004,0.03,0.01,0.5691699604743083,0.5693350831146107,0.568495830008293,0.5696824596774194,0.04149908104022371,0.727286584699095
42,4,42004,0.03,0.03,0.6007905138339921,0.6009248843894512,0.6003909609820939,0.6011844758064516,0.027964707185618217,0.7707431026664976
42,4,42004,0.03,0.1,0.5889328063241107,0.589113860767404,0.5881542699724518,0.5892137096774194,0.036185163499591874,0.8339369001328218
42,4,42004,0.03,0.3,0.5889328063241107,0.5890826146731658,0.5884119634588914,0.588961693548387,0.02968945388078917,0.8826773886432194
