seed,baseline_c,candidate_c,candidate_minus_baseline_accuracy,baseline_only_correct,candidate_only_correct,both_correct,both_wrong,mcnemar_exact_p
42,1.0,1.25,-0.009493670886076,5,2,200,109,0.453125
42,1.0,1.5,-0.006329113924050667,5,3,200,108,0.7265625
42,1.0,2.0,-0.012658227848101333,8,4,197,107,0.3876953125
42,1.0,2.5,-0.025316455696202556,12,4,193,107,0.076812744140625
42,1.0,3.0,-0.02848101265822789,14,5,191,106,0.063568115234375
42,1.0,4.0,-0.025316455696202556,16,8,189,103,0.15158963203430176
42,1.0,5.0,-0.015822784810126556,16,11,189,100,0.44206833839416504
43,1.0,1.25,0.0031645569620253333,2,3,196,115,1.0
43,1.0,1.5,0.0031645569620253333,3,4,195,114,1.0
43,1.0,2.0,0.009493670886075889,3,6,195,112,0.5078125
43,1.0,2.5,0.0031645569620253333,5,6,193,112,1.0
43,1.0,3.0,0.0031645569620253333,6,7,192,111,1.0
43,1.0,4.0,0.0,8,8,190,110,1.0
43,1.0,5.0,0.0031645569620253333,8,9,190,109,1.0
44,1.0,1.25,0.006329113924050556,2,4,205,105,0.6875
44,1.0,1.5,0.006329113924050556,3,5,204,104,0.7265625
44,1.0,2.0,-0.0031645569620253333,5,4,202,105,1.0
44,1.0,2.5,0.009493670886075889,5,8,202,101,0.5810546875
44,1.0,3.0,0.006329113924050556,7,9,200,100,0.803619384765625
44,1.0,4.0,0.0,11,11,196,98,1.0
44,1.0,5.0,-0.0031645569620253333,13,12,194,97,1.0
