c,seed,accuracy,balanced_accuracy,macro_f1,confusion_matrix
1.0,42,0.6487341772151899,0.6489804911268677,0.6483080162430441,"[[97, 62], [49, 108]]"
1.25,42,0.6392405063291139,0.6394664102872251,0.6388788644292072,"[[96, 63], [51, 106]]"
1.5,42,0.6424050632911392,0.6426511236630212,0.6419712237429187,"[[96, 63], [50, 107]]"
2.0,42,0.6360759493670886,0.6362816969114289,0.6357805061388123,"[[96, 63], [52, 105]]"
2.5,42,0.6234177215189873,0.6235428434082442,0.62332341657401,"[[96, 63], [56, 101]]"
3.0,42,0.620253164556962,0.6203981893201939,0.6201162091765178,"[[95, 64], [56, 101]]"
4.0,42,0.6234177215189873,0.62358290269599,0.6232328393800033,"[[95, 64], [55, 102]]"
5.0,42,0.6329113924050633,0.6330969835356327,0.6326759660092993,"[[96, 63], [53, 104]]"
1.0,43,0.6265822784810127,0.6268076753595321,0.6262079473916357,"[[94, 65], [53, 104]]"
1.25,43,0.629746835443038,0.6299923887353283,0.6292976387426681,"[[94, 65], [52, 105]]"
1.5,43,0.629746835443038,0.6299923887353283,0.6292976387426681,"[[94, 65], [52, 105]]"
2.0,43,0.6360759493670886,0.6363217561991747,0.6356344312427935,"[[95, 64], [51, 106]]"
2.5,43,0.629746835443038,0.6299923887353283,0.6292976387426681,"[[94, 65], [52, 105]]"
3.0,43,0.629746835443038,0.6299523294475824,0.6294462540716613,"[[95, 64], [53, 104]]"
4.0,43,0.6265822784810127,0.6268076753595321,0.6262079473916357,"[[94, 65], [53, 104]]"
5.0,43,0.629746835443038,0.6299523294475824,0.6294462540716613,"[[95, 64], [53, 104]]"
1.0,44,0.6550632911392406,0.6552697993029684,0.6547832623402656,"[[99, 60], [49, 108]]"
1.25,44,0.6613924050632911,0.6614789889035773,0.6613618836820334,"[[103, 56], [51, 106]]"
1.5,44,0.6613924050632911,0.6615190481913231,0.6613076098606645,"[[102, 57], [50, 107]]"
2.0,44,0.6518987341772152,0.6520049673516805,0.6518429487179487,"[[101, 58], [52, 105]]"
2.5,44,0.6645569620253164,0.6646637022793734,0.6645032051282052,"[[103, 56], [50, 107]]"
3.0,44,0.6613924050632911,0.6615190481913231,0.6613076098606645,"[[102, 57], [50, 107]]"
4.0,44,0.6550632911392406,0.6551496214397308,0.6550321992648753,"[[102, 57], [52, 105]]"
5.0,44,0.6518987341772152,0.6520049673516805,0.6518429487179487,"[[101, 58], [52, 105]]"
