pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
current__logistic,current,logistic,42,1,252,64,196,0.9087301587301587,0.010448249988257885,0.609375,0.609375,0.6046454163577959,"[[23, 9], [16, 16]]"
current__fisher,current,fisher,42,1,252,64,196,0.8333333333333334,0.010140666970983148,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
terminal__logistic,terminal,logistic,42,1,252,64,252,0.8055555555555556,0.00892870791722089,0.671875,0.671875,0.6717948717948719,"[[21, 11], [10, 22]]"
terminal__fisher,terminal,fisher,42,1,252,64,252,0.7777777777777778,0.0073440419510006905,0.65625,0.65625,0.6559139784946237,"[[20, 12], [10, 22]]"
combined__logistic,combined,logistic,42,1,252,64,448,0.9682539682539683,0.022686124895699322,0.625,0.625,0.6216748768472906,"[[23, 9], [15, 17]]"
combined__fisher,combined,fisher,42,1,252,64,448,0.9087301587301587,0.0209576670313254,0.609375,0.609375,0.6069761729304839,"[[22, 10], [15, 17]]"
fourier_pca__logistic,fourier_pca,logistic,42,1,252,64,20,0.623015873015873,0.0005217919824644923,0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]"
fourier_pca__fisher,fourier_pca,fisher,42,1,252,64,20,0.623015873015873,0.0013939159689471126,0.625,0.625,0.624633431085044,"[[21, 11], [13, 19]]"
current__logistic,current,logistic,42,2,252,64,196,0.8928571428571429,0.009226666996255517,0.71875,0.71875,0.7184750733137829,"[[22, 10], [8, 24]]"
current__fisher,current,fisher,42,2,252,64,196,0.7738095238095238,0.005070875049568713,0.703125,0.703125,0.7013018914271678,"[[25, 7], [12, 20]]"
terminal__logistic,terminal,logistic,42,2,252,64,252,0.8293650793650794,0.009208707953803241,0.703125,0.703125,0.7024712503058479,"[[24, 8], [11, 21]]"
terminal__fisher,terminal,fisher,42,2,252,64,252,0.8214285714285714,0.007040707976557314,0.6875,0.6875,0.6871945259042034,"[[23, 9], [11, 21]]"
combined__logistic,combined,logistic,42,2,252,64,448,0.9563492063492064,0.02408137498423457,0.703125,0.703125,0.703052503052503,"[[23, 9], [10, 22]]"
combined__fisher,combined,fisher,42,2,252,64,448,0.8809523809523809,0.018715083017013967,0.6875,0.6875,0.6875,"[[22, 10], [10, 22]]"
fourier_pca__logistic,fourier_pca,logistic,42,2,252,64,20,0.6666666666666666,0.00043516606092453003,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
fourier_pca__fisher,fourier_pca,fisher,42,2,252,64,20,0.6706349206349206,0.0011554999509826303,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
current__logistic,current,logistic,42,3,253,63,196,0.9051383399209486,0.011165916919708252,0.6190476190476191,0.6209677419354839,0.6142857142857143,"[[16, 16], [8, 23]]"
current__fisher,current,fisher,42,3,253,63,196,0.782608695652174,0.006528583006002009,0.5873015873015873,0.5897177419354839,0.5787037037037037,"[[14, 18], [8, 23]]"
terminal__logistic,terminal,logistic,42,3,253,63,252,0.8142292490118577,0.008669290924444795,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
terminal__fisher,terminal,fisher,42,3,253,63,252,0.7944664031620553,0.007224833010695875,0.6349206349206349,0.6345766129032258,0.6345523329129887,"[[21, 11], [12, 19]]"
combined__logistic,combined,logistic,42,3,253,63,448,0.9644268774703557,0.023021249915473163,0.6825396825396826,0.6819556451612903,0.6818181818181819,"[[23, 9], [11, 20]]"
combined__fisher,combined,fisher,42,3,253,63,448,0.8932806324110671,0.017666083993390203,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
fourier_pca__logistic,fourier_pca,logistic,42,3,253,63,20,0.6640316205533597,0.0005128749180585146,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
fourier_pca__fisher,fourier_pca,fisher,42,3,253,63,20,0.6679841897233202,0.0011885000858455896,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
current__logistic,current,logistic,42,4,253,63,196,0.8893280632411067,0.009009208995848894,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
current__fisher,current,fisher,42,4,253,63,196,0.8221343873517787,0.004970583016984165,0.6825396825396826,0.6839717741935484,0.6805273833671399,"[[19, 13], [7, 24]]"
