factor_a,level_a,reference_a,factor_b,level_b,reference_b,matched_contexts,mean_difference_in_differences,interaction_sd,minimum_interaction,maximum_interaction,positive_context_count,tied_context_count
covariance,ledoit_wolf,empirical,trial_trace_normalization,1,0,18,3.1157223802338566e-05,0.015061500844201063,-0.022212875055081516,0.03491166927052036,11,0
covariance,oas,empirical,trial_trace_normalization,1,0,18,0.001961792341554389,0.015875559798179367,-0.022132756479589788,0.04765052277370507,11,0
covariance,ledoit_wolf,empirical,f2_components_per_class,2,3,12,0.0020196557571873033,0.014157834045494243,-0.02547770700636942,0.022012578616352196,8,0
covariance,ledoit_wolf,empirical,f2_components_per_class,1,3,12,-0.0031980664717114657,0.013958528697279753,-0.025517766294115285,0.019028161679285338,5,0
covariance,oas,empirical,f2_components_per_class,2,3,12,-0.0016758135373686385,0.016358330718663914,-0.04769058206145094,0.01894804310379361,6,0
covariance,oas,empirical,f2_components_per_class,1,3,12,-0.00347347407496428,0.013194383685380692,-0.02547770700636942,0.015923566878980888,6,0
covariance,ledoit_wolf,empirical,fusion,soft_vote,lda,18,-0.0017425790169450783,0.013243327957489242,-0.031726955894724185,0.02535752914313183,6,0
covariance,oas,empirical,fusion,soft_vote,lda,18,-0.002262236999648368,0.015323264436443171,-0.041241036734366854,0.025437647718623557,6,2
trial_trace_normalization,1,0,f2_components_per_class,2,3,18,0.001357564751387609,0.012462274508262868,-0.022212875055081516,0.025397588430877693,9,1
trial_trace_normalization,1,0,f2_components_per_class,1,3,18,0.007879439348012836,0.013073751796788992,-0.015803389015743297,0.03156671874374073,11,0
trial_trace_normalization,1,0,fusion,soft_vote,lda,27,-0.004011863483882071,0.017167604477978035,-0.041160918158875126,0.03160677803148659,11,0
f2_components_per_class,2,3,fusion,soft_vote,lda,18,-0.0017425790169450783,0.014883382211567047,-0.028542242518928007,0.022132756479589788,7,1
f2_components_per_class,1,3,fusion,soft_vote,lda,18,-0.007516680242314179,0.012445321443951572,-0.025197291992148374,0.015803389015743297,6,0
