variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,mean_macro_f1,mean_ba_delta_vs_baseline,improved_seed_count,tied_seed_count
cov_empirical__trial_off__f2_3__fusion_lda,combination_ablation,empirical,0,3,lda,0.8502109704641351,0.8503251478855374,0.012673414117857891,0.8324920882906702,0.8501613048351072,0.0,0,3
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,0.8291139240506329,0.8291738439557212,0.0025516819471475562,0.826082602251332,0.8290965535358734,-0.021151303929816123,0,0
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,0.8481012658227848,0.8482287118268371,0.0025843846907980432,0.8450306453551256,0.8480596653267506,-0.0020964360587002093,1,0
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,0.8438818565400844,0.8440224866135214,0.011654457120158185,0.829307374914874,0.8438062711565316,-0.006302661272015915,1,0
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,0.8628691983122363,0.8629438235254844,0.003989884055567026,0.8576092617073269,0.8628575344379205,0.012618675639947119,3,0
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,0.8438818565400844,0.8439957804216908,0.009748331623657475,0.835516564515483,0.8438355096059982,-0.006329367463846491,1,0
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,0.8428270042194094,0.8429475623923407,0.017195804086528568,0.8197532347874855,0.842796394817498,-0.007377585493196596,1,0
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,0.8270042194092827,0.827077407897021,0.006509322679008069,0.8196731162119938,0.8269961904053078,-0.02324773998851633,0,0
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,0.8449367088607594,0.845043998451041,0.00442844912330657,0.8387813964667709,0.8449021828779983,-0.0052811494344963865,1,0
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,0.8270042194092827,0.8270907609929363,0.006513676594955806,0.8197131754997397,0.826989428277512,-0.023234386892601044,1,0
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,0.8670886075949368,0.8672168142183766,0.006836543861915548,0.8609141529463606,0.8670574778491756,0.016891666332839266,3,0
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,0.8428270042194091,0.8429342092964255,0.007908392897608616,0.8323719104274326,0.842804890339622,-0.007390938589111884,1,0
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,0.8481012658227849,0.8481752994431759,0.004418916529202312,0.8419260505548212,0.8480812512411346,-0.002149848442361361,1,0
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,0.8375527426160337,0.8376263536700984,0.011626310647145734,0.8228978888755358,0.8375422407362471,-0.012698794215438847,0,0
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,0.8544303797468354,0.8544512545233612,0.004400032529742142,0.8513199535312262,0.8544086753926994,0.004126106637823979,2,0
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,0.839662447257384,0.8397094366328833,0.0074686731551837915,0.8291471377638906,0.8396614120009879,-0.010615711252653925,0,0
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,0.8660337552742616,0.86610183070945,0.011674688199347335,0.8513199535312262,0.8660268349935872,0.01577668282391272,2,0
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,0.839662447257384,0.8397494959206293,0.014239225206751442,0.82285782958779,0.839650952996234,-0.010575651964908062,1,1
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,0.8438818565400844,0.8440358397094366,0.010757856068950845,0.8292673156271282,0.8438255526614573,-0.0062893081761006275,0,0
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,0.8259493670886076,0.8260692491554167,0.0051025252953228835,0.8198333533629772,0.825894765325439,-0.024255898730120573,0,0
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,0.8523206751054851,0.8523815246564915,0.005350152464865396,0.8450306453551256,0.8523135969005032,0.0020563767709543455,1,0
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,0.8322784810126582,0.8323051449478562,0.007751866090895993,0.8228177703000441,0.832277921129097,-0.018020002937681096,1,0
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,0.8639240506329114,0.8640053946507499,0.008970021071852212,0.8513199535312262,0.8639122904750237,0.013680246765212511,3,0
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,0.8407172995780591,0.8408244201418099,0.00793342479148755,0.8323719104274326,0.840687381240815,-0.00950072774372738,1,0
