variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
baseline,42,1,2,bp,left,0.7003604083662519,0.7003604083662519,45.54407322916083,45.54407322916083
baseline,42,1,2,bp,right,0.5186997877590347,0.5186997877590347,58.75492382234655,58.75492382234655
baseline,42,1,2,erd,left,0.802337814184538,0.5476165193663105,33.29663005811438,56.796350594517186
baseline,42,1,2,erd,right,0.6541105623720552,0.3283376690969119,46.99814522406897,70.83209020629029
baseline,42,1,3,bp,left,0.687092796741741,0.687092796741741,46.599583163365025,46.599583163365025
baseline,42,1,3,bp,right,0.6901531627556541,0.6901531627556541,46.35776575047101,46.35776575047101
baseline,42,1,3,erd,left,0.8389755762036083,0.5875145080053329,28.154063363867547,54.01917218050243
baseline,42,1,3,erd,right,0.7294709297064387,0.35902913295596284,38.697715404045645,68.95941627322594
baseline,42,1,4,bp,left,0.8230888158156825,0.8230888158156825,34.60479780708338,34.60479780708338
baseline,42,1,4,bp,right,0.7578965972974616,0.7578965972974616,40.720884195200895,40.720884195200895
baseline,42,1,4,erd,left,0.6122886390262173,0.1909383499353935,46.53506494644165,78.99244971476692
baseline,42,1,4,erd,right,0.5539351618964136,0.14048483119716274,52.85919212731798,81.92409769858003
baseline,42,1,5,bp,left,0.6008542278060809,0.6008542278060809,53.06889826535644,53.06889826535644
baseline,42,1,5,bp,right,0.19123229745537754,0.19123229745537754,78.97529159715326,78.97529159715326
baseline,42,1,5,erd,left,0.8050004000644302,0.6540545565661967,32.963923686626906,49.15199975358433
baseline,42,1,5,erd,right,0.4453236670073482,0.013333668768942836,60.69851892256523,89.23601441522484
baseline,42,2,3,bp,left,0.6878999665304374,0.6878999665304374,46.53589794194804,46.53589794194804
baseline,42,2,3,bp,right,0.8334651035883387,0.8334651035883387,33.54364906082823,33.54364906082823
baseline,42,2,3,erd,left,0.6357786595050442,0.06523001877048917,43.75446088786516,86.25993972410076
baseline,42,2,3,erd,right,0.7499874308452082,0.5232104867909692,38.07445657611122,58.452147954691625
baseline,42,2,4,bp,left,0.8004963399746877,0.8004963399746877,36.82247449639456,36.82247449639456
baseline,42,2,4,bp,right,0.5850192652414691,0.5850192652414691,54.19564897584115,54.19564897584115
baseline,42,2,4,erd,left,0.6991940207708032,0.31179940642236964,40.36101756063806,71.8322954147766
baseline,42,2,4,erd,right,0.48760230097899626,0.08051336078136088,58.249623048390134,85.38192566979963
baseline,42,2,5,bp,left,0.6828082406836157,0.6828082406836157,46.93651945103388,46.93651945103388
baseline,42,2,5,bp,right,0.5112214818767544,0.5112214818767544,59.2547736632468,59.2547736632468
baseline,42,2,5,erd,left,0.6733216524316413,0.16222800793199985,41.13262173278931,80.66375850593121
baseline,42,2,5,erd,right,0.6685756995040784,0.3436016299803368,43.91669290619976,69.90354258284428
baseline,42,3,4,bp,left,0.8863466971989831,0.8863466971989831,27.5822953810222,27.5822953810222
baseline,42,3,4,bp,right,0.8149465060708706,0.8149465060708706,35.41792712558991,35.41792712558991
baseline,42,3,4,erd,left,0.6689121838614399,0.3820757214728658,45.337763780706005,67.53768297532349
baseline,42,3,4,erd,right,0.5137740758342546,0.05484312299732448,55.6641357433028,86.85614317305492
baseline,42,3,5,bp,left,0.5397081486357403,0.5397081486357403,57.33622652982335,57.33622652982335
baseline,42,3,5,bp,right,0.26313934648319226,0.26313934648319226,74.74357827036756,74.74357827036756
baseline,42,3,5,erd,left,0.8002603497254738,0.6162667882949502,35.10820983863983,51.95597484546326
baseline,42,3,5,erd,right,0.6206716474241794,0.411447983911735,49.36790737741211,65.70417260654375
baseline,42,4,5,bp,left,0.5940394575771569,0.5940394575771569,53.555812539983485,53.555812539983485
baseline,42,4,5,bp,right,0.03308231368136882,0.03308231368136882,88.10417713167126,88.10417713167126
baseline,42,4,5,erd,left,0.7736637226742286,0.5034880483415415,35.50838170856439,59.7689630170371
baseline,42,4,5,erd,right,0.4373834265690128,0.08738881883890327,61.25111666109916,84.98659457517589
baseline,43,1,2,bp,left,0.8995157763214384,0.8995157763214384,25.905508987066334,25.905508987066334
baseline,43,1,2,bp,right,0.6722567149020734,0.6722567149020734,47.75852101730044,47.75852101730044
baseline,43,1,2,erd,left,0.628688849313077,0.09373366848810503,43.534188350723234,84.62156087425305
baseline,43,1,2,erd,right,0.6692127651239899,0.3925570567032044,46.214211139715644,66.88629920881729
baseline,43,1,3,bp,left,0.5348725093618736,0.5348725093618736,57.66473427386698,57.66473427386698
baseline,43,1,3,bp,right,0.42588936543601447,0.42588936543601447,64.79302966377516,64.79302966377516
baseline,43,1,3,erd,left,0.8165250057197464,0.6471921359244152,32.10898217161795,49.669766038566394
baseline,43,1,3,erd,right,0.8498250705878344,0.7675034611333077,30.263236678437703,39.86977188337524
baseline,43,1,4,bp,left,0.775197955951903,0.775197955951903,39.17701660958904,39.17701660958904
baseline,43,1,4,bp,right,0.5951635418839214,0.5951635418839214,53.4757084930615,53.4757084930615
baseline,43,1,4,erd,left,0.6714198532655531,0.17216844221411381,41.700073630594254,80.08607913533432
baseline,43,1,4,erd,right,0.5183060355559168,0.08319885213378235,56.0824816740809,85.22754020869465
baseline,43,1,5,bp,left,0.720331571981485,0.720331571981485,43.91813757810276,43.91813757810276
baseline,43,1,5,bp,right,0.5106889723004443,0.5106889723004443,59.290267255884274,59.290267255884274
baseline,43,1,5,erd,left,0.7502545096455197,0.5454629604433943,37.7881489105699,56.943693593594695
baseline,43,1,5,erd,right,0.722846765093354,0.4483116627575635,41.504405151767145,63.36458652009421
baseline,43,2,3,bp,left,0.5411729458748127,0.5411729458748127,57.23647789851114,57.23647789851114
baseline,43,2,3,bp,right,0.874359557164392,0.874359557164392,29.030730183553498,29.030730183553498
baseline,43,2,3,erd,left,0.8158701827126045,0.5797244787022966,32.12764097674775,54.56883372753808
baseline,43,2,3,erd,right,0.6117385674393968,0.36074336906587323,48.98429564564884,68.8541441237147
baseline,43,2,4,bp,left,0.7446893267922314,0.7446893267922314,41.86757860893716,41.86757860893716
baseline,43,2,4,bp,right,0.5186193552154673,0.5186193552154673,58.76031393757676,58.76031393757676
baseline,43,2,4,erd,left,0.8734465539369282,0.6940104584296277,25.095756022043332,46.05158410417231
baseline,43,2,4,erd,right,0.6474318108540454,0.283152498647438,45.25088161968705,73.55155385826659
baseline,43,2,5,bp,left,0.7706432573715994,0.7706432573715994,39.588312008418356,39.588312008418356
baseline,43,2,5,bp,right,0.801963185964726,0.801963185964726,36.682016131297395,36.682016131297395
baseline,43,2,5,erd,left,0.877873511826332,0.7192548976867806,24.691263500438925,44.00700237129272
baseline,43,2,5,erd,right,0.5312232537121941,0.08750588075074561,54.0924894496921,84.97986162872508
baseline,43,3,4,bp,left,0.6807330681558138,0.6807330681558138,47.099045833486166,47.099045833486166
baseline,43,3,4,bp,right,0.49865005069194285,0.49865005069194285,60.089271810671754,60.089271810671754
baseline,43,3,4,erd,left,0.7341144517511365,0.3353444953741014,37.03869825602675,70.40651211420276
baseline,43,3,4,erd,right,0.5171939402401757,0.09098182286108775,55.65718671817431,84.77990685425691
baseline,43,3,5,bp,left,0.38655184902199147,0.38655184902199147,67.25988521141957,67.25988521141957
baseline,43,3,5,bp,right,0.7973457863746587,0.7973457863746587,37.12261408756188,37.12261408756188
baseline,43,3,5,erd,left,0.9315398640188269,0.8825613341004814,20.581676751562508,28.04710381821448
baseline,43,3,5,erd,right,0.6554733342889478,0.38658325368962587,47.21068780695319,67.25793418592212
baseline,43,4,5,bp,left,0.7603280691590807,0.7603280691590807,40.50687171819538,40.50687171819538
baseline,43,4,5,bp,right,0.6639335016124569,0.6639335016124569,48.3994415224246,48.3994415224246
baseline,43,4,5,erd,left,0.7224448709132846,0.3213054818448118,37.323297829483955,71.25810672522388
baseline,43,4,5,erd,right,0.46981750231704716,0.047291412329114366,57.48194410608057,87.2893906558026
baseline,44,1,2,bp,left,0.8525476950750388,0.8525476950750388,31.510138467341974,31.510138467341974
baseline,44,1,2,bp,right,0.45119704530224913,0.45119704530224913,63.17948889486015,63.17948889486015
baseline,44,1,2,erd,left,0.6434036379877932,0.005768384924712053,40.088851998213414,89.66949405629946
