variant,family,branch,side,comparisons,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
baseline,reference,bp,left,30,0.6932747360614988,0.32296859596151123,44.7736287963634,71.15745167510845
baseline,reference,bp,right,30,0.48008571625066015,0.03308231368136882,59.83054329644012,88.10417713167126
baseline,reference,erd,left,30,0.757805560018767,0.005768384924712053,34.812715145054,89.66949405629946
baseline,reference,erd,right,30,0.6114912694464142,0.0062328273555290505,48.738473405673695,89.64288298584728
covariance_ridge_1e3,covariance,bp,left,30,0.6952925845411388,0.34624999044301447,44.59065695961632,69.74188148556397
covariance_ridge_1e3,covariance,bp,right,30,0.4918875628269477,0.02443753225443263,58.999109989530346,88.59969314094431
covariance_ridge_1e3,covariance,erd,left,30,0.756624912685452,0.0006444502967283684,34.94009121327602,89.96307571533563
covariance_ridge_1e3,covariance,erd,right,30,0.6105999984736542,0.007570598168192886,48.82621895904461,89.5662325330175
covariance_ledoit_wolf,covariance,bp,left,30,0.6954297721720937,0.34671817164825475,44.573115001328034,69.71328531248844
covariance_ledoit_wolf,covariance,bp,right,30,0.5001025156309388,0.02459058347091925,58.43824392080137,88.59092131611966
covariance_ledoit_wolf,covariance,erd,left,30,0.7530115463165834,0.007279026946089013,35.37338867951023,89.5829387940271
covariance_ledoit_wolf,covariance,erd,right,30,0.601844927313016,0.00013607587882625007,49.687161885293065,89.99220342642566
covariance_oas,covariance,bp,left,30,0.697172215808337,0.33731888260248305,44.348017404297956,70.28639015659637
covariance_oas,covariance,bp,right,30,0.5456822016605479,0.02110138182993677,55.283283430987055,88.79089013820925
covariance_oas,covariance,erd,left,30,0.7549892716539183,0.011539327553054124,35.15097329113185,89.3388305591155
covariance_oas,covariance,erd,right,30,0.6032015763104545,0.016556312600660452,49.554888903385,89.05134982099796
trial_trace_normalized,trial_normalization,bp,left,30,0.6612510396351085,0.2159167831375882,47.31626835601995,77.5306814956324
trial_trace_normalized,trial_normalization,bp,right,30,0.5627183533767356,0.058840089958737164,53.89240692621932,86.62676282077295
trial_trace_normalized,trial_normalization,erd,left,30,0.7816019591391623,0.014800167072492735,31.8193490487056,89.15198192972409
trial_trace_normalized,trial_normalization,erd,right,30,0.6458393714632441,0.0032289821706536436,45.7000925703268,89.81499262800642
f2_components_2,f2_reduction,bp,left,30,0.6932747360614988,0.32296859596151123,44.7736287963634,71.15745167510845
f2_components_2,f2_reduction,bp,right,30,0.48008571625066015,0.03308231368136882,59.83054329644012,88.10417713167126
f2_components_2,f2_reduction,erd,left,30,0.8095507121783413,0.048883216836639404,31.595453390028254,87.19808133351808
f2_components_2,f2_reduction,erd,right,30,0.5268130760384989,0.004102844340472574,55.94951278119156,89.76492367576903
f2_components_1,f2_reduction,bp,left,30,0.6932747360614988,0.32296859596151123,44.7736287963634,71.15745167510845
f2_components_1,f2_reduction,bp,right,30,0.48008571625066015,0.03308231368136882,59.83054329644012,88.10417713167126
f2_components_1,f2_reduction,erd,left,30,0.9108441505229178,0.7837550404495296,23.715014756576313,38.39431910745417
f2_components_1,f2_reduction,erd,right,30,0.4624298526957812,0.012778690013970044,60.86215876814381,89.26781506655834
fusion_hard_vote,voting,bp,left,30,0.6932747360614988,0.32296859596151123,44.7736287963634,71.15745167510845
fusion_hard_vote,voting,bp,right,30,0.48008571625066015,0.03308231368136882,59.83054329644012,88.10417713167126
fusion_hard_vote,voting,erd,left,30,0.757805560018767,0.005768384924712053,34.812715145054,89.66949405629946
fusion_hard_vote,voting,erd,right,30,0.6114912694464142,0.0062328273555290505,48.738473405673695,89.64288298584728
fusion_soft_vote,voting,bp,left,30,0.6932747360614988,0.32296859596151123,44.7736287963634,71.15745167510845
fusion_soft_vote,voting,bp,right,30,0.48008571625066015,0.03308231368136882,59.83054329644012,88.10417713167126
fusion_soft_vote,voting,erd,left,30,0.757805560018767,0.005768384924712053,34.812715145054,89.66949405629946
fusion_soft_vote,voting,erd,right,30,0.6114912694464142,0.0062328273555290505,48.738473405673695,89.64288298584728
