variant,family,seed,baseline_wrong_candidate_right,baseline_right_candidate_wrong,discordant_cases,exact_mcnemar_p
covariance_ridge_1e3,covariance,42,0,2,2,0.5
covariance_ridge_1e3,covariance,43,0,0,0,1.0
covariance_ridge_1e3,covariance,44,1,2,3,1.0
covariance_ledoit_wolf,covariance,42,5,3,8,0.7265625
covariance_ledoit_wolf,covariance,43,4,0,4,0.125
covariance_ledoit_wolf,covariance,44,8,4,12,0.3876953125
covariance_oas,covariance,42,3,4,7,1.0
covariance_oas,covariance,43,3,0,3,0.25
covariance_oas,covariance,44,8,4,12,0.3876953125
trial_trace_normalized,trial_normalization,42,17,17,34,1.0
trial_trace_normalized,trial_normalization,43,20,21,41,1.0
trial_trace_normalized,trial_normalization,44,23,15,38,0.2558750795433298
f2_components_2,f2_reduction,42,16,10,26,0.32693958282470703
f2_components_2,f2_reduction,43,16,11,27,0.44206833839416504
f2_components_2,f2_reduction,44,19,15,34,0.6075913612730801
f2_components_1,f2_reduction,42,33,12,45,0.002458900322096724
f2_components_1,f2_reduction,43,24,20,44,0.651587827208914
f2_components_1,f2_reduction,44,29,20,49,0.2528697301676033
fusion_hard_vote,voting,42,33,41,74,0.4159851975073046
fusion_hard_vote,voting,43,32,34,66,0.9021585000966994
fusion_hard_vote,voting,44,37,37,74,1.0
fusion_soft_vote,voting,42,10,9,19,1.0
fusion_soft_vote,voting,43,13,16,29,0.711071103811264
fusion_soft_vote,voting,44,21,19,40,0.8746293123804207
