variant,family,seed,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
baseline,reference,42,316,0.5791139240506329,0.5790369747225894,0.5790085244062466,0.8820787629003611,"[[94, 65], [68, 89]]"
baseline,reference,43,316,0.6234177215189873,0.6234627248327524,0.6234139502278304,0.7569558392585832,"[[98, 61], [58, 99]]"
baseline,reference,44,316,0.5917721518987342,0.5918960060890117,0.5916699221684647,0.7652292953799072,"[[91, 68], [61, 96]]"
covariance_ridge_1e3,covariance,42,316,0.5727848101265823,0.5727476665464888,0.572746301841818,0.8819392187386609,"[[92, 67], [68, 89]]"
covariance_ridge_1e3,covariance,43,316,0.6234177215189873,0.6234627248327524,0.6234139502278304,0.7567635134926763,"[[98, 61], [58, 99]]"
covariance_ridge_1e3,covariance,44,316,0.5886075949367089,0.5887112927132155,0.5885416666666667,0.7653942420155259,"[[91, 68], [62, 95]]"
covariance_ledoit_wolf,covariance,42,316,0.5854430379746836,0.5853663421864359,0.5853392232873555,0.8869541979392378,"[[95, 64], [67, 90]]"
covariance_ledoit_wolf,covariance,43,316,0.6360759493670886,0.6361214597604454,0.6360723048420209,0.7527020936253374,"[[100, 59], [56, 101]]"
covariance_ledoit_wolf,covariance,44,316,0.6044303797468354,0.6046348595921964,0.6041092458030569,0.763709453394452,"[[91, 68], [57, 100]]"
covariance_oas,covariance,42,316,0.5759493670886076,0.575932379922285,0.575932379922285,0.8844905181844809,"[[92, 67], [67, 90]]"
covariance_oas,covariance,43,316,0.6329113924050633,0.6329768056723951,0.6328966870969034,0.7537311448219245,"[[99, 60], [56, 101]]"
covariance_oas,covariance,44,316,0.6044303797468354,0.6045948003044506,0.6042361758193313,0.7610247806963815,"[[92, 67], [58, 99]]"
trial_trace_normalized,trial_normalization,42,316,0.5791139240506329,0.5790770340103353,0.5790759862589763,0.977319640276658,"[[93, 66], [67, 90]]"
trial_trace_normalized,trial_normalization,43,316,0.620253164556962,0.6204382486079397,0.62000962000962,0.8027789428748059,"[[94, 65], [55, 102]]"
trial_trace_normalized,trial_normalization,44,316,0.6170886075949367,0.6169731202179225,0.6169006181931127,0.7830488433122395,"[[101, 58], [63, 94]]"
f2_components_2,f2_reduction,42,316,0.5981012658227848,0.5981051956896206,0.5980972409994492,0.8493887821019376,"[[95, 64], [63, 94]]"
f2_components_2,f2_reduction,43,316,0.6392405063291139,0.6394263509994792,0.639009139009139,0.7371643040249298,"[[97, 62], [52, 105]]"
f2_components_2,f2_reduction,44,316,0.6044303797468354,0.6045146817289588,0.6043947239276093,0.7494186777388596,"[[94, 65], [60, 97]]"
f2_components_1,f2_reduction,42,316,0.6455696202531646,0.6456355406000881,0.6455554220245964,0.8155327259511677,"[[101, 58], [54, 103]]"
f2_components_1,f2_reduction,43,316,0.6360759493670886,0.6362015783359372,0.6359848143362282,0.7243823956621356,"[[98, 61], [54, 103]]"
f2_components_1,f2_reduction,44,316,0.620253164556962,0.6203981893201939,0.6201162091765178,0.7388647923164382,"[[95, 64], [56, 101]]"
fusion_hard_vote,voting,42,316,0.5537974683544303,0.5539198013059328,0.5536857288818102,2.767913607030643,"[[85, 74], [67, 90]]"
fusion_hard_vote,voting,43,316,0.6170886075949367,0.6172935945198894,0.616777749937359,2.4945119037957504,"[[93, 66], [55, 102]]"
fusion_hard_vote,voting,44,316,0.5917721518987342,0.5919360653767576,0.5915717334455499,2.634524452311906,"[[90, 69], [60, 97]]"
fusion_soft_vote,voting,42,316,0.5822784810126582,0.582381925249369,0.5822115384615385,0.6816288583216635,"[[90, 69], [63, 94]]"
fusion_soft_vote,voting,43,316,0.6139240506329114,0.6140688218563474,0.613784812662793,0.6552128011049393,"[[94, 65], [57, 100]]"
fusion_soft_vote,voting,44,316,0.5981012658227848,0.5985057885670793,0.5966430473893161,0.6676799313218388,"[[85, 74], [53, 104]]"
