bin_number,prediction_time_ms,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,best_seed_balanced_accuracy,mean_macro_f1,delta_vs_offline_reference
1,50,0.5063291139240506,0.5062158661485666,0.029864838600985724,0.464988182510115,0.5347714617634098,0.5060410313450668,-0.36100094806981
2,100,0.5126582278481012,0.5127188238593118,0.010237845720599893,0.5001402075071105,0.5252173216360213,0.5124824684431978,-0.3544979903590648
3,150,0.5516877637130801,0.5515696564248421,0.010596752242437718,0.5376357008372391,0.5633137042823378,0.5511730235421108,-0.31564715779353447
4,200,0.5632911392405063,0.5633270573782531,0.002569334832374684,0.5602491687697793,0.5665384769458799,0.5631888952468581,-0.30388975684012354
5,250,0.6297468354430379,0.6297386799129377,0.00902667308561258,0.6169731202179225,0.6361615190481913,0.629672023016178,-0.23747813430543885
6,300,0.689873417721519,0.6897007571205384,0.009375542320942511,0.6769619036173536,0.6992548972479269,0.6895295472116597,-0.17751605709783824
7,350,0.7289029535864978,0.7289121232757814,0.01978881735862894,0.7024796699114689,0.7500901333974281,0.7288760021332236,-0.13830469094259523
8,400,0.7721518987341772,0.7721694774933568,0.01864226098533826,0.7468253014461402,0.7911308736930658,0.7721427713015263,-0.09504733672501975
9,450,0.7964135021097046,0.7964787886071386,0.007922696876033468,0.7879862196050155,0.8070544405720467,0.7964008139771126,-0.07073802561123799
10,500,0.8291139240506329,0.8293073749148739,0.010319809536045069,0.8167287585626728,0.8420061691303129,0.8289704148393507,-0.03790943930350266
