fusion_training,subset,seed,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
in_sample,f1,42,0.5474683544303798,0.5474702559788487,0.5474638225426869,0.7050407231685816,"[[87, 72], [71, 86]]"
in_sample,f1,43,0.5348101265822784,0.5350919360653767,0.5340214872551086,0.7082778267731135,"[[78, 81], [66, 91]]"
in_sample,f1,44,0.49050632911392406,0.49050594880423026,0.4905012267788293,0.731095944572646,"[[78, 81], [80, 77]]"
in_sample,f2,42,0.47468354430379744,0.47450226334975765,0.4741569429407755,0.895774040151733,"[[80, 79], [87, 70]]"
in_sample,f2,43,0.5822784810126582,0.5823418659616232,0.5822617473861315,0.794975635701279,"[[91, 68], [64, 93]]"
in_sample,f2,44,0.5664556962025317,0.5663381805071506,0.5662428486979871,0.7780949311599037,"[[93, 66], [71, 86]]"
in_sample,f3,42,0.6170886075949367,0.6173737130953811,0.6164394554957016,0.7128047583598641,"[[91, 68], [53, 104]]"
in_sample,f3,43,0.6234177215189873,0.6235027841204983,0.623383777179084,0.7045774953541899,"[[97, 62], [57, 100]]"
in_sample,f3,44,0.620253164556962,0.6204783078956856,0.6198724888728497,0.7469535676737711,"[[93, 66], [54, 103]]"
in_sample,f1_f2,42,0.5,0.4998597924928895,0.49967933301266637,0.8969645673808873,"[[83, 76], [82, 75]]"
in_sample,f1_f2,43,0.5854430379746836,0.5854865200496735,0.5854388863852586,0.8018295060731788,"[[92, 67], [64, 93]]"
in_sample,f1_f2,44,0.5411392405063291,0.5411008292272563,0.5410978797560266,0.783811258674415,"[[87, 72], [73, 84]]"
in_sample,f1_f3,42,0.6012658227848101,0.6014902055041461,0.6008661133164923,0.7114764530860335,"[[90, 69], [57, 100]]"
in_sample,f1_f3,43,0.620253164556962,0.6202780114569563,0.620253164556962,0.704170481185957,"[[98, 61], [59, 98]]"
in_sample,f1_f3,44,0.6170886075949367,0.6173336538076353,0.6166240537424175,0.7574285707580067,"[[92, 67], [54, 103]]"
in_sample,f2_f3,42,0.5791139240506329,0.5791170932980811,0.5791097090781634,0.8719823947213681,"[[92, 67], [66, 91]]"
in_sample,f2_f3,43,0.6170886075949367,0.617133357368906,0.6170847729207352,0.7608001631326649,"[[97, 62], [59, 98]]"
in_sample,f2_f3,44,0.5981012658227848,0.5982253735528582,0.5980006210495737,0.7635374988690609,"[[92, 67], [60, 97]]"
in_sample,f1_f2_f3,42,0.5791139240506329,0.5790369747225894,0.5790085244062466,0.8820787629003668,"[[94, 65], [68, 89]]"
in_sample,f1_f2_f3,43,0.6234177215189873,0.6234627248327524,0.6234139502278304,0.7569558392585839,"[[98, 61], [58, 99]]"
in_sample,f1_f2_f3,44,0.5917721518987342,0.5918960060890117,0.5916699221684647,0.7652292953799092,"[[91, 68], [61, 96]]"
inner_oof,f1,42,0.5,0.4993790810399391,0.4948194916626194,0.6933050850954604,"[[95, 64], [94, 63]]"
inner_oof,f1,43,0.509493670886076,0.509133517606057,0.5077139554751495,0.6941788168938768,"[[90, 69], [86, 71]]"
inner_oof,f1,44,0.49683544303797467,0.49651484196610984,0.4953749736358432,0.6991885514470237,"[[87, 72], [87, 70]]"
inner_oof,f2,42,0.47468354430379744,0.474101670472299,0.46990581672662596,0.7030841672278033,"[[90, 69], [97, 60]]"
inner_oof,f2,43,0.560126582278481,0.5595681608780996,0.5563904458920366,0.6868325198082792,"[[103, 56], [83, 74]]"
inner_oof,f2,44,0.569620253164557,0.5694027160197092,0.5689987163029525,0.686185050118565,"[[96, 63], [73, 84]]"
inner_oof,f3,42,0.6234177215189873,0.6235428434082442,0.62332341657401,0.6654145278199537,"[[96, 63], [56, 101]]"
inner_oof,f3,43,0.6234177215189873,0.6234627248327524,0.6234139502278304,0.6689847074318812,"[[98, 61], [58, 99]]"
inner_oof,f3,44,0.620253164556962,0.6203981893201939,0.6201162091765178,0.6700644582043952,"[[95, 64], [56, 101]]"
inner_oof,f1_f2,42,0.4873417721518987,0.4869607018387213,0.4852799227799228,0.7042786786367777,"[[87, 72], [90, 67]]"
inner_oof,f1_f2,43,0.5759493670886076,0.5760525577855226,0.5758814102564103,0.688992948170886,"[[89, 70], [64, 93]]"
inner_oof,f1_f2,44,0.560126582278481,0.5598485758923206,0.5591332015135851,0.6911374501997186,"[[96, 63], [76, 81]]"
inner_oof,f1_f3,42,0.5981012658227848,0.5981452549773665,0.5980972409994492,0.6663356998713579,"[[94, 65], [62, 95]]"
inner_oof,f1_f3,43,0.6012658227848101,0.6011697312021792,0.6011220196353436,0.6699966883287619,"[[98, 61], [65, 92]]"
inner_oof,f1_f3,44,0.5822784810126582,0.5824620438248608,0.582010582010582,0.6738805231165563,"[[88, 71], [61, 96]]"
inner_oof,f2_f3,42,0.6234177215189873,0.6233425469695149,0.62332341657401,0.6781330520422748,"[[101, 58], [61, 96]]"
inner_oof,f2_f3,43,0.6107594936708861,0.6106838120418219,0.6106620188117919,0.6661619910442018,"[[99, 60], [63, 94]]"
inner_oof,f2_f3,44,0.6170886075949367,0.6172134759443977,0.616992717692901,0.66488935830393,"[[95, 64], [57, 100]]"
inner_oof,f1_f2_f3,42,0.5949367088607594,0.5948403637383327,0.5947906231216189,0.6797002195087044,"[[97, 62], [66, 91]]"
inner_oof,f1_f2_f3,43,0.629746835443038,0.6297520330088531,0.6297431275349257,0.667091822907766,"[[100, 59], [58, 99]]"
inner_oof,f1_f2_f3,44,0.6075949367088608,0.607699395104755,0.6075320512820512,0.6671077461860622,"[[94, 65], [59, 98]]"
