source_index,true_label,correct_seed_count,predicted_right_seed_count,unanimous_prediction,final_score_seed_sd,f1_score_seed_sd,f2_score_seed_sd,f3_score_seed_sd
0,0,3,0,1,0.4603897357510068,0.2851224871928215,0.8171857343075128,0.7396063798849567
1,1,3,3,1,0.8797445170673561,0.560320813643541,0.5648499163338663,0.5797002885091282
2,0,2,1,0,0.48876564487187785,0.8149463080584772,0.7655183940327412,0.11578002122606264
3,1,3,3,1,0.8179296222584335,0.2721197295747285,0.3522684889966303,0.287105236375042
4,0,0,3,1,0.21006720977261745,0.7760274307208805,0.2710818960186612,0.39339708197373113
5,1,3,3,1,1.8592366742855797,0.6724679158422334,1.2687948404222933,1.252095059830714
6,0,3,0,1,0.38559150002848763,0.6957876215308388,0.6255309655307688,0.44503238615559415
7,1,3,3,1,0.6121960079505152,1.691862341687132,1.0869642809181193,0.2414844803290786
8,0,0,3,1,0.14412840537387525,0.3469453605794619,0.3019659280248781,0.49427030030516633
9,0,3,0,1,0.22164978603831045,0.8978464045885544,0.6758569617776445,0.4244301750111899
10,1,2,2,0,0.8073914369317704,0.3304317029949321,0.47753768829384113,0.8068385671712837
11,1,3,3,1,0.2656949964110064,1.9431321181751005,0.43152137847920513,0.896889993464305
12,0,3,0,1,1.4393432572139169,0.1522672736864338,1.4635291732860656,0.5164043942387947
13,0,2,1,0,0.830581254186122,1.39615121817829,0.10776650356090164,0.6352615905859029
14,1,3,3,1,0.3209109056970327,0.6305849382677932,0.8299336248848898,0.36876429134943434
15,1,3,3,1,1.2039891307791923,0.9496589746287947,0.5251453000933808,0.7169702097298954
16,1,2,2,0,0.7365551674924519,0.7297228383609661,0.5555097993645777,0.13602765168796682
17,0,3,0,1,0.9382112148569347,0.8123826050278808,0.8994483117657982,0.19764608200211337
18,0,3,0,1,0.4046720860457964,0.16249770832983018,0.04817669232051815,0.3147834013680696
19,1,3,3,1,0.2206185047545019,0.24848784119651696,0.28540458953828374,0.2366770376672042
20,0,3,0,1,0.38996489231656006,0.3512739460491423,0.47759562611207007,0.7678097639202239
21,0,3,0,1,1.201651834448034,0.37318522200766724,0.8643877188643905,0.198534695474385
22,1,3,3,1,0.41483972077919506,0.32965226016134525,0.26191017996577715,0.4310355431481243
23,0,0,3,1,0.5743584373288175,0.4071879122337427,0.6834890266339313,0.2776186295663274
24,1,3,3,1,0.42049814762906146,0.34373745194617394,0.4405204910742682,0.20874259377704768
25,0,3,0,1,0.10079480898590483,0.9772825474571276,0.33762950711203693,0.5115021640724753
26,0,3,0,1,0.8496451568988956,1.1266940990931849,0.46113667623544996,0.4055115188667607
27,0,1,2,0,0.4352091990854914,0.3620633649592547,0.36926365009819556,0.2152907877530298
28,0,3,0,1,1.161742175261401,0.5203235099126445,0.1975335013925658,0.9728735075723872
29,0,3,0,1,0.4559331513349474,0.8784730057093054,0.6773437414995911,0.21375232535804695
30,0,0,3,1,0.27714693247207584,0.0714376940509586,0.4491468022207311,0.2868804074960149
31,0,3,0,1,0.7992819462374999,1.2766735738143158,0.7228051811425618,0.22199963337525566
32,1,3,3,1,0.38032726236608155,0.3711989544822304,0.4671011401483465,0.26542347208497175
33,1,3,3,1,0.34519401861667165,0.4650866502587648,0.3404148692292585,0.6069590276541044
34,1,3,3,1,0.2468313267414144,0.09537902851173251,0.4075715828460767,0.27537266836449853
35,1,3,3,1,1.4597344474791836,0.5451864068974697,1.2113098959525002,0.2912255830861463
36,1,3,3,1,0.6280604448013426,0.2856214171922607,0.7398747677002545,0.4153487175798377
37,1,3,3,1,0.7025965161963955,0.5941311570735728,0.6635595040118937,0.14155863809180874
38,0,3,0,1,1.271263150017587,0.6300268619751214,0.4767325731619105,0.5985168260520465
39,1,3,3,1,0.6396516331323271,0.2986362130301586,0.9011578497769533,0.09718691899694215
40,0,3,0,1,0.15093927488829642,0.3452951892646458,0.342012576996189,0.3460157452768375
41,1,0,0,1,0.6239844012071109,0.09179464961817617,0.6398790362311869,0.04848105882337764
42,0,3,0,1,0.3259106343139946,0.7017764725216574,0.53376459492535,0.42562211337955635
43,0,2,1,0,0.986631757006322,0.7976151707192418,0.9859206982041737,0.2829284018518851
44,1,3,3,1,0.7962960003886633,0.2021117980407363,0.5604713114952952,0.38402001571065014
45,0,2,1,0,0.5798011793515895,0.31745518176815646,0.8252690930663958,0.07533938547706939
46,1,3,3,1,1.0227461895977648,0.3759201537040544,0.9777395136117845,0.12109726808024761
47,1,1,1,0,1.7718545636778102,0.2597951316507772,1.572820591999027,0.4204881202108615
48,0,3,0,1,1.5044590693981739,0.10068894744459754,2.5761280315544,0.8414569529179164
49,1,3,3,1,0.5457475728709758,0.6024280602683354,0.6086278235865973,0.21260250220012794
50,1,3,3,1,0.574325192348719,0.7207839818165355,0.2517436885405129,0.3206827733705056
51,0,0,3,1,0.16889839342628507,0.46912047169454313,0.42881291421702433,0.40929849046951283
52,0,1,2,0,0.5891518256119455,1.0205505367902028,0.5653019397572233,0.17557654664895728
53,1,3,3,1,0.19837939040616082,0.4252930523723222,0.27870163810468346,0.44439726874824204
54,0,3,0,1,1.0295395912380925,0.12244310066424077,0.795941487731621,0.32051858848816267
55,0,3,0,1,2.1181095174399904,0.19803240576263836,2.2550868293588935,0.3987925648521144
56,1,0,0,1,0.20649382719413337,0.5580342275328785,0.1634701084226732,0.32131551975575584
57,0,3,0,1,0.9140536422510123,0.5029595378367108,1.3364531715273644,0.36400181534133036
58,1,3,3,1,0.3125714705605935,0.11369696414450398,0.07609838422317584,0.24462321012600857
59,0,3,0,1,1.0552870951482338,0.27647617502491245,0.9254338304560947,0.37738345689863795
60,1,1,1,0,1.5339935736169317,1.0219862337964953,0.7284990189876408,0.955346935982775
61,0,3,0,1,0.8587577321417786,1.1105880735537121,0.44572593825589574,0.549539585715715
62,0,3,0,1,0.5158387056436857,0.1753101582006143,0.13562700686670978,0.542204996887073
63,1,3,3,1,1.2518958956050847,0.5172555003573768,0.6734012296905085,0.49253418269925997
64,0,3,0,1,1.158745990327302,0.652966787759546,0.32429379528841373,1.1456791809411706
65,0,1,2,0,1.332641666974257,0.6189943587766018,0.8409392651253706,0.5468685467676894
66,0,0,3,1,0.7074956141130176,0.52550117023536,0.3600052719329598,0.27579677344362347
67,0,3,0,1,0.7233586544145513,0.7374773331013652,0.5888945307390321,0.4155345997603324
68,0,3,0,1,0.7069576478463175,0.23447098017045256,0.6448498693444414,0.20808161373173467
69,1,3,3,1,0.0894341374376631,0.5642906950380855,0.11450851263137679,0.06311460945138143
70,0,3,0,1,0.635428198725727,0.8609503567330675,0.1849097694708873,0.3618503786805581
71,1,3,3,1,0.27316096837365506,0.3554137431925052,0.3754424133162859,0.4564589374714819
72,0,3,0,1,0.5064943272360941,0.49050696100363556,0.23156736537865688,0.3019168803030337
73,0,3,0,1,0.7546465816508866,0.597831207717312,0.9039397943593539,0.546647597595179
74,0,3,0,1,0.6048178372090441,1.3962629448956099,0.22259677319548649,0.2818117153363785
75,0,3,0,1,0.16293004026102817,0.6975850286028338,0.7128802995104032,0.6499489903308777
76,0,3,0,1,0.2472356295505305,0.7457242620398388,0.5141145968483791,0.1467535565000423
77,1,3,3,1,0.48724807449753527,0.4466496784056667,0.7266974189801584,0.4385210885072547
