seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
42,1,f1_bp_cssd,training,252,0.6785714285714286,0.6785826771653544,0.678566366943294,0.7387716535433071
42,1,f1_bp_cssd,validation,64,0.625,0.625,0.6216748768472906,0.65234375
42,1,f2_erd_cssd,training,252,0.9285714285714286,0.9285669291338583,0.9285669291338583,0.9680629921259842
42,1,f2_erd_cssd,validation,64,0.828125,0.828125,0.828083028083028,0.9169921875
42,1,f3_bp_trend,training,252,0.8571428571428571,0.857259842519685,0.8571338582677166,0.9308346456692913
42,1,f3_bp_trend,validation,64,0.671875,0.671875,0.6717948717948719,0.775390625
42,1,final_in_sample_fusion,training,252,0.9325396825396826,0.932503937007874,0.9325301204819277,0.9869606299212599
42,1,final_in_sample_fusion,validation,64,0.859375,0.859375,0.8593406593406594,0.9267578125
42,2,f1_bp_cssd,training,252,0.626984126984127,0.6267086614173228,0.6263958109898429,0.6794330708661417
42,2,f1_bp_cssd,validation,64,0.5625,0.5625,0.5607843137254902,0.654296875
42,2,f2_erd_cssd,training,252,0.876984126984127,0.8770708661417324,0.8769821898178038,0.9622677165354331
42,2,f2_erd_cssd,validation,64,0.8125,0.8125,0.8123167155425219,0.8984375
42,2,f3_bp_trend,training,252,0.8373015873015873,0.8373858267716535,0.837299025242902,0.9235275590551181
42,2,f3_bp_trend,validation,64,0.78125,0.78125,0.7810361681329423,0.8515625
42,2,final_in_sample_fusion,training,252,0.9563492063492064,0.9565039370078741,0.956343019135365,0.9908031496062992
42,2,final_in_sample_fusion,validation,64,0.84375,0.84375,0.8435972629521017,0.916015625
42,3,f1_bp_cssd,training,253,0.6679841897233202,0.6680727409073866,0.667854463615904,0.743469566304212
42,3,f1_bp_cssd,validation,63,0.6349206349206349,0.6355846774193548,0.6345523329129887,0.6552419354838709
42,3,f2_erd_cssd,training,253,0.8932806324110671,0.893294588176478,0.8932806324110671,0.9793150856142983
42,3,f2_erd_cssd,validation,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.782258064516129
42,3,f3_bp_trend,training,253,0.849802371541502,0.8499562554680664,0.849612063571518,0.9278215223097113
42,3,f3_bp_trend,validation,63,0.7301587301587301,0.7303427419354839,0.7301587301587301,0.783266129032258
42,3,final_in_sample_fusion,training,253,0.9683794466403162,0.9683789526309211,0.9683789526309211,0.9947506561679791
42,3,final_in_sample_fusion,validation,63,0.746031746031746,0.7464717741935484,0.7459677419354839,0.873991935483871
42,4,f1_bp_cssd,training,253,0.6640316205533597,0.6639170103737033,0.6636953632027524,0.7761529808773904
42,4,f1_bp_cssd,validation,63,0.7142857142857143,0.7142137096774194,0.7142137096774194,0.7479838709677419
42,4,f2_erd_cssd,training,253,0.9011857707509882,0.9011998500187477,0.9011857707509882,0.9673165854268216
42,4,f2_erd_cssd,validation,63,0.8253968253968254,0.8256048387096775,0.8253968253968254,0.8901209677419355
42,4,f3_bp_trend,training,253,0.8221343873517787,0.8222722159730034,0.8219563687543983,0.9010123734533183
