architecture_name,seed,parameter_count,receptive_field_bins,selection_score,session_macro_r2,session_q10_r2,worst_session_r2
baseline_64x64,42,78786,31,0.4708311384374445,0.5391555952303337,0.26585776805877687,-0.18817085027694702
candidate_48x48,42,45266,31,0.4492741869254545,0.5279890181440295,0.21312969326972964,-0.1673891544342041
baseline_64x64,43,78786,31,0.4993288870562207,0.559709653709874,0.3181865870952606,-0.13647788763046265
candidate_48x48,43,45266,31,0.5038334499705922,0.5614567949916377,0.33096341490745546,-0.20001262426376343
baseline_64x64,44,78786,31,0.46867163790897887,0.5518096965370756,0.21925746202468874,-0.15555447340011597
candidate_48x48,44,45266,31,0.4761430232362314,0.5483497995318789,0.25952269434928893,-0.17046189308166504
baseline_64x64,45,78786,31,0.4746104365045374,0.552053841677579,0.2422802209854126,-0.12907761335372925
candidate_48x48,45,45266,31,0.470871082896536,0.5434371106552355,0.25317299962043766,-0.16561871767044067
baseline_64x64,46,78786,31,0.4729745771397244,0.5471480046257828,0.2504542946815491,-0.1906093955039978
candidate_48x48,46,45266,31,0.4687152236700058,0.5390481551488241,0.25771642923355104,-0.16956448554992676
