architecture_name,seed,held_month,training_sessions,held_sessions,training_windows,held_windows,pooled_loss,pooled_r2_x,pooled_r2_y,pooled_r2_mean,session_macro_r2,worst_session_r2
baseline_64x64,42,2016-06,29,4,8448,3765,0.5889391303062439,0.38005560636520386,0.4389495849609375,0.4095025956630707,0.3598097190260887,-0.18817085027694702
baseline_64x64,42,2016-10,22,11,9735,2478,0.481586217880249,0.5442147254943848,0.6340532898902893,0.5891339778900146,0.5923750536008314,-0.05310404300689697
baseline_64x64,42,2016-12,29,4,11175,1038,0.4815467596054077,0.541195273399353,0.5749039649963379,0.5580496191978455,0.5666908696293831,0.34554603695869446
baseline_64x64,42,2016-04,26,7,8503,3710,0.48150017857551575,0.3803814649581909,0.44927316904067993,0.4148273169994354,0.36006379553249906,0.1339716911315918
baseline_64x64,42,2016-09,26,7,10991,1222,0.32958316802978516,0.6500935554504395,0.7913405895233154,0.7207170724868774,0.7213657328060695,0.6583576202392578
candidate_48x48,42,2016-06,29,4,8448,3765,0.5878029465675354,0.380881667137146,0.4403672218322754,0.4106244444847107,0.3655741736292839,-0.1673891544342041
candidate_48x48,42,2016-10,22,11,9735,2478,0.49761825799942017,0.5137929320335388,0.6314922571182251,0.5726425647735596,0.5749486170031808,-0.09178191423416138
candidate_48x48,42,2016-12,29,4,11175,1038,0.5232685208320618,0.5317833423614502,0.5196350812911987,0.5257092118263245,0.5366229191422462,0.25192180275917053
candidate_48x48,42,2016-04,26,7,8503,3710,0.47240185737609863,0.4020864963531494,0.4300893545150757,0.41608792543411255,0.3491439478737967,0.10179948806762695
candidate_48x48,42,2016-09,26,7,10991,1222,0.33378076553344727,0.6655060052871704,0.7759101390838623,0.7207080721855164,0.7209152579307556,0.6797628998756409
baseline_64x64,43,2016-06,29,4,8448,3765,0.5462303161621094,0.43201744556427,0.47339701652526855,0.4527072310447693,0.3987434282898903,-0.13647788763046265
baseline_64x64,43,2016-10,22,11,9735,2478,0.48215430974960327,0.5555014610290527,0.6261574625968933,0.5908294916152954,0.5922364538366144,-0.05413442850112915
baseline_64x64,43,2016-12,29,4,11175,1038,0.48016637563705444,0.5478435158729553,0.5728805065155029,0.5603619813919067,0.5702234208583832,0.3143501281738281
baseline_64x64,43,2016-04,26,7,8503,3710,0.4609767496585846,0.38774436712265015,0.5292720794677734,0.4585082232952118,0.41836686219487873,0.23209518194198608
baseline_64x64,43,2016-09,26,7,10991,1222,0.3185371458530426,0.6919502019882202,0.7789691686630249,0.7354596853256226,0.7359117354665484,0.687347412109375
candidate_48x48,43,2016-06,29,4,8448,3765,0.5582225322723389,0.43780285120010376,0.44553565979003906,0.4416692554950714,0.37728045135736465,-0.20001262426376343
candidate_48x48,43,2016-10,22,11,9735,2478,0.47282564640045166,0.5482486486434937,0.6433992385864258,0.5958239436149597,0.597203021699732,-0.05728667974472046
candidate_48x48,43,2016-12,29,4,11175,1038,0.4850505292415619,0.5382077693939209,0.5715979337692261,0.5549028515815735,0.5647417828440666,0.31876203417778015
candidate_48x48,43,2016-04,26,7,8503,3710,0.4514831602573395,0.397210955619812,0.5483349561691284,0.4727729558944702,0.43545991608074736,0.2490534782409668
candidate_48x48,43,2016-09,26,7,10991,1222,0.32070302963256836,0.6932165622711182,0.7753047943115234,0.7342606782913208,0.7346475209508624,0.6866565942764282
baseline_64x64,44,2016-06,29,4,8448,3765,0.5582980513572693,0.4193580150604248,0.46186143159866333,0.44060972332954407,0.3838448077440262,-0.15555447340011597
baseline_64x64,44,2016-10,22,11,9735,2478,0.4721068739891052,0.558813214302063,0.6376994848251343,0.5982563495635986,0.6016354154456746,-0.053603291511535645
baseline_64x64,44,2016-12,29,4,11175,1038,0.5272690057754517,0.4914310574531555,0.5383150577545166,0.5148730278015137,0.5313774049282074,0.14897257089614868
baseline_64x64,44,2016-04,26,7,8503,3710,0.45881325006484985,0.4022365212440491,0.4970760941505432,0.44965630769729614,0.40531374726976666,0.18819597363471985
baseline_64x64,44,2016-09,26,7,10991,1222,0.3226150870323181,0.6644036173820496,0.7913068532943726,0.7278552055358887,0.7276636191776821,0.6665010452270508
candidate_48x48,44,2016-06,29,4,8448,3765,0.5822301506996155,0.3984585404396057,0.435235857963562,0.41684719920158386,0.3453633263707161,-0.17046189308166504
