architecture,epoch,learning_rate,optimization_loss,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,train_loss,train_r2,validation_loss,validation_r2
64ch_64x64,1,0.0009,0.4068270220745863,0.9608419937746865,1.8484511375427246,0.28969061374664307,0.7102872133255005,0.40067097544670105,0.6153956055641174
64ch_64x64,2,0.0008975348529157229,0.2567289149907878,0.8851805345501218,1.623233437538147,0.24896526336669922,0.7510021328926086,0.3839946985244751,0.6361732482910156
64ch_64x64,3,0.0008901664203302124,0.2226295574266105,0.8419094025237219,1.7383179664611816,0.2189570963382721,0.7810075283050537,0.36211299896240234,0.65266352891922
64ch_64x64,4,0.0008779754323328191,0.20372048962036235,0.8212672597169877,1.538854956626892,0.21019622683525085,0.789781391620636,0.37880927324295044,0.6385275721549988
64ch_64x64,5,0.0008610954559391703,0.1886696317051881,0.7843369829654694,1.4479097127914429,0.19401979446411133,0.8059602975845337,0.3812659680843353,0.6374422907829285
64ch_64x64,6,0.0008397114317029975,0.17601348572662745,0.7443217299665723,1.4876599311828613,0.18542687594890594,0.8145570158958435,0.37940797209739685,0.6390547752380371
64ch_64x64,7,0.0008140576474687264,0.1659575231316639,0.7370613927500589,1.9257926940917969,0.17569318413734436,0.8242945671081543,0.35713380575180054,0.6625440716743469
64ch_64x64,8,0.0007844151714648274,0.15984138589844074,0.7085959727423532,1.4578145742416382,0.1700798124074936,0.8299106359481812,0.39848288893699646,0.6207016706466675
64ch_64x64,9,0.0007511087728614862,0.1527606448831174,0.704914813552584,1.632161021232605,0.1669638603925705,0.8330353498458862,0.4026939868927002,0.6221809387207031
64ch_64x64,10,0.0007145033635316129,0.1452509727867391,0.6852779167039054,1.2850711345672607,0.16837938129901886,0.831611692905426,0.3844253122806549,0.6380612850189209
64ch_64x64,11,0.000675,0.140533462925512,0.6628074955940246,1.4144057035446167,0.1585153192281723,0.8414900898933411,0.37103328108787537,0.6476767063140869
64ch_64x64,12,0.0006330314893841102,0.1358261033799291,0.6743099415302276,1.2026457786560059,0.15224485099315643,0.8477553129196167,0.38511982560157776,0.6379210948944092
64ch_64x64,13,0.0005890576474687265,0.1304475982543873,0.6694489571877889,1.3964449167251587,0.15041738748550415,0.8495767116546631,0.39132851362228394,0.6309506297111511
64ch_64x64,14,0.0005435602608679917,0.12685291510833724,0.659643794298172,1.77578866481781,0.14515942335128784,0.8548431992530823,0.3856320083141327,0.6351924538612366
64ch_64x64,15,0.0004970378084704442,0.12298872066624213,0.6434972474404744,1.6455633640289307,0.13979090750217438,0.8602098226547241,0.38904157280921936,0.6323461532592773
64ch_64x64,16,0.0004500000000000002,0.11801032240625463,0.6253540118251528,1.2924007177352905,0.13848716020584106,0.8615105152130127,0.3971676230430603,0.6239638328552246
64ch_64x64,17,0.0004029621915295561,0.11555229377359885,0.6417314600944519,1.4150032997131348,0.13404954969882965,0.865947961807251,0.3975999653339386,0.6262429356575012
64ch_64x64,18,0.0003564397391320083,0.11164556191804959,0.6068779190097536,2.0632641315460205,0.1318545639514923,0.8681467175483704,0.38919270038604736,0.6332194209098816
64ch_64x64,19,0.00031094235253127374,0.10850763878966338,0.6016631897858211,1.7237392663955688,0.12737108767032623,0.8726251125335693,0.4000546336174011,0.6230289936065674
64ch_64x64,20,0.00026696851061589003,0.10458480810425692,0.5816934825692858,0.9252186417579651,0.1271398514509201,0.8728570938110352,0.40616047382354736,0.6174925565719604
64ch_64x64,21,0.00022500000000000013,0.10552166024577164,0.6008857220411301,1.1762135028839111,0.12576702237129211,0.8742303848266602,0.4140810966491699,0.6113425493240356
64ch_64x64,22,0.00018549663646838716,0.10192599135357261,0.5847046421255384,1.1696770191192627,0.12274368107318878,0.8772516250610352,0.40644991397857666,0.6162211894989014
64ch_64x64,23,0.00014889122713851398,0.1000777969831055,0.571550207052912,1.2918586730957031,0.12134502083063126,0.87864750623703,0.40408679842948914,0.6196618676185608
64ch_64x64,24,0.00011558482853517273,0.0991301461854237,0.5578224044186728,1.1719881296157837,0.12051580101251602,0.8794770836830139,0.4110112488269806,0.612962007522583
64ch_64x64,25,8.594235253127373e-05,0.09780473409749785,0.5526632785797119,1.0738717317581177,0.11828875541687012,0.8817027807235718,0.4049259424209595,0.6173918843269348
64ch_64x64,26,6.0288568297002606e-05,0.09728662210089516,0.5456610460792269,0.9304943084716797,0.11776608228683472,0.8822267055511475,0.40649163722991943,0.6174441576004028
64ch_64x64,27,3.8904544060829577e-05,0.09532143406819978,0.5369953210864749,1.6310514211654663,0.11722631752490997,0.8827661275863647,0.40773656964302063,0.6160849332809448
64ch_64x64,28,2.202456766718092e-05,0.0970398667828082,0.5402615338563919,1.1167263984680176,0.11662529408931732,0.8833664059638977,0.40478917956352234,0.618989109992981
64ch_64x64,29,9.833579669787445e-06,0.09481451460712441,0.5296422094106674,1.1914993524551392,0.11639270186424255,0.8835994005203247,0.4068382680416107,0.6170313954353333
64ch_64x64,30,2.4651470842769705e-06,0.0948467538314111,0.5317873275279998,1.4787962436676025,0.11625498533248901,0.8837363719940186,0.40683069825172424,0.6172013282775879
64ch_48x48,1,0.0009,0.42880559906063465,1.0100205414635794,2.01908278465271,0.32217010855674744,0.677802324295044,0.44578689336776733,0.5751107931137085
64ch_48x48,2,0.0008975348529157229,0.2779308874695093,0.9029057671342577,1.8834795951843262,0.26879289746284485,0.7312002182006836,0.39990296959877014,0.6256979703903198
64ch_48x48,3,0.0008901664203302124,0.24424245029487865,0.8935593557357788,1.9057129621505737,0.2425508052110672,0.7574272155761719,0.37388181686401367,0.6467567682266235
64ch_48x48,4,0.0008779754323328191,0.22761730733333818,0.8930415877274105,1.5412366390228271,0.22628049552440643,0.7736988067626953,0.3613070845603943,0.656855046749115
64ch_48x48,5,0.0008610954559391703,0.20865707025965322,0.844044988495963,1.7753862142562866,0.21623878180980682,0.7837454080581665,0.3843683898448944,0.6372586488723755
64ch_48x48,6,0.0008397114317029975,0.19914934545021995,0.8415312543937138,1.465053677558899,0.2093925029039383,0.7905788421630859,0.37830793857574463,0.6411644816398621
64ch_48x48,7,0.0008140576474687264,0.1869067720192124,0.7840939116477966,1.4481542110443115,0.19666482508182526,0.8033148050308228,0.3634701669216156,0.6571403741836548
64ch_48x48,8,0.0007844151714648274,0.18314280344602513,0.7791736785854612,1.9218088388442993,0.1904597282409668,0.8095294237136841,0.39696264266967773,0.6267732977867126
64ch_48x48,9,0.0007511087728614862,0.17604282331680024,0.7823648227964128,1.5695514678955078,0.1891203373670578,0.8108690977096558,0.3764532804489136,0.6463815569877625
64ch_48x48,10,0.0007145033635316129,0.17009498971820677,0.7600800202574048,2.0823347568511963,0.19516927003860474,0.8048176765441895,0.3915066421031952,0.6332199573516846
64ch_48x48,11,0.000675,0.16675496484075883,0.7626628854445049,2.025028705596924,0.17850911617279053,0.8214870095252991,0.36169639229774475,0.6559354066848755
64ch_48x48,12,0.0006330314893841102,0.16162890585876952,0.7702036203656878,1.2756787538528442,0.17525769770145416,0.8247412443161011,0.37433940172195435,0.6478921175003052
64ch_48x48,13,0.0005890576474687265,0.15696643979757424,0.7508839997223445,2.2606310844421387,0.17175859212875366,0.8282283544540405,0.3935225009918213,0.6275269389152527
64ch_48x48,14,0.0005435602608679917,0.1540398431264314,0.7647686492545264,1.9886308908462524,0.17292632162570953,0.8270713090896606,0.3740425109863281,0.6458999514579773
64ch_48x48,15,0.0004970378084704442,0.14976254211576193,0.7442794653347561,1.6813547611236572,0.16736289858818054,0.8326331377029419,0.37660813331604004,0.6428853273391724
64ch_48x48,16,0.0004500000000000002,0.14647211865824075,0.7332342275551387,3.2863247394561768,0.16290445625782013,0.8371003270149231,0.38591521978378296,0.6357668042182922
64ch_48x48,17,0.0004029621915295561,0.14449967435409025,0.7361029946804046,1.4436806440353394,0.15993191301822662,0.8400683403015137,0.38263145089149475,0.6412923336029053
64ch_48x48,18,0.0003564397391320083,0.14062078910786033,0.7135901761054992,2.465660333633423,0.15655532479286194,0.8434470891952515,0.3732960820198059,0.6488927006721497
64ch_48x48,19,0.00031094235253127374,0.13874180010367826,0.7050461222444262,2.2107770442962646,0.1562659740447998,0.8437385559082031,0.3878948390483856,0.6348673105239868
64ch_48x48,20,0.00026696851061589003,0.13496070341775881,0.6981265233244215,1.6469151973724365,0.15446880459785461,0.8455357551574707,0.3884296715259552,0.633583128452301
64ch_48x48,21,0.00022500000000000013,0.13581613578652377,0.7044720556906291,2.1555206775665283,0.152363121509552,0.8476402163505554,0.3807486593723297,0.6415143013000488
64ch_48x48,22,0.00018549663646838716,0.1333973242959187,0.6971878903252738,1.6455096006393433,0.15016959607601166,0.8498342037200928,0.38766053318977356,0.6354081630706787
64ch_48x48,23,0.00014889122713851398,0.12989878485266795,0.6830120657171522,1.763331413269043,0.14856398105621338,0.8514396548271179,0.38546979427337646,0.6368246674537659
64ch_48x48,24,0.00011558482853517273,0.12962214249692508,0.6741891397748675,1.111498236656189,0.1485316902399063,0.8514735698699951,0.3964817523956299,0.6260255575180054
64ch_48x48,25,8.594235253127373e-05,0.1296886625439262,0.6854558204753058,1.313177227973938,0.14708776772022247,0.8529186248779297,0.3899726867675781,0.6323373317718506
64ch_48x48,26,6.0288568297002606e-05,0.12772421681440915,0.6689297038316727,1.6346828937530518,0.1466754525899887,0.8533294200897217,0.3856860101222992,0.6371752023696899
64ch_48x48,27,3.8904544060829577e-05,0.12623019148439368,0.6699249546016965,1.9186793565750122,0.14586620032787323,0.854141354560852,0.3913615942001343,0.6312505602836609
64ch_48x48,28,2.202456766718092e-05,0.12884583779229414,0.661915636062622,1.3613004684448242,0.14570952951908112,0.8542956709861755,0.3892691135406494,0.632836639881134
64ch_48x48,29,9.833579669787445e-06,0.12520145332519908,0.6399962666204998,1.6193066835403442,0.14503537118434906,0.8549692034721375,0.38742586970329285,0.6346313953399658
64ch_48x48,30,2.4651470842769705e-06,0.1255092110636517,0.6546970200538635,1.95016348361969,0.14491111040115356,0.8550939559936523,0.38807186484336853,0.6342094540596008
