variant,hidden_components,covariance_shrinkage,session,held_month,decision,diagnostic_decision,hidden_state_kld_to_severe,output_state_kld_to_severe
hidden_3_shrinkage_0.05,3,0.05,indy_20160407_02,2016-04,pass,pass,0.0964127622291053,0.11868646197622008
hidden_3_shrinkage_0.05,3,0.05,indy_20160411_01,2016-04,pass,pass,0.11268141222558226,0.2447033777607081
hidden_3_shrinkage_0.05,3,0.05,indy_20160411_02,2016-04,pass,pass,0.04729063158686194,0.0459281029149533
hidden_3_shrinkage_0.05,3,0.05,indy_20160418_01,2016-04,pass,pass,0.029635615459067923,0.0810295451463102
hidden_3_shrinkage_0.05,3,0.05,indy_20160419_01,2016-04,pass,pass,0.0216625622443306,0.005031452727655539
hidden_3_shrinkage_0.05,3,0.05,indy_20160420_01,2016-04,pass,pass,0.04605077176315305,0.07115366921916041
hidden_3_shrinkage_0.05,3,0.05,indy_20160426_01,2016-04,pass,pass,0.037198551770991406,0.05967559680474331
hidden_3_shrinkage_0.10,3,0.1,indy_20160407_02,2016-04,pass,pass,0.09319054693827211,0.1131776055737546
hidden_3_shrinkage_0.10,3,0.1,indy_20160411_01,2016-04,pass,pass,0.11081204862093852,0.23589929778441474
hidden_3_shrinkage_0.10,3,0.1,indy_20160411_02,2016-04,pass,pass,0.043441975172476874,0.04339195423923237
hidden_3_shrinkage_0.10,3,0.1,indy_20160418_01,2016-04,pass,pass,0.02865116734062596,0.08115937010449892
hidden_3_shrinkage_0.10,3,0.1,indy_20160419_01,2016-04,pass,pass,0.021573879692527474,0.0050386804725836435
hidden_3_shrinkage_0.10,3,0.1,indy_20160420_01,2016-04,pass,pass,0.04478490307232618,0.07117386811819383
hidden_3_shrinkage_0.10,3,0.1,indy_20160426_01,2016-04,pass,pass,0.034066415254811494,0.05839231925981342
hidden_3_shrinkage_0.20,3,0.2,indy_20160407_02,2016-04,pass,pass,0.08704586990409112,0.10326456620781285
hidden_3_shrinkage_0.20,3,0.2,indy_20160411_01,2016-04,pass,pass,0.10730521582760605,0.2201161945994833
hidden_3_shrinkage_0.20,3,0.2,indy_20160411_02,2016-04,pass,pass,0.03648938166022203,0.0387653936912472
hidden_3_shrinkage_0.20,3,0.2,indy_20160418_01,2016-04,pass,pass,0.02679817000054959,0.08139803682696346
hidden_3_shrinkage_0.20,3,0.2,indy_20160419_01,2016-04,pass,pass,0.0214000865334472,0.0050520371832372835
hidden_3_shrinkage_0.20,3,0.2,indy_20160420_01,2016-04,pass,pass,0.04241896373136669,0.07121025081831964
hidden_3_shrinkage_0.20,3,0.2,indy_20160426_01,2016-04,pass,pass,0.02839166476852732,0.0560649026791775
hidden_5_shrinkage_0.05,5,0.05,indy_20160407_02,2016-04,pass,pass,0.10058015111172125,0.11868646197622008
hidden_5_shrinkage_0.05,5,0.05,indy_20160411_01,2016-04,pass,pass,0.2799465174601511,0.2447033777607081
hidden_5_shrinkage_0.05,5,0.05,indy_20160411_02,2016-04,pass,pass,0.07051318726614078,0.0459281029149533
hidden_5_shrinkage_0.05,5,0.05,indy_20160418_01,2016-04,pass,pass,0.0963119977328006,0.0810295451463102
hidden_5_shrinkage_0.05,5,0.05,indy_20160419_01,2016-04,pass,pass,0.053665507605491,0.005031452727655539
hidden_5_shrinkage_0.05,5,0.05,indy_20160420_01,2016-04,pass,pass,0.09253736774698385,0.07115366921916041
hidden_5_shrinkage_0.05,5,0.05,indy_20160426_01,2016-04,pass,pass,0.054557273165363206,0.05967559680474331
hidden_5_shrinkage_0.10,5,0.1,indy_20160407_02,2016-04,pass,pass,0.09793123639912683,0.1131776055737546
hidden_5_shrinkage_0.10,5,0.1,indy_20160411_01,2016-04,pass,pass,0.26080944105349274,0.23589929778441474
hidden_5_shrinkage_0.10,5,0.1,indy_20160411_02,2016-04,pass,pass,0.06884125107490215,0.04339195423923237
hidden_5_shrinkage_0.10,5,0.1,indy_20160418_01,2016-04,pass,pass,0.09100713846938144,0.08115937010449892
hidden_5_shrinkage_0.10,5,0.1,indy_20160419_01,2016-04,pass,pass,0.054631790719416914,0.0050386804725836435
hidden_5_shrinkage_0.10,5,0.1,indy_20160420_01,2016-04,pass,pass,0.08829596963941888,0.07117386811819383
hidden_5_shrinkage_0.10,5,0.1,indy_20160426_01,2016-04,pass,pass,0.05093606395568733,0.05839231925981342
hidden_5_shrinkage_0.20,5,0.2,indy_20160407_02,2016-04,pass,pass,0.09138063460057609,0.10326456620781285
hidden_5_shrinkage_0.20,5,0.2,indy_20160411_01,2016-04,pass,pass,0.2267201900721798,0.2201161945994833
hidden_5_shrinkage_0.20,5,0.2,indy_20160411_02,2016-04,pass,pass,0.0649363592786097,0.0387653936912472
hidden_5_shrinkage_0.20,5,0.2,indy_20160418_01,2016-04,pass,pass,0.08006508622885447,0.08139803682696346
hidden_5_shrinkage_0.20,5,0.2,indy_20160419_01,2016-04,pass,pass,0.055792109032978404,0.0050520371832372835
hidden_5_shrinkage_0.20,5,0.2,indy_20160420_01,2016-04,pass,pass,0.07939926689904912,0.07121025081831964
hidden_5_shrinkage_0.20,5,0.2,indy_20160426_01,2016-04,pass,pass,0.04346398043376678,0.0560649026791775
hidden_8_shrinkage_0.05,8,0.05,indy_20160407_02,2016-04,pass,pass,0.13835294024589387,0.11868646197622008
hidden_8_shrinkage_0.05,8,0.05,indy_20160411_01,2016-04,pass,pass,0.24826977675934367,0.2447033777607081
hidden_8_shrinkage_0.05,8,0.05,indy_20160411_02,2016-04,pass,pass,0.07494483986993533,0.0459281029149533
hidden_8_shrinkage_0.05,8,0.05,indy_20160418_01,2016-04,pass,pass,0.0821604464420872,0.0810295451463102
hidden_8_shrinkage_0.05,8,0.05,indy_20160419_01,2016-04,pass,pass,0.06247584744109359,0.005031452727655539
hidden_8_shrinkage_0.05,8,0.05,indy_20160420_01,2016-04,pass,pass,0.09582641178089757,0.07115366921916041
