channel_zero_based,activity_mean_counts_per_bin,cross_session_cv,silent_session_fraction,max_train_month_log_shift,composite_score,composite_rank,selected_activity64,selected_stable64,selected_stable72,selected_stable80,selected_stable88
0,0.5928046107292175,0.7192109227180481,0.0,0.9801307916641235,0.5536842105263158,40,True,True,True,True,True
1,0.9097470045089722,0.3836621046066284,0.0,0.40345147252082825,0.9105263157894737,1,True,True,True,True,True
2,0.39618393778800964,0.8050074577331543,0.034482758620689655,1.0793251991271973,0.2910526315789474,78,False,False,False,True,True
3,0.6866896152496338,0.608339250087738,0.0,0.653110682964325,0.7005263157894737,18,True,True,True,True,True
4,0.6020229458808899,0.5395229458808899,0.034482758620689655,0.3556268811225891,0.6763157894736843,22,True,True,True,True,True
5,0.34710341691970825,0.867665708065033,0.034482758620689655,0.6298174858093262,0.3110526315789474,75,False,False,False,True,True
6,0.7379998564720154,0.6176787614822388,0.06896551724137931,0.7104359865188599,0.5589473684210526,38,True,True,True,True,True
7,0.6439539194107056,0.5099687576293945,0.0,0.446985125541687,0.7857894736842105,13,True,True,True,True,True
8,0.4611724317073822,0.7863895297050476,0.06896551724137931,1.1945303678512573,0.2926315789473684,77,True,False,False,True,True
9,0.449701189994812,0.35303106904029846,0.0,0.37284374237060547,0.7147368421052631,17,True,True,True,True,True
10,0.4938620626926422,1.009032130241394,0.0,0.8663914799690247,0.4421052631578948,61,True,True,True,True,True
11,0.5881608128547668,1.0554560422897339,0.0,0.8288516998291016,0.47578947368421054,57,True,True,True,True,True
12,0.5711034536361694,0.8016961216926575,0.0,0.7317938804626465,0.528421052631579,46,True,True,True,True,True
13,0.35268962383270264,0.638777494430542,0.034482758620689655,0.2744367718696594,0.4836842105263158,55,False,True,True,True,True
14,0.5469884276390076,0.7306122779846191,0.034482758620689655,0.5300967693328857,0.4989473684210526,52,True,True,True,True,True
15,0.412344753742218,0.5747010111808777,0.034482758620689655,0.4275539219379425,0.5063157894736842,51,False,True,True,True,True
16,0.4892183542251587,0.7225508093833923,0.13793103448275862,0.29467591643333435,0.46842105263157896,60,True,True,True,True,True
17,0.423954039812088,0.49983879923820496,0.0,0.46465083956718445,0.6389473684210527,27,False,True,True,True,True
18,0.9340919256210327,0.5576077699661255,0.0,0.4907001852989197,0.828421052631579,7,True,True,True,True,True
19,0.3027586340904236,0.7316461205482483,0.10344827586206896,0.9100445508956909,0.22894736842105265,85,False,False,False,False,True
20,0.7940230369567871,0.6797808408737183,0.034482758620689655,0.37126338481903076,0.6594736842105263,23,True,True,True,True,True
21,0.47305747866630554,0.84206223487854,0.0,0.33160310983657837,0.5610526315789474,37,True,True,True,True,True
22,0.7423908710479736,0.7912843227386475,0.034482758620689655,1.1094305515289307,0.47526315789473683,58,True,True,True,True,True
23,0.4356551468372345,0.8162721395492554,0.0,0.5457883477210999,0.4715789473684211,59,False,True,True,True,True
24,0.9987586736679077,0.43027663230895996,0.0,0.6295379996299744,0.8331578947368421,6,True,True,True,True,True
25,0.52167809009552,0.6481353044509888,0.0,0.8838767409324646,0.5342105263157896,43,True,True,True,True,True
26,0.7932643890380859,0.5387094616889954,0.0,0.40072453022003174,0.8152631578947368,8,True,True,True,True,True
27,0.4152873456478119,0.8889975547790527,0.0,1.1404272317886353,0.3447368421052631,68,False,False,True,True,True
28,0.4853333532810211,0.9130025506019592,0.13793103448275862,6.0314860343933105,0.2305263157894737,84,True,False,False,False,True
29,0.3365976810455322,1.093166708946228,0.06896551724137931,0.9630412459373474,0.1610526315789474,91,False,False,False,False,False
30,0.6230575442314148,0.5995928049087524,0.0,0.7080525755882263,0.6363157894736842,28,True,True,True,True,True
31,0.4156321883201599,0.9881338477134705,0.13793103448275862,0.8272647261619568,0.2226315789473684,86,False,False,False,False,True
32,1.168321967124939,0.5441117882728577,0.034482758620689655,0.7716033458709717,0.6868421052631579,19,True,True,True,True,True
33,0.23972412943840027,0.9878594279289246,0.034482758620689655,1.59522545337677,0.15210526315789474,92,False,False,False,False,False
34,0.5898850560188293,1.119466781616211,0.20689655172413793,2.4455864429473877,0.24157894736842103,83,True,False,False,False,True
35,0.21963219344615936,1.0513055324554443,0.06896551724137931,0.5857961177825928,0.19947368421052633,89,False,False,False,False,False
36,0.819126546382904,0.6783820986747742,0.0,0.702002763748169,0.6789473684210526,20,True,True,True,True,True
37,0.3799540400505066,0.9152419567108154,0.0,1.3747601509094238,0.29789473684210527,76,False,False,False,True,True
38,0.7760459780693054,0.7329941987991333,0.034482758620689655,0.9056430459022522,0.5110526315789473,50,True,True,True,True,True
39,0.16705746948719025,1.761348009109497,0.0,0.4604552984237671,0.32894736842105265,72,False,False,True,True,True
40,0.47680461406707764,1.0686635971069336,0.13793103448275862,0.7298939824104309,0.2726315789473684,81,True,False,False,False,True
41,0.36609190702438354,0.9610491991043091,0.0,1.6427372694015503,0.2742105263157895,80,False,False,False,True,True
42,0.4664827585220337,0.6403345465660095,0.0,0.6169977784156799,0.5278947368421053,47,True,True,True,True,True
43,0.7726436853408813,0.5154024362564087,0.0,0.4186733067035675,0.7973684210526315,9,True,True,True,True,True
44,0.602390706539154,0.7780049443244934,0.10344827586206896,0.8336458802223206,0.4010526315789474,64,True,True,True,True,True
45,0.642988383769989,0.6978387236595154,0.0,0.47464004158973694,0.6321052631578947,29,True,True,True,True,True
46,0.007218390703201294,3.750248432159424,0.896551724137931,0.0,0.2073684210526316,87,False,False,False,False,True
47,0.3520689010620117,0.7943101525306702,0.13793103448275862,0.9935570955276489,0.1984210526315789,90,False,False,False,False,False
48,0.26275864243507385,0.5258335471153259,0.0,0.28382840752601624,0.5678947368421053,35,False,True,True,True,True
49,0.8305516839027405,0.3443436324596405,0.0,0.46269625425338745,0.846842105263158,4,True,True,True,True,True
50,0.6925057768821716,0.8851235508918762,0.0,1.3076239824295044,0.4852631578947368,54,True,True,True,True,True
51,1.33740234375,0.45218390226364136,0.0,0.7231230735778809,0.7900000000000001,12,True,True,True,True,True
52,0.2758161127567291,0.553942084312439,0.034482758620689655,0.7594764828681946,0.3742105263157895,66,False,False,True,True,True
