stage,config_label,seed,training_device,channel_count,kernel_size,tcn_blocks,channel_dropout,parameter_count,checkpoint_epoch,train_r2,validation_loss,validation_pooled_r2,validation_macro_r2,validation_worst_r2,train_validation_gap,checkpoint
three_seed_confirmation,activity64,42,cpu,64,3,4,0.0,82882,6,0.8140621185302734,0.36497166752815247,0.6565647125244141,0.662586897611618,0.517554521560669,0.15749740600585938,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/activity64_seed42.pt
seed43_screen,activity64,43,cpu,64,3,4,0.0,82882,7,0.8240629434585571,0.35552355647087097,0.6640160083770752,0.6683853417634964,0.581217885017395,0.16004693508148193,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/activity64_seed43.pt
three_seed_confirmation,activity64,44,cpu,64,3,4,0.0,82882,7,0.8244682550430298,0.3712295889854431,0.6491615772247314,0.6542618721723557,0.5562281012535095,0.17530667781829834,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/activity64_seed44.pt
seed43_screen,all96_3blocks,43,cpu,96,3,3,0.0,74626,7,0.8403165340423584,0.38704603910446167,0.6377087831497192,0.6390357092022896,0.49845007061958313,0.20260775089263916,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_3blocks_seed43.pt
three_seed_confirmation,all96_baseline,42,cpu,96,3,4,0.0,86978,6,0.8346318006515503,0.3647840619087219,0.6546915769577026,0.6569227576255798,0.5603193044662476,0.17994022369384766,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_baseline_seed42.pt
seed43_screen,all96_baseline,43,cpu,96,3,4,0.0,86978,5,0.8284130096435547,0.38014811277389526,0.6407382488250732,0.6441586017608643,0.5380591154098511,0.18767476081848145,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_baseline_seed43.pt
three_seed_confirmation,all96_baseline,44,cpu,96,3,4,0.0,86978,7,0.8408445119857788,0.37071749567985535,0.6472486257553101,0.650188684463501,0.5536680221557617,0.19359588623046875,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_baseline_seed44.pt
seed43_screen,all96_chdrop010,43,cpu,96,3,4,0.1,86978,7,0.8305529356002808,0.3369886577129364,0.6818851232528687,0.6825666129589081,0.5576187372207642,0.1486678123474121,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_chdrop010_seed43.pt
three_seed_confirmation,all96_chdrop020,42,cpu,96,3,4,0.2,86978,11,0.8377573490142822,0.3213956356048584,0.697762668132782,0.7003253549337387,0.6276106238365173,0.13999468088150024,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_chdrop020_seed42.pt
seed43_screen,all96_chdrop020,43,cpu,96,3,4,0.2,86978,15,0.8483152985572815,0.3177793025970459,0.7021664381027222,0.7040596753358841,0.602878749370575,0.14614886045455933,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_chdrop020_seed43.pt
three_seed_confirmation,all96_chdrop020,44,cpu,96,3,4,0.2,86978,17,0.8530775904655457,0.31698864698410034,0.7012466192245483,0.702638640999794,0.5950090885162354,0.15183097124099731,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_chdrop020_seed44.pt
seed43_screen,all96_kernel2,43,cpu,96,2,4,0.0,70594,7,0.838396430015564,0.4031149446964264,0.6201581954956055,0.6228222995996475,0.4908049702644348,0.2182382345199585,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/all96_kernel2_seed43.pt
seed43_screen,stable64,43,cpu,64,3,4,0.0,82882,7,0.8233588933944702,0.3567291498184204,0.6616417169570923,0.665495440363884,0.5928488969802856,0.16171717643737793,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable64_seed43.pt
three_seed_confirmation,stable72,42,cpu,72,3,4,0.0,83906,6,0.8226048946380615,0.34365206956863403,0.677212119102478,0.6815385967493057,0.5920040011405945,0.1453927755355835,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable72_seed42.pt
seed43_screen,stable72,43,cpu,72,3,4,0.0,83906,7,0.828705370426178,0.33791908621788025,0.6803327202796936,0.6832146197557449,0.6181737184524536,0.14837265014648438,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable72_seed43.pt
three_seed_confirmation,stable72,44,cpu,72,3,4,0.0,83906,7,0.8211457133293152,0.357138454914093,0.6628774404525757,0.666347324848175,0.5782085061073303,0.1582682728767395,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable72_seed44.pt
seed43_screen,stable80,43,cpu,80,3,4,0.0,84930,7,0.8337322473526001,0.3858696222305298,0.63798588514328,0.6397254467010498,0.5281513333320618,0.19574636220932007,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable80_seed43.pt
seed43_screen,stable88,43,cpu,88,3,4,0.0,85954,4,0.8078500032424927,0.38397708535194397,0.635255753993988,0.6365545094013214,0.5244400501251221,0.17259424924850464,indy_loco/results/phase6_channel_structure_regularization_sweep/checkpoints/stable88_seed43.pt
