lookahead,nominal_ms,realized_ms,session,fold,seed,best_epoch,train_r2,validation_r2,test_r2,test_r2_x,test_r2_y,train_windows,validation_windows,test_windows,checkpoint
future50ms,50,48,indy_20160622_01,1,43,19,0.8920556306838989,0.8026012182235718,0.8191992044448853,0.8312587738037109,0.8071396350860596,908,109,111,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160622_01_fold1.pt
future50ms,50,48,indy_20160622_01,2,43,19,0.8925941586494446,0.8126369118690491,0.7884259223937988,0.8222887516021729,0.7545630931854248,894,118,116,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160622_01_fold2.pt
future50ms,50,48,indy_20160622_01,3,43,16,0.8911693692207336,0.7950947284698486,0.8020411729812622,0.8093215823173523,0.7947607636451721,899,117,112,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160622_01_fold3.pt
future50ms,50,48,indy_20160622_01,4,43,18,0.8921254277229309,0.8173679113388062,0.8121306896209717,0.8275835514068604,0.796677827835083,900,115,113,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160622_01_fold4.pt
future50ms,50,48,indy_20160622_01,5,43,20,0.8948016166687012,0.7962929010391235,0.8013250827789307,0.7905893921852112,0.8120607137680054,911,113,104,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160622_01_fold5.pt
future50ms,50,48,indy_20160630_01,1,43,17,0.8686838150024414,0.7168707847595215,0.7070825099945068,0.6197814345359802,0.7943836450576782,871,109,114,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160630_01_fold1.pt
future50ms,50,48,indy_20160630_01,2,43,15,0.8564361333847046,0.7580338716506958,0.7247374057769775,0.6831789016723633,0.7662959098815918,881,105,108,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160630_01_fold2.pt
future50ms,50,48,indy_20160630_01,3,43,17,0.8682668805122375,0.727400541305542,0.7171190977096558,0.6284172534942627,0.805820882320404,872,114,108,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160630_01_fold3.pt
future50ms,50,48,indy_20160630_01,4,43,13,0.8457528352737427,0.6900813579559326,0.7433136701583862,0.6290868520736694,0.8575405478477478,882,104,108,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160630_01_fold4.pt
future50ms,50,48,indy_20160630_01,5,43,14,0.8607169985771179,0.7115312814712524,0.7204322814941406,0.6530108451843262,0.7878537774085999,870,109,115,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20160630_01_fold5.pt
future50ms,50,48,indy_20170131_02,1,43,19,0.8714966177940369,0.7205162048339844,0.7414193153381348,0.7314550876617432,0.7513836026191711,524,64,67,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20170131_02_fold1.pt
future50ms,50,48,indy_20170131_02,2,43,17,0.8711223006248474,0.6985644102096558,0.7234106063842773,0.6807553768157959,0.7660658359527588,524,66,65,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20170131_02_fold2.pt
future50ms,50,48,indy_20170131_02,3,43,18,0.8692314624786377,0.7142075896263123,0.7254102230072021,0.7477502226829529,0.7030701637268066,525,67,63,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20170131_02_fold3.pt
future50ms,50,48,indy_20170131_02,4,43,16,0.8687602877616882,0.6822708249092102,0.7893451452255249,0.796416163444519,0.7822741270065308,522,68,65,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20170131_02_fold4.pt
future50ms,50,48,indy_20170131_02,5,43,20,0.8708177804946899,0.7301127910614014,0.7491138577461243,0.7362602949142456,0.7619674205780029,525,64,66,results/phase8_future_lookahead_fivefold/checkpoints/future50ms/indy_20170131_02_fold5.pt
future100ms,100,100,indy_20160622_01,1,43,19,0.8897616863250732,0.8232192993164062,0.8077987432479858,0.8199241161346436,0.7956733107566833,899,108,110,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160622_01_fold1.pt
future100ms,100,100,indy_20160622_01,2,43,20,0.8944905996322632,0.8158749938011169,0.7870966196060181,0.8067021369934082,0.7674911022186279,884,118,115,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160622_01_fold2.pt
future100ms,100,100,indy_20160622_01,3,43,18,0.8927619457244873,0.7645309567451477,0.8019719123840332,0.8053218722343445,0.7986218929290771,891,115,111,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160622_01_fold3.pt
future100ms,100,100,indy_20160622_01,4,43,18,0.8946130275726318,0.8182854652404785,0.8038007020950317,0.8226288557052612,0.7849725484848022,892,114,111,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160622_01_fold4.pt
future100ms,100,100,indy_20160622_01,5,43,17,0.8921245336532593,0.8015837669372559,0.8135344982147217,0.8006998300552368,0.8263691663742065,902,112,103,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160622_01_fold5.pt
future100ms,100,100,indy_20160630_01,1,43,20,0.8702266812324524,0.7277003526687622,0.7065786123275757,0.6076897382736206,0.8054675459861755,867,108,114,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160630_01_fold1.pt
future100ms,100,100,indy_20160630_01,2,43,17,0.870356559753418,0.7804232835769653,0.7493478059768677,0.6949228048324585,0.8037728071212769,877,105,107,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160630_01_fold2.pt
future100ms,100,100,indy_20160630_01,3,43,12,0.855595588684082,0.7278165817260742,0.7278457880020142,0.6648894548416138,0.7908021211624146,869,113,107,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160630_01_fold3.pt
future100ms,100,100,indy_20160630_01,4,43,16,0.8672264814376831,0.7251019477844238,0.7502140998840332,0.6483331918716431,0.8520950675010681,878,103,108,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160630_01_fold4.pt
future100ms,100,100,indy_20160630_01,5,43,18,0.8737722635269165,0.7403678297996521,0.7376812100410461,0.6723471879959106,0.8030152320861816,865,109,115,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20160630_01_fold5.pt
future100ms,100,100,indy_20170131_02,1,43,15,0.8651940822601318,0.7021239399909973,0.7331360578536987,0.7339928150177002,0.732279360294342,521,64,67,results/phase8_future_lookahead_fivefold/checkpoints/future100ms/indy_20170131_02_fold1.pt
