lookahead,nominal_ms,realized_ms,session,fold,epoch,learning_rate,optimization_loss,gradient_mean_before_clip,gradient_max_before_clip,train_loss,train_r2,validation_loss,validation_r2
future50ms,50,48,loco_20170210_03,1,1,0.0009,0.892693530273884,1.284854509328541,2.5549166202545166,0.6969580054283142,0.30303576588630676,0.968657374382019,0.22039714455604553
future50ms,50,48,loco_20170210_03,1,2,0.000894459753267812,0.6461305765104176,1.05680471344998,1.362335443496704,0.5164368152618408,0.4835599958896637,0.7675844430923462,0.37414222955703735
future50ms,50,48,loco_20170210_03,1,3,0.0008779754323328191,0.5090344913911219,1.1231259170331453,1.5842429399490356,0.3761287033557892,0.6238677501678467,0.6390118598937988,0.47989600896835327
future50ms,50,48,loco_20170210_03,1,4,0.0008509529358847655,0.4093658371755093,1.351957264699434,2.010545015335083,0.3136328458786011,0.6863644123077393,0.6296708583831787,0.48646751046180725
future50ms,50,48,loco_20170210_03,1,5,0.0008140576474687264,0.3562615425397176,1.4488856447370428,1.9989691972732544,0.28757360577583313,0.7124248743057251,0.5871655344963074,0.5229984521865845
future50ms,50,48,loco_20170210_03,1,6,0.0007681980515339464,0.30311340877759396,1.1156346421492727,2.9489078521728516,0.241678386926651,0.7583202719688416,0.5721942186355591,0.5370897054672241
future50ms,50,48,loco_20170210_03,1,7,0.0007145033635316129,0.29215656533046913,1.1166833513661434,2.2572739124298096,0.22542545199394226,0.7745741009712219,0.5935107469558716,0.513247549533844
future50ms,50,48,loco_20170210_03,1,8,0.0006542957248827961,0.2748182903768657,1.0892427030362581,1.7252964973449707,0.208060622215271,0.7919378280639648,0.5867751836776733,0.518904983997345
future50ms,50,48,loco_20170210_03,1,9,0.0005890576474687265,0.2558599791497048,1.1334452911427146,1.818019151687622,0.21760670840740204,0.7823918461799622,0.6405954957008362,0.4709627032279968
future50ms,50,48,loco_20170210_03,1,10,0.000520395509268104,0.2509930318719408,1.1889122034374036,1.8517240285873413,0.18811023235321045,0.8118886947631836,0.5561272501945496,0.5475711822509766
future50ms,50,48,loco_20170210_03,1,11,0.0004500000000000001,0.24066165035954715,0.9505888474614996,1.482395887374878,0.18865333497524261,0.8113448619842529,0.5883224010467529,0.5200634598731995
future50ms,50,48,loco_20170210_03,1,12,0.00037960449073189633,0.22523033760106495,0.9751983128095928,1.8091310262680054,0.17902103066444397,0.8209772706031799,0.6032752394676208,0.5067883729934692
future50ms,50,48,loco_20170210_03,1,13,0.0003109423525312738,0.22365357892121107,1.1271402396653827,1.5538026094436646,0.1803215891122818,0.8196772933006287,0.5737049579620361,0.5347370505332947
future50ms,50,48,loco_20170210_03,1,14,0.00024570427511720405,0.2153815521511932,1.0212786605483608,1.864722728729248,0.16287767887115479,0.8371211886405945,0.5770812034606934,0.5301202535629272
future50ms,50,48,loco_20170210_03,1,15,0.0001854966364683872,0.20530857592770776,0.907331855673539,1.3644999265670776,0.15929150581359863,0.8407071828842163,0.5889180898666382,0.5177493095397949
future50ms,50,48,loco_20170210_03,1,16,0.00013180194846605368,0.2025655078691741,0.869992218519512,1.351084589958191,0.15564490854740143,0.8443541526794434,0.5677707195281982,0.537416934967041
future50ms,50,48,loco_20170210_03,1,17,8.594235253127372e-05,0.20636223329011696,0.9257843714011343,1.856151819229126,0.1539705991744995,0.8460281491279602,0.5796814560890198,0.5258780717849731
future50ms,50,48,loco_20170210_03,1,18,4.9047064115234504e-05,0.19831215850553996,0.9523850804881046,1.6181308031082153,0.14952857792377472,0.8504701852798462,0.5686110854148865,0.5351284742355347
future50ms,50,48,loco_20170210_03,1,19,2.2024567667180916e-05,0.1995217235271371,0.909065516371476,1.6061105728149414,0.14955534040927887,0.8504436612129211,0.5664224624633789,0.5377985835075378
