subset,groups,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
none,none,42,1,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,42,1,252,64,140,0.7380952380952381,0.640625,0.640625,0.6405372405372406,"[[20, 12], [11, 21]]"
B,B,42,1,252,64,84,0.7182539682539683,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
C,C,42,1,252,64,28,0.6944444444444444,0.546875,0.546875,0.5458771715194519,"[[19, 13], [16, 16]]"
AB,A+B,42,1,252,64,224,0.7579365079365079,0.6875,0.6875,0.6862745098039216,"[[20, 12], [8, 24]]"
AC,A+C,42,1,252,64,168,0.7936507936507936,0.671875,0.671875,0.6717948717948719,"[[21, 11], [10, 22]]"
BC,B+C,42,1,252,64,112,0.7619047619047619,0.65625,0.65625,0.65625,"[[21, 11], [11, 21]]"
ABC,A+B+C,42,1,252,64,252,0.8055555555555556,0.671875,0.671875,0.6717948717948719,"[[21, 11], [10, 22]]"
none,none,42,2,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,42,2,252,64,140,0.746031746031746,0.640625,0.640625,0.6405372405372406,"[[21, 11], [12, 20]]"
B,B,42,2,252,64,84,0.7420634920634921,0.578125,0.578125,0.577195987276731,"[[20, 12], [15, 17]]"
C,C,42,2,252,64,28,0.6706349206349206,0.640625,0.640625,0.6398336187912894,"[[19, 13], [10, 22]]"
AB,A+B,42,2,252,64,224,0.7817460317460317,0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]"
AC,A+C,42,2,252,64,168,0.8333333333333334,0.6875,0.6875,0.6875,"[[22, 10], [10, 22]]"
BC,B+C,42,2,252,64,112,0.8293650793650794,0.671875,0.671875,0.6717948717948719,"[[22, 10], [11, 21]]"
ABC,A+B+C,42,2,252,64,252,0.8293650793650794,0.703125,0.703125,0.7024712503058479,"[[24, 8], [11, 21]]"
none,none,42,3,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,42,3,253,63,140,0.7509881422924901,0.5555555555555556,0.5539314516129032,0.55,"[[21, 11], [17, 14]]"
B,B,42,3,253,63,84,0.7193675889328063,0.6031746031746031,0.6023185483870968,0.6015684290412344,"[[21, 11], [14, 17]]"
C,C,42,3,253,63,28,0.6877470355731226,0.6825396825396826,0.6824596774193548,0.6824596774193548,"[[22, 10], [10, 21]]"
AB,A+B,42,3,253,63,224,0.7628458498023716,0.5555555555555556,0.5539314516129032,0.55,"[[21, 11], [17, 14]]"
AC,A+C,42,3,253,63,168,0.8063241106719368,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
BC,B+C,42,3,253,63,112,0.7865612648221344,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
ABC,A+B+C,42,3,253,63,252,0.8142292490118577,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
none,none,42,4,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,42,4,253,63,140,0.7430830039525692,0.6349206349206349,0.6360887096774194,0.6334429547179358,"[[18, 14], [9, 22]]"
B,B,42,4,253,63,84,0.7430830039525692,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
C,C,42,4,253,63,28,0.6798418972332015,0.6031746031746031,0.6043346774193548,0.6015684290412344,"[[17, 15], [10, 21]]"
AB,A+B,42,4,253,63,224,0.7747035573122529,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
AC,A+C,42,4,253,63,168,0.7747035573122529,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
BC,B+C,42,4,253,63,112,0.766798418972332,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
ABC,A+B+C,42,4,253,63,252,0.8063241106719368,0.6666666666666666,0.6668346774193548,0.6666666666666667,"[[21, 11], [10, 21]]"
none,none,42,5,254,62,0,0.5039370078740157,0.5,0.5,0.3333333333333333,"[[31, 0], [31, 0]]"
A,A,42,5,254,62,140,0.7244094488188977,0.6451612903225806,0.6451612903225806,0.6447916666666667,"[[21, 10], [12, 19]]"
B,B,42,5,254,62,84,0.7125984251968503,0.6935483870967742,0.6935483870967742,0.6934686442883163,"[[21, 10], [9, 22]]"
C,C,42,5,254,62,28,0.6850393700787402,0.6451612903225806,0.6451612903225806,0.6451612903225806,"[[20, 11], [11, 20]]"
AB,A+B,42,5,254,62,224,0.7598425196850394,0.6774193548387096,0.6774193548387096,0.6774193548387096,"[[21, 10], [10, 21]]"
AC,A+C,42,5,254,62,168,0.7952755905511811,0.7258064516129032,0.7258064516129032,0.7257351027842831,"[[22, 9], [8, 23]]"
BC,B+C,42,5,254,62,112,0.7755905511811023,0.6935483870967742,0.6935483870967742,0.6934686442883163,"[[21, 10], [9, 22]]"
ABC,A+B+C,42,5,254,62,252,0.8070866141732284,0.7580645161290323,0.7580645161290323,0.7574967405475881,"[[22, 9], [6, 25]]"
none,none,43,1,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,43,1,252,64,140,0.7658730158730159,0.59375,0.59375,0.59375,"[[19, 13], [13, 19]]"
B,B,43,1,252,64,84,0.7301587301587301,0.640625,0.640625,0.6398336187912894,"[[19, 13], [10, 22]]"
C,C,43,1,252,64,28,0.6904761904761905,0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]"
AB,A+B,43,1,252,64,224,0.7936507936507936,0.578125,0.578125,0.5780219780219781,"[[18, 14], [13, 19]]"
AC,A+C,43,1,252,64,168,0.8333333333333334,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
BC,B+C,43,1,252,64,112,0.8095238095238095,0.640625,0.640625,0.6405372405372406,"[[20, 12], [11, 21]]"
ABC,A+B+C,43,1,252,64,252,0.8412698412698413,0.671875,0.671875,0.6698599852616065,"[[19, 13], [8, 24]]"
none,none,43,2,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,43,2,252,64,140,0.7301587301587301,0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]"
B,B,43,2,252,64,84,0.7063492063492064,0.625,0.625,0.6216748768472906,"[[23, 9], [15, 17]]"
C,C,43,2,252,64,28,0.6825396825396826,0.625,0.625,0.6235294117647059,"[[22, 10], [14, 18]]"
AB,A+B,43,2,252,64,224,0.7698412698412699,0.65625,0.65625,0.6532019704433498,"[[24, 8], [14, 18]]"
AC,A+C,43,2,252,64,168,0.8174603174603174,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
BC,B+C,43,2,252,64,112,0.7896825396825397,0.703125,0.703125,0.7013018914271678,"[[25, 7], [12, 20]]"
ABC,A+B+C,43,2,252,64,252,0.8253968253968254,0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]"
none,none,43,3,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,43,3,253,63,140,0.7351778656126482,0.6984126984126984,0.6980846774193548,0.6981084489281211,"[[23, 9], [10, 21]]"
