subset,groups,seed,folds,feature_count,accuracy,balanced_accuracy,macro_f1,confusion_matrix
none,none,42,5,0,0.5031645569620253,0.5,0.33473684210526317,"[[159, 0], [157, 0]]"
A,A,42,5,140,0.6234177215189873,0.6233425469695149,0.62332341657401,"[[101, 58], [61, 96]]"
B,B,42,5,84,0.6360759493670886,0.6360814004726996,0.6360723048420209,"[[101, 58], [57, 100]]"
C,C,42,5,28,0.6234177215189873,0.6235027841204983,0.623383777179084,"[[97, 62], [57, 100]]"
AB,A+B,42,5,224,0.6392405063291139,0.6392661138484957,0.6392405063291139,"[[101, 58], [56, 101]]"
AC,A+C,42,5,168,0.6708860759493671,0.6709129511677282,0.6708860759493671,"[[106, 53], [51, 106]]"
BC,B+C,42,5,112,0.6582278481012658,0.6582141569522894,0.6582141569522894,"[[105, 54], [54, 103]]"
ABC,A+B+C,42,5,252,0.6835443037974683,0.6835316268076753,0.6835316268076753,"[[109, 50], [50, 107]]"
none,none,43,5,0,0.5031645569620253,0.5,0.33473684210526317,"[[159, 0], [157, 0]]"
A,A,43,5,140,0.6487341772151899,0.6487401354003925,0.6487306594562114,"[[103, 56], [55, 102]]"
B,B,43,5,84,0.6392405063291139,0.6392260545607499,0.6392260545607499,"[[102, 57], [57, 100]]"
C,C,43,5,28,0.5886075949367089,0.5886311741377238,0.5886075949367089,"[[93, 66], [64, 93]]"
AB,A+B,43,5,224,0.6582278481012658,0.6582542162400352,0.6582278481012658,"[[104, 55], [53, 104]]"
AC,A+C,43,5,168,0.689873417721519,0.6899811721347594,0.6898237179487179,"[[107, 52], [46, 111]]"
BC,B+C,43,5,112,0.6835443037974683,0.6836518046709129,0.6834935897435896,"[[106, 53], [47, 110]]"
ABC,A+B+C,43,5,252,0.6993670886075949,0.6994952529744021,0.6992918031473189,"[[108, 51], [44, 113]]"
none,none,44,5,0,0.5031645569620253,0.5,0.33473684210526317,"[[159, 0], [157, 0]]"
A,A,44,5,140,0.6772151898734177,0.677162200056083,0.6771634615384615,"[[109, 50], [52, 105]]"
B,B,44,5,84,0.6518987341772152,0.6519649080639346,0.6518847894884429,"[[102, 57], [53, 104]]"
C,C,44,5,28,0.6455696202531646,0.6455153627368505,0.6455128205128204,"[[104, 55], [57, 100]]"
AB,A+B,44,5,224,0.680379746835443,0.6803068541441333,0.6802997065039917,"[[110, 49], [52, 105]]"
AC,A+C,44,5,168,0.6867088607594937,0.6866762808957256,0.6866806213506665,"[[110, 49], [50, 107]]"
BC,B+C,44,5,112,0.6772151898734177,0.677162200056083,0.6771634615384615,"[[109, 50], [52, 105]]"
ABC,A+B+C,44,5,252,0.6835443037974683,0.6835316268076753,0.6835316268076753,"[[109, 50], [50, 107]]"
