seed,group,context_without_group,context_with_group,shapley_weight,marginal_balanced_accuracy,weighted_contribution
42,A,none,A,0.3333333333333333,0.12334254696951485,0.041114182323171614
42,A,B,AB,0.16666666666666666,0.0031847133757961776,0.0005307855626326963
42,A,C,AC,0.16666666666666666,0.04741016704722989,0.007901694507871648
42,A,BC,ABC,0.3333333333333333,0.025317469855385966,0.008439156618461988
42,B,none,B,0.3333333333333333,0.13608140047269957,0.045360466824233184
42,B,A,AB,0.16666666666666666,0.015923566878980888,0.0026539278131634814
42,B,C,BC,0.16666666666666666,0.03471137283179104,0.005785228805298507
42,B,AC,ABC,0.3333333333333333,0.012618675639947119,0.004206225213315706
42,C,none,C,0.3333333333333333,0.12350278412049831,0.04116759470683277
42,C,A,AC,0.16666666666666666,0.047570404198213345,0.007928400699702224
42,C,B,BC,0.16666666666666666,0.022132756479589788,0.0036887927465982977
42,C,AB,ABC,0.3333333333333333,0.044265512959179576,0.01475517098639319
43,A,none,A,0.3333333333333333,0.14874013540039255,0.04958004513346418
43,A,B,AB,0.16666666666666666,0.019028161679285338,0.0031713602798808895
43,A,C,AC,0.16666666666666666,0.10134999799703559,0.016891666332839263
43,A,BC,ABC,0.3333333333333333,0.01584344830348916,0.0052811494344963865
43,B,none,B,0.3333333333333333,0.13922605456074988,0.04640868485358329
43,B,A,AB,0.16666666666666666,0.009514080839642669,0.0015856801399404448
43,B,C,BC,0.16666666666666666,0.0950206305331891,0.015836771755531515
43,B,AC,ABC,0.3333333333333333,0.009514080839642669,0.0031713602798808895
43,C,none,C,0.3333333333333333,0.08863117413772381,0.029543724712574604
43,C,A,AC,0.16666666666666666,0.041241036734366854,0.006873506122394475
43,C,B,BC,0.16666666666666666,0.04442575011016303,0.007404291685027172
43,C,AB,ABC,0.3333333333333333,0.041241036734366854,0.01374701224478895
44,A,none,A,0.3333333333333333,0.17716220005608296,0.059054066685360986
44,A,B,AB,0.16666666666666666,0.028341946080198688,0.004723657680033114
44,A,C,AC,0.16666666666666666,0.041160918158875126,0.006860153026479188
44,A,BC,ABC,0.3333333333333333,0.006369426751592355,0.002123142250530785
44,B,none,B,0.3333333333333333,0.1519649080639346,0.05065496935464486
44,B,A,AB,0.16666666666666666,0.0031446540880503138,0.0005241090146750522
44,B,C,BC,0.16666666666666666,0.03164683731923246,0.005274472886538742
44,B,AC,ABC,0.3333333333333333,-0.0031446540880503138,-0.0010482180293501044
44,C,none,C,0.3333333333333333,0.1455153627368505,0.0485051209122835
44,C,A,AC,0.16666666666666666,0.009514080839642669,0.0015856801399404448
44,C,B,BC,0.16666666666666666,0.025197291992148374,0.004199548665358062
44,C,AB,ABC,0.3333333333333333,0.0032247726635420415,0.0010749242211806804
