seed,fold,bin_ms,window_ms,samples_per_bin,bins_per_window,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,model_fit_seconds
42,1,10,200,1,20,252,64,0.75,0.75,0.75,0.47883644030280437,0.025484499987214804
42,1,20,200,2,10,252,64,0.75,0.75,0.75,0.47883644030280437,0.025484499987214804
42,1,50,200,5,4,252,64,0.75,0.75,0.75,0.47883644030280437,0.025484499987214804
42,1,100,200,10,2,252,64,0.75,0.75,0.75,0.47883644030280437,0.025484499987214804
42,1,10,300,1,30,252,64,0.828125,0.828125,0.8277465133349645,0.3183734361118997,0.011881207814440131
42,1,20,300,2,15,252,64,0.828125,0.828125,0.8277465133349645,0.3183734361118997,0.011881207814440131
42,1,50,300,5,6,252,64,0.828125,0.828125,0.8277465133349645,0.3183734361118997,0.011881207814440131
42,1,100,300,10,3,252,64,0.828125,0.828125,0.8277465133349645,0.3183734361118997,0.011881207814440131
42,1,10,400,1,40,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990503,0.01137516601011157
42,1,20,400,2,20,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990503,0.01137516601011157
42,1,50,400,5,8,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990503,0.01137516601011157
42,1,100,400,10,4,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990503,0.01137516601011157
42,1,10,500,1,50,252,64,0.84375,0.84375,0.84375,0.3687367368375955,0.011266292072832584
42,1,20,500,2,25,252,64,0.84375,0.84375,0.84375,0.3687367368375955,0.011266292072832584
42,1,50,500,5,10,252,64,0.84375,0.84375,0.84375,0.3687367368375955,0.011266292072832584
42,1,100,500,10,5,252,64,0.84375,0.84375,0.84375,0.3687367368375955,0.011266292072832584
42,2,10,200,1,20,252,64,0.796875,0.796875,0.7964276975776854,0.39816563459281495,0.010328707983717322
42,2,20,200,2,10,252,64,0.796875,0.796875,0.7964276975776854,0.39816563459281495,0.010328707983717322
42,2,50,200,5,4,252,64,0.796875,0.796875,0.7964276975776854,0.39816563459281495,0.010328707983717322
42,2,100,200,10,2,252,64,0.796875,0.796875,0.7964276975776854,0.39816563459281495,0.010328707983717322
42,2,10,300,1,30,252,64,0.703125,0.703125,0.703052503052503,0.4694951501675274,0.010968499816954136
42,2,20,300,2,15,252,64,0.703125,0.703125,0.703052503052503,0.4694951501675274,0.010968499816954136
42,2,50,300,5,6,252,64,0.703125,0.703125,0.703052503052503,0.4694951501675274,0.010968499816954136
42,2,100,300,10,3,252,64,0.703125,0.703125,0.703052503052503,0.4694951501675274,0.010968499816954136
42,2,10,400,1,40,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707584,0.026141625130549073
42,2,20,400,2,20,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707584,0.026141625130549073
42,2,50,400,5,8,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707584,0.026141625130549073
42,2,100,400,10,4,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707584,0.026141625130549073
42,2,10,500,1,50,252,64,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.03895625006407499
42,2,20,500,2,25,252,64,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.03895625006407499
42,2,50,500,5,10,252,64,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.03895625006407499
42,2,100,500,10,5,252,64,0.796875,0.796875,0.7964276975776854,0.4527420603787378,0.03895625006407499
42,3,10,200,1,20,253,63,0.6984126984126984,0.6960685483870968,0.6906177306797622,0.6421014231254404,0.01862958399578929
42,3,20,200,2,10,253,63,0.6984126984126984,0.6960685483870968,0.6906177306797622,0.6421014231254404,0.01862958399578929
42,3,50,200,5,4,253,63,0.6984126984126984,0.6960685483870968,0.6906177306797622,0.6421014231254404,0.01862958399578929
42,3,100,200,10,2,253,63,0.6984126984126984,0.6960685483870968,0.6906177306797622,0.6421014231254404,0.01862958399578929
42,3,10,300,1,30,253,63,0.746031746031746,0.7454637096774194,0.7454545454545454,0.5685854750019105,0.0112508749589324
42,3,20,300,2,15,253,63,0.746031746031746,0.7454637096774194,0.7454545454545454,0.5685854750019105,0.0112508749589324
42,3,50,300,5,6,253,63,0.746031746031746,0.7454637096774194,0.7454545454545454,0.5685854750019105,0.0112508749589324
42,3,100,300,10,3,253,63,0.746031746031746,0.7454637096774194,0.7454545454545454,0.5685854750019105,0.0112508749589324
42,3,10,400,1,40,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.35701118614587135,0.011294000083580613
42,3,20,400,2,20,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.35701118614587135,0.011294000083580613
42,3,50,400,5,8,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.35701118614587135,0.011294000083580613
42,3,100,400,10,4,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.35701118614587135,0.011294000083580613
42,3,10,500,1,50,253,63,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.012358958832919598
42,3,20,500,2,25,253,63,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.012358958832919598
42,3,50,500,5,10,253,63,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.012358958832919598
42,3,100,500,10,5,253,63,0.7936507936507936,0.7943548387096775,0.7934426229508197,0.3743912841588162,0.012358958832919598
42,4,10,200,1,20,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3473542951570337,0.010998292127624154
42,4,20,200,2,10,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3473542951570337,0.010998292127624154
42,4,50,200,5,4,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3473542951570337,0.010998292127624154
42,4,100,200,10,2,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3473542951570337,0.010998292127624154
42,4,10,300,1,30,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.264354745935553,0.011239999905228615
42,4,20,300,2,15,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.264354745935553,0.011239999905228615
42,4,50,300,5,6,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.264354745935553,0.011239999905228615
42,4,100,300,10,3,253,63,0.8888888888888888,0.889616935483871,0.8887767969735183,0.264354745935553,0.011239999905228615
42,4,10,400,1,40,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079909246,0.012161791091784835
42,4,20,400,2,20,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079909246,0.012161791091784835
42,4,50,400,5,8,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079909246,0.012161791091784835
42,4,100,400,10,4,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079909246,0.012161791091784835
42,4,10,500,1,50,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.011428584111854434
42,4,20,500,2,25,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.011428584111854434
42,4,50,500,5,10,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.011428584111854434
42,4,100,500,10,5,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.25554427332676005,0.011428584111854434
42,5,10,200,1,20,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.40979976778853566,0.010711750015616417
42,5,20,200,2,10,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.40979976778853566,0.010711750015616417
42,5,50,200,5,4,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.40979976778853566,0.010711750015616417
42,5,100,200,10,2,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.40979976778853566,0.010711750015616417
42,5,10,300,1,30,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4145096320150794,0.011471375124529004
42,5,20,300,2,15,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4145096320150794,0.011471375124529004
42,5,50,300,5,6,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4145096320150794,0.011471375124529004
42,5,100,300,10,3,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.4145096320150794,0.011471375124529004
42,5,10,400,1,40,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.39915214719561665,0.010526166064664721
42,5,20,400,2,20,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.39915214719561665,0.010526166064664721
42,5,50,400,5,8,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.39915214719561665,0.010526166064664721
42,5,100,400,10,4,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.39915214719561665,0.010526166064664721
42,5,10,500,1,50,254,62,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.011190250050276518
42,5,20,500,2,25,254,62,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.011190250050276518
42,5,50,500,5,10,254,62,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.011190250050276518
42,5,100,500,10,5,254,62,0.8709677419354839,0.8709677419354838,0.87042842215256,0.36991857886356894,0.011190250050276518
43,1,10,200,1,20,252,64,0.828125,0.828125,0.8270695160894129,0.5024578433074758,0.00949583388864994
43,1,20,200,2,10,252,64,0.828125,0.828125,0.8270695160894129,0.5024578433074758,0.00949583388864994
43,1,50,200,5,4,252,64,0.828125,0.828125,0.8270695160894129,0.5024578433074758,0.00949583388864994
43,1,100,200,10,2,252,64,0.828125,0.828125,0.8270695160894129,0.5024578433074758,0.00949583388864994
43,1,10,300,1,30,252,64,0.8125,0.8125,0.8117647058823529,0.3882504617715743,0.010885791853070259
43,1,20,300,2,15,252,64,0.8125,0.8125,0.8117647058823529,0.3882504617715743,0.010885791853070259
43,1,50,300,5,6,252,64,0.8125,0.8125,0.8117647058823529,0.3882504617715743,0.010885791853070259
43,1,100,300,10,3,252,64,0.8125,0.8125,0.8117647058823529,0.3882504617715743,0.010885791853070259
43,1,10,400,1,40,252,64,0.828125,0.828125,0.828083028083028,0.3415328507146172,0.011037249816581607
43,1,20,400,2,20,252,64,0.828125,0.828125,0.828083028083028,0.3415328507146172,0.011037249816581607
43,1,50,400,5,8,252,64,0.828125,0.828125,0.828083028083028,0.3415328507146172,0.011037249816581607
43,1,100,400,10,4,252,64,0.828125,0.828125,0.828083028083028,0.3415328507146172,0.011037249816581607
43,1,10,500,1,50,252,64,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.010926999850198627
43,1,20,500,2,25,252,64,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.010926999850198627
43,1,50,500,5,10,252,64,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.010926999850198627
43,1,100,500,10,5,252,64,0.859375,0.859375,0.8590653290922436,0.3154788365669675,0.010926999850198627
43,2,10,200,1,20,252,64,0.78125,0.78125,0.78125,0.45281211201739263,0.009322332916781306
43,2,20,200,2,10,252,64,0.78125,0.78125,0.78125,0.45281211201739263,0.009322332916781306
43,2,50,200,5,4,252,64,0.78125,0.78125,0.78125,0.45281211201739263,0.009322332916781306
43,2,100,200,10,2,252,64,0.78125,0.78125,0.78125,0.45281211201739263,0.009322332916781306
43,2,10,300,1,30,252,64,0.765625,0.765625,0.7655677655677655,0.394084943318764,0.01003037509508431
43,2,20,300,2,15,252,64,0.765625,0.765625,0.7655677655677655,0.394084943318764,0.01003037509508431
43,2,50,300,5,6,252,64,0.765625,0.765625,0.7655677655677655,0.394084943318764,0.01003037509508431
43,2,100,300,10,3,252,64,0.765625,0.765625,0.7655677655677655,0.394084943318764,0.01003037509508431
43,2,10,400,1,40,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045482,0.010260416893288493
43,2,20,400,2,20,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045482,0.010260416893288493
43,2,50,400,5,8,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045482,0.010260416893288493
43,2,100,400,10,4,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045482,0.010260416893288493
43,2,10,500,1,50,252,64,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.010762166930362582
43,2,20,500,2,25,252,64,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.010762166930362582
43,2,50,500,5,10,252,64,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.010762166930362582
43,2,100,500,10,5,252,64,0.84375,0.84375,0.8435972629521017,0.33854264240726184,0.010762166930362582
43,3,10,200,1,20,253,63,0.8253968253968254,0.8235887096774194,0.8225352112676056,0.4155744584254741,0.010014957981184125
43,3,20,200,2,10,253,63,0.8253968253968254,0.8235887096774194,0.8225352112676056,0.4155744584254741,0.010014957981184125
43,3,50,200,5,4,253,63,0.8253968253968254,0.8235887096774194,0.8225352112676056,0.4155744584254741,0.010014957981184125
43,3,100,200,10,2,253,63,0.8253968253968254,0.8235887096774194,0.8225352112676056,0.4155744584254741,0.010014957981184125
43,3,10,300,1,30,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3695263227581384,0.010370624950155616
43,3,20,300,2,15,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3695263227581384,0.010370624950155616
43,3,50,300,5,6,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3695263227581384,0.010370624950155616
43,3,100,300,10,3,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3695263227581384,0.010370624950155616
43,3,10,400,1,40,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3922622500698151,0.010185707826167345
43,3,20,400,2,20,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3922622500698151,0.010185707826167345
43,3,50,400,5,8,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3922622500698151,0.010185707826167345
43,3,100,400,10,4,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.3922622500698151,0.010185707826167345
43,3,10,500,1,50,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.010303042130544782
43,3,20,500,2,25,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.010303042130544782
43,3,50,500,5,10,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.010303042130544782
43,3,100,500,10,5,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.010303042130544782
43,4,10,200,1,20,253,63,0.8253968253968254,0.8245967741935484,0.8246901087781432,0.45087188205548767,0.009134416934102774
43,4,20,200,2,10,253,63,0.8253968253968254,0.8245967741935484,0.8246901087781432,0.45087188205548767,0.009134416934102774
43,4,50,200,5,4,253,63,0.8253968253968254,0.8245967741935484,0.8246901087781432,0.45087188205548767,0.009134416934102774
43,4,100,200,10,2,253,63,0.8253968253968254,0.8245967741935484,0.8246901087781432,0.45087188205548767,0.009134416934102774
43,4,10,300,1,30,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.4195181044215746,0.009865665808320045
43,4,20,300,2,15,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.4195181044215746,0.009865665808320045
43,4,50,300,5,6,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.4195181044215746,0.009865665808320045
43,4,100,300,10,3,253,63,0.7301587301587301,0.7298387096774194,0.7298865069356872,0.4195181044215746,0.009865665808320045
43,4,10,400,1,40,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697302,0.010059665888547897
