candidate,seed,baseline_errors,candidate_errors,baseline_errors_corrected,new_errors_introduced,corrected_baseline_error_fraction,error_jaccard,prediction_disagreement_fraction,candidate_accuracy_on_disagreements
regularized_cssd,42,53,53,4,4,0.07547169811320754,0.8596491228070176,0.02531645569620253,0.5
regularized_cssd,43,50,49,8,7,0.16,0.7368421052631579,0.04746835443037975,0.5333333333333333
regularized_cssd,44,49,49,7,7,0.14285714285714285,0.75,0.04430379746835443,0.5
shrinkage_lda,42,53,50,17,14,0.32075471698113206,0.5373134328358209,0.0981012658227848,0.5483870967741935
shrinkage_lda,43,50,51,16,17,0.32,0.5074626865671642,0.10443037974683544,0.48484848484848486
shrinkage_lda,44,49,54,12,17,0.24489795918367346,0.5606060606060606,0.09177215189873418,0.41379310344827586
regularized_cssd_shrinkage_lda,42,53,51,17,15,0.32075471698113206,0.5294117647058824,0.10126582278481013,0.53125
regularized_cssd_shrinkage_lda,43,50,51,19,20,0.38,0.44285714285714284,0.12341772151898735,0.48717948717948717
regularized_cssd_shrinkage_lda,44,49,54,14,19,0.2857142857142857,0.5147058823529411,0.10443037974683544,0.42424242424242425
toeplitz_lda,42,53,47,15,9,0.2830188679245283,0.6129032258064516,0.0759493670886076,0.625
toeplitz_lda,43,50,47,15,12,0.3,0.5645161290322581,0.08544303797468354,0.5555555555555556
toeplitz_lda,44,49,53,9,13,0.1836734693877551,0.6451612903225806,0.06962025316455696,0.4090909090909091
baseline_toeplitz_nested_fusion,42,53,53,6,6,0.11320754716981132,0.7966101694915254,0.0379746835443038,0.5
baseline_toeplitz_nested_fusion,43,50,46,10,6,0.2,0.7142857142857143,0.05063291139240506,0.625
baseline_toeplitz_nested_fusion,44,49,52,8,11,0.16326530612244897,0.6833333333333333,0.060126582278481014,0.42105263157894735
