variant,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,fit_and_inference_seconds,float32_predictions_exact,float32_max_score_error,float32_max_probability_error,cssd_oas_bp_left,cssd_oas_bp_right,cssd_oas_erd_left,cssd_oas_erd_right
baseline_cssd_lda,42,1,252,64,0.828125,0.828125,0.828083028083028,0.4120488510990315,0.013774584047496319,True,0.00010321430046211777,2.5161846247012676e-05,0.0,0.0,0.0,0.0
regularized_cssd,42,1,252,64,0.828125,0.828125,0.8277465133349645,0.4128398585053019,0.01221000007353723,True,9.699354399184124e-05,2.3798905132266235e-05,0.006465348610321058,0.007850558220544151,0.0008973896085039778,0.0009372171552708162
shrinkage_lda,42,1,252,64,0.796875,0.796875,0.7968253968253969,0.41308096687012863,0.012960582971572876,True,3.812952499337996e-05,9.467308296762234e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,42,1,252,64,0.765625,0.765625,0.7655677655677655,0.4148354985686432,0.014587792102247477,True,2.9038100441303172e-05,7.209475579084135e-06,0.006465348610321058,0.007850558220544151,0.0008973896085039778,0.0009372171552708162
toeplitz_lda,42,1,252,64,0.828125,0.828125,0.828083028083028,0.3777343876975392,0.017002500128000975,True,4.659536830997624e-05,9.156607222560176e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,42,2,252,64,0.765625,0.765625,0.7655677655677655,0.4595108677707459,0.010270290775224566,True,0.00013501160399442824,2.2066379369412026e-05,0.0,0.0,0.0,0.0
regularized_cssd,42,2,252,64,0.75,0.75,0.7497556207233627,0.45319969455433573,0.011083000106737018,True,9.600714817636913e-05,1.9708010928320974e-05,0.006485017858791679,0.00750033369927021,0.0008889900778948664,0.0009119295296644985
shrinkage_lda,42,2,252,64,0.796875,0.796875,0.7968253968253969,0.437256748469789,0.012958291219547391,True,4.5873359726833485e-05,9.968974003460307e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,42,2,252,64,0.8125,0.8125,0.8125,0.43589684656407224,0.014461374841630459,True,4.075093204747304e-05,7.662925216533889e-06,0.006485017858791679,0.00750033369927021,0.0008889900778948664,0.0009119295296644985
toeplitz_lda,42,2,252,64,0.84375,0.84375,0.84375,0.43525778091368633,0.016542457975447178,True,4.189703883206164e-05,9.436858109335144e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,42,3,253,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.3570111861458797,0.010247666155919433,True,0.00013559537618856865,1.8035848465880466e-05,0.0,0.0,0.0,0.0
regularized_cssd,42,3,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.3429519424116028,0.011133250081911683,True,9.746149206346644e-05,1.4769712241569088e-05,0.006169164724978018,0.007226846698847716,0.0008786746518041369,0.0009029869914044395
shrinkage_lda,42,3,253,63,0.8571428571428571,0.857358870967742,0.8571428571428571,0.3161793847154654,0.012942291097715497,True,3.255322278761241e-05,4.513298170583102e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,42,3,253,63,0.8571428571428571,0.857358870967742,0.8571428571428571,0.29908907011388985,0.013194125145673752,True,3.104087515737319e-05,5.4676709366208165e-06,0.006169164724978018,0.007226846698847716,0.0008786746518041369,0.0009029869914044395
toeplitz_lda,42,3,253,63,0.8412698412698413,0.8412298387096775,0.8412298387096775,0.3184144762154076,0.017537625040858984,True,4.202990890522784e-05,6.701743425985285e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,42,4,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20918739079910767,0.009390541119500995,True,9.089742821299929e-05,2.230854285234507e-05,0.0,0.0,0.0,0.0
regularized_cssd,42,4,253,63,0.9365079365079365,0.936491935483871,0.936491935483871,0.20560766790344254,0.01026687491685152,True,9.48953625441451e-05,2.2941824059707905e-05,0.006418141619896978,0.007400325336937821,0.0009103383792092687,0.0009127939289464593
shrinkage_lda,42,4,253,63,0.9206349206349206,0.920866935483871,0.9206349206349206,0.2639062397159173,0.013864333042874932,True,3.05623234422292e-05,5.5328853263425515e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,42,4,253,63,0.9047619047619048,0.905241935483871,0.9047379032258065,0.26396753164564896,0.013902249978855252,True,2.9136033488974533e-05,3.567679079496955e-06,0.006418141619896978,0.007400325336937821,0.0009103383792092687,0.0009127939289464593
toeplitz_lda,42,4,253,63,0.9047619047619048,0.9047379032258065,0.9047379032258065,0.2617283115795662,0.017969208071008325,True,3.595738006856308e-05,6.233358750939999e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,42,5,254,62,0.8064516129032258,0.8064516129032258,0.8056426332288402,0.3991521471956277,0.009890333050861955,True,0.00016463681476519554,1.4606604448186289e-05,0.0,0.0,0.0,0.0
regularized_cssd,42,5,254,62,0.8064516129032258,0.8064516129032258,0.8046218487394958,0.38734663266861064,0.011822208063676953,True,0.00019234320798666715,1.3862127442643146e-05,0.00610996205388544,0.007222472295108296,0.0008966743171109321,0.0009190827998574967
shrinkage_lda,42,5,254,62,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.3630107320245363,0.012471541995182633,True,2.4615739734556996e-05,4.933031688192369e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,42,5,254,62,0.8548387096774194,0.8548387096774194,0.8548009367681498,0.3510758207905879,0.013805875089019537,True,3.3451314608967664e-05,5.027453972294982e-06,0.00610996205388544,0.007222472295108296,0.0008966743171109321,0.0009190827998574967
toeplitz_lda,42,5,254,62,0.8387096774193549,0.8387096774193548,0.8385416666666667,0.40235308385914675,0.01660154201090336,True,3.7795701882004096e-05,8.247159605900833e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,1,252,64,0.828125,0.828125,0.828083028083028,0.341532850714626,0.00975962495431304,True,0.00015806719429067861,2.0233787306089823e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,1,252,64,0.84375,0.84375,0.8435972629521017,0.32063528870327046,0.011925708968192339,True,0.00012568234740717443,1.6679581386291886e-05,0.006297798194790196,0.0078041422966816714,0.000894351603734387,0.0009316321907138299
shrinkage_lda,43,1,252,64,0.875,0.875,0.8748778103616813,0.30424405073789096,0.012954957783222198,True,4.850745653639521e-05,4.023459516666605e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,1,252,64,0.90625,0.90625,0.906158357771261,0.28674839711369277,0.013571874937042594,True,3.921598729395015e-05,2.675447493744043e-06,0.006297798194790196,0.0078041422966816714,0.000894351603734387,0.0009316321907138299
toeplitz_lda,43,1,252,64,0.859375,0.859375,0.8590653290922436,0.32290414720676464,0.016573875211179256,True,6.893518376505092e-05,7.72412161964553e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,2,252,64,0.8125,0.8125,0.8108374384236454,0.5068406984045455,0.009848291054368019,True,0.00014266868715662184,2.9734659794444784e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,2,252,64,0.796875,0.796875,0.7956276099238517,0.484284927953207,0.011049957945942879,True,0.00012977097595801013,2.1569577833391307e-05,0.006639336290711123,0.007279902185440191,0.0008994980363782831,0.000905492720257463
shrinkage_lda,43,2,252,64,0.796875,0.796875,0.7968253968253969,0.4660241992274452,0.01275866711512208,True,3.6131386665250176e-05,5.4302108011272665e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,2,252,64,0.765625,0.765625,0.7655677655677655,0.46461979197271097,0.012731125112622976,True,4.0628267504505544e-05,5.547062709276851e-06,0.006639336290711123,0.007279902185440191,0.0008994980363782831,0.000905492720257463
toeplitz_lda,43,2,252,64,0.8125,0.8125,0.8123167155425219,0.482662854178038,0.01721824984997511,True,4.958993034787085e-05,1.0644282301131014e-05,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,3,253,63,0.8253968253968254,0.8240927419354839,0.8237986270022883,0.39226225006980775,0.009700833819806576,True,0.00018629443311346527,4.020664678822117e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,3,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3525069162524143,0.011581124970689416,True,0.00011108428582917718,2.010002872157579e-05,0.006099593700885712,0.0072983108084151115,0.0009064408755316062,0.0009188162435502426
shrinkage_lda,43,3,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38622996811743093,0.012609749799594283,True,2.70379135532961e-05,5.943344584702359e-06,0.0,0.0,0.0,0.0
regularized_cssd_shrinkage_lda,43,3,253,63,0.8412698412698413,0.8407258064516129,0.8409090909090909,0.3410767710268213,0.012861166847869754,True,3.173020908953106e-05,6.834022269419648e-06,0.006099593700885712,0.0072983108084151115,0.0009064408755316062,0.0009188162435502426
toeplitz_lda,43,3,253,63,0.8571428571428571,0.8563508064516129,0.8565646344548443,0.40179541152111803,0.01728479191660881,True,2.8290809165110176e-05,6.927226526731722e-06,0.0,0.0,0.0,0.0
baseline_cssd_lda,43,4,253,63,0.8888888888888888,0.8901209677419355,0.8884391601315457,0.2750528174697381,0.009003083920106292,True,0.0001412144920770464,3.518403119395774e-05,0.0,0.0,0.0,0.0
regularized_cssd,43,4,253,63,0.9047619047619048,0.9057459677419355,0.9045454545454545,0.26078734205198456,0.011474583065137267,True,8.422850192513209e-05,1.9075243539834474e-05,0.006164397117027908,0.0073233660722099025,0.0008803900203826993,0.0009116858737544991
