fusion_training,subset,mean_accuracy,mean_balanced_accuracy,balanced_accuracy_seed_sd,worst_seed_balanced_accuracy,mean_macro_f1
in_sample,f1,0.5242616033755274,0.5243560469494852,0.024463272597952623,0.49050594880423026,0.5239955121922083
in_sample,f2,0.541139240506329,0.5410607699395105,0.04751529989820859,0.47450226334975765,0.5408871796749647
in_sample,f3,0.620253164556962,0.6204516017038549,0.0025022540269717198,0.6173737130953811,0.6198985738492118
in_sample,f1_f2,0.5421940928270043,0.5421490472566064,0.03496482221508469,0.4998597924928895,0.5420720330513172
in_sample,f1_f3,0.6128691983122362,0.6130339569229125,0.008250695247694095,0.6014902055041461,0.612581110538624
in_sample,f2_f3,0.5981012658227848,0.5981586080732818,0.015520146620819849,0.5791170932980811,0.5980650343494908
in_sample,f1_f2_f3,0.5981012658227848,0.5981319018814512,0.018665058540193687,0.5790369747225894,0.5980307989341805
inner_oof,f1,0.5021097046413502,0.5016758135373686,0.005401479973125289,0.49651484196610984,0.4993028069245374
inner_oof,f2,0.5348101265822786,0.5343575157900359,0.042796065161216375,0.474101670472299,0.5317649929738716
inner_oof,f3,0.6223628691983122,0.6224679191870636,0.0014638854777369822,0.6203981893201939,0.6222845253261194
inner_oof,f1_f2,0.541139240506329,0.5409539451721882,0.038747860169296454,0.4869607018387213,0.540098178183306
inner_oof,f1_f3,0.5938818565400844,0.5939256766681354,0.008199513098660974,0.5824620438248608,0.5937432808817915
inner_oof,f2_f3,0.6170886075949367,0.6170799449852448,0.0051687693815960865,0.6106838120418219,0.616992717692901
inner_oof,f1_f2_f3,0.6107594936708861,0.6107639306173135,0.0144164187934995,0.5948403637383327,0.6106886006461986
