session,held_month,matched_hidden_reference,matched_output_reference,hidden_state_kld,output_state_kld,output_delta_kld,chunk_hidden_kld_max,hidden_abnormal,output_state_abnormal,output_delta_abnormal,output_abnormal,temporal_abnormal,hidden_severe,output_state_severe,output_delta_severe,output_severe,temporal_severe,evidence_count,severe_evidence_count,diagnostic_decision,decision,hidden_state_kld_warning_threshold,hidden_state_kld_severe_threshold,hidden_state_kld_to_warning,hidden_state_kld_to_severe,output_state_kld_warning_threshold,output_state_kld_severe_threshold,output_state_kld_to_warning,output_state_kld_to_severe,output_delta_kld_warning_threshold,output_delta_kld_severe_threshold,output_delta_kld_to_warning,output_delta_kld_to_severe,chunk_hidden_kld_max_warning_threshold,chunk_hidden_kld_max_severe_threshold,chunk_hidden_kld_max_to_warning,chunk_hidden_kld_max_to_severe,decoder_r2_mean,layer1_decision,layer1_evidence_count,known_failure,layer2_flag,proposed_combined_decision
indy_20160407_02,2016-04,2016-06,2016-06,0.22993993897250764,0.12545120087643524,0.05850088119032665,2.396004505584935,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.16233041799940667,0.09793123639912683,0.725919985241876,1.1084454406016064,0.17281684404188846,0.1131776055737546,0.40981244855117693,0.7222472898670171,0.14275037617121364,0.08099840873213668,35.6359678592348,45.567121304645354,0.06723556702737421,0.05258187124804554,0.232095181941986,pass,0,False,False,pass
indy_20160411_01,2016-04,2016-06,2016-06,0.6123736324014046,0.26148150107025514,0.11944962084906899,1.6859341726477395,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.4323166656638124,0.26080944105349274,0.725919985241876,1.1084454406016064,0.36020705640598905,0.23589929778441474,0.40981244855117693,0.7222472898670171,0.2914738712095327,0.1653860423222391,35.6359678592348,45.567121304645354,0.04730990271703373,0.03699891773667665,0.4575966894626617,pass,0,False,False,pass
indy_20160411_02,2016-04,2016-06,2016-06,0.1616374269639591,0.04809761383527067,0.02429814886180162,1.1433204632509004,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.11411097698232071,0.06884125107490215,0.725919985241876,1.1084454406016064,0.06625745924221191,0.04339195423923237,0.40981244855117693,0.7222472898670171,0.059290899892630505,0.03364242303529514,35.6359678592348,45.567121304645354,0.032083328500214066,0.02509090832416364,0.4106753170490265,abstain,2,False,False,abstain
indy_20160418_01,2016-04,2016-06,2016-06,0.21368234115237517,0.08996073375443014,0.03819714555443787,1.5088156029308029,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.1508530615140512,0.09100713846938144,0.725919985241876,1.1084454406016064,0.12392651474453524,0.08115937010449892,0.40981244855117693,0.7222472898670171,0.09320640622186432,0.052886519742387506,35.6359678592348,45.567121304645354,0.042339683571686805,0.033111935968994075,0.4535753726959228,warning,1,False,False,warning
indy_20160419_01,2016-04,2016-06,2016-06,0.12827399189349498,0.005585102396483688,0.0030370621289984023,1.2557639545866925,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.09055743345662616,0.054631790719416914,0.725919985241876,1.1084454406016064,0.007693826468522885,0.0050386804725836435,0.40981244855117693,0.7222472898670171,0.007410858649451536,0.004205016995712919,35.6359678592348,45.567121304645354,0.0352386655961491,0.02755855359374377,0.3335324227809906,warning,1,False,False,warning
indy_20160420_01,2016-04,2016-06,2016-06,0.20731658883240023,0.078892349605592,0.07152392477743585,1.0066045518715665,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.14635903912020437,0.08829596963941888,0.725919985241876,1.1084454406016064,0.10867912608757441,0.07117386811819383,0.40981244855117693,0.7222472898670171,0.1745284337513335,0.09902968938880354,35.6359678592348,45.567121304645354,0.028246870011998628,0.02209058907061017,0.5221825838088989,pass,0,False,False,pass
indy_20160426_01,2016-04,2016-12,2016-12,0.1195965237254466,0.06472470004969355,0.057931521217424675,0.7055086793159595,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.4164932352564268,2.347973408967987,0.08443141184772134,0.05093606395568733,0.725919985241876,1.1084454406016064,0.08916230626730484,0.05839231925981342,0.40981244855117693,0.7222472898670171,0.1413610577771169,0.08021009151601143,35.6359678592348,45.567121304645354,0.01979765730238563,0.015482845067152315,0.5189104676246643,abstain,2,False,False,abstain
indy_20160622_01,2016-06,2016-04,2016-12,2.0652141574230063,1.2137192846659688,0.8835291786856228,34.39154561266538,True,True,True,True,False,False,False,True,True,False,2,1,abstain,pass,1.669748996043651,2.2967069078911555,1.2368410834900223,0.8992066642579541,1.1200364011282518,1.5549934150756866,1.0836427132576647,0.780530176461804,0.5280793683131539,0.8455228952539926,1.6730992189827139,1.044950034641242,79.40797001113988,104.36542079269866,0.4330994182050077,0.32953008143355655,0.4641484022140503,pass,0,False,False,pass
indy_20160624_03,2016-06,2016-04,2016-04,0.4660389605396489,0.27163802494329015,0.14112997942731223,82.38248501050352,False,False,False,False,True,False,False,False,False,False,1,0,warning,pass,1.669748996043651,2.2967069078911555,0.2791071961377994,0.20291616615877536,1.1200364011282518,1.5549934150756866,0.24252606850068417,0.1746875725065811,0.5280793683131539,0.8455228952539926,0.2672514547919649,0.16691443865031852,79.40797001113988,104.36542079269866,1.0374586455105999,0.789365715049816,0.6239809095859528,pass,0,False,False,pass
indy_20160627_01,2016-06,2016-10,2016-10,0.08067566240590862,0.033176118651712105,0.0390656995552367,1.4993848347149252,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.669748996043651,2.2967069078911555,0.04831604187040313,0.035126668591764415,1.1200364011282518,1.5549934150756866,0.02962057181203454,0.0213352148826285,0.5280793683131539,0.8455228952539926,0.07397694721538624,0.046203006180573596,79.40797001113988,104.36542079269866,0.018882044642427976,0.014366682214535001,0.6433223485946655,pass,0,False,False,pass
