trial,state,selection_score,tcn_filters,gru_hidden,tcn_blocks,kernel_size,gru_layers,parameters,receptive_field_bins,session_macro_r2,session_q10_r2,worst_session_r2,folds_completed,duration_seconds
0,COMPLETE,0.4993288870562207,64,64,4,3,1,78786,31,0.559709653709874,0.3181865870952606,-0.13647788763046265,5,351.771479
1,PRUNED,,96,96,4,4,2,266210,46,,,,,0.022922
2,COMPLETE,0.476106184585528,32,64,3,4,2,58434,22,0.5478496569575686,0.26087576746940616,-0.13653337955474854,5,298.868881
3,COMPLETE,0.47282624298875975,96,64,2,2,2,99682,4,0.5448101488026705,0.2568745255470276,-0.14378124475479126,5,1792.055686
4,COMPLETE,0.4565925794568929,32,32,3,2,1,14786,8,0.5316684110598131,0.23136508464813232,-0.18685346841812134,5,1518.743708
5,COMPLETE,0.47758961468935013,64,64,3,2,1,54146,8,0.5509747664133707,0.2574341595172882,-0.1675472855567932,5,241.699615
6,COMPLETE,0.491437984325669,48,96,4,4,1,82514,46,0.556597708752661,0.295958811044693,-0.1708616018295288,5,317.654807
7,COMPLETE,0.49739952046762814,96,64,3,2,2,118210,8,0.5517013921882167,0.3344939053058624,-0.16114389896392822,5,3198.86657
8,COMPLETE,0.4745320908047936,64,48,4,3,1,70210,31,0.5517910926631002,0.24275508522987368,-0.11795979738235474,5,3266.5048
9,PRUNED,0.42117584049701695,64,32,2,3,1,38466,7,,,,2,76.035243
10,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,253.634663
11,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,2159.914857
12,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,468.093457
13,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,404.728005
14,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,251.68096
15,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,254.960701
16,PRUNED,0.43605962544679644,48,48,2,3,1,31346,7,,,,2,67.080568
17,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,251.29645
18,PRUNED,0.4671147522957701,48,48,4,3,2,59378,31,,,,3,185.912608
19,PRUNED,0.43355300128459934,32,96,2,4,1,48034,10,,,,2,76.61393
20,PRUNED,0.43575678765773773,48,32,4,3,1,38994,31,,,,2,91.940684
21,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,254.128314
22,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,253.407523
23,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,252.784711
24,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,251.884635
25,COMPLETE,0.5038334499705922,48,48,4,3,1,45266,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,254.354576
26,PRUNED,0.4671147522957701,48,48,4,3,2,59378,31,,,,3,188.965959
27,PRUNED,0.42938595116138456,32,48,4,3,1,26466,31,,,,2,1081.265845
28,PRUNED,0.43677889853715895,96,96,3,2,1,118082,8,,,,2,1125.771807
29,PRUNED,0.4364854320883751,64,32,2,4,1,46658,10,,,,2,81.9373
