first_trial,trial_numbers,repeat_count,complete_repeats,state,tcn_filters,gru_hidden,tcn_blocks,kernel_size,gru_layers,selection_score,parameter_count,parameter_multiplier,receptive_field_bins,session_macro_r2,session_q10_r2,worst_session_r2,folds_completed,prune_reason
10,"10,11,12,13,14,15,17,21,22,23,24,25",12,12,COMPLETE,48,48,4,3,1,0.5038334499705922,45266,0.5745437006574772,31,0.5614567949916377,0.33096341490745546,-0.20001262426376343,5,
0,0,1,1,COMPLETE,64,64,4,3,1,0.4993288870562207,78786,1.0,31,0.559709653709874,0.3181865870952606,-0.13647788763046265,5,
7,7,1,1,COMPLETE,96,64,3,2,2,0.49739952046762814,118210,1.5003934709212297,8,0.5517013921882167,0.3344939053058624,-0.16114389896392822,5,
6,6,1,1,COMPLETE,48,96,4,4,1,0.491437984325669,82514,1.0473180514304572,46,0.556597708752661,0.295958811044693,-0.1708616018295288,5,
5,5,1,1,COMPLETE,64,64,3,2,1,0.47758961468935013,54146,0.6872540806742314,8,0.5509747664133707,0.2574341595172882,-0.1675472855567932,5,
2,2,1,1,COMPLETE,32,64,3,4,2,0.476106184585528,58434,0.741679993907547,22,0.5478496569575686,0.26087576746940616,-0.13653337955474854,5,
8,8,1,1,COMPLETE,64,48,4,3,1,0.4745320908047936,70210,0.8911481735333688,31,0.5517910926631002,0.24275508522987368,-0.11795979738235474,5,
3,3,1,1,COMPLETE,96,64,2,2,2,0.47282624298875975,99682,1.2652247861295154,4,0.5448101488026705,0.2568745255470276,-0.14378124475479126,5,
4,4,1,1,COMPLETE,32,32,3,2,1,0.4565925794568929,14786,0.1876729368161856,8,0.5316684110598131,0.23136508464813232,-0.18685346841812134,5,
18,"18,26",2,0,PRUNED,48,48,4,3,2,0.4671147522957701,59378,0.7536618180895083,31,,,,3,median_after_complete_fold
28,28,1,0,PRUNED,96,96,3,2,1,0.43677889853715895,118082,1.498768816794862,8,,,,2,median_after_complete_fold
29,29,1,0,PRUNED,64,32,2,4,1,0.4364854320883751,46658,0.5922118142817252,10,,,,2,median_after_complete_fold
16,16,1,0,PRUNED,48,48,2,3,1,0.43605962544679644,31346,0.39786256441499757,7,,,,2,median_after_complete_fold
20,20,1,0,PRUNED,48,32,4,3,1,0.43575678765773773,38994,0.4949356484654634,31,,,,2,median_after_complete_fold
19,19,1,0,PRUNED,32,96,2,4,1,0.43355300128459934,48034,0.6096768461401771,10,,,,2,median_after_complete_fold
27,27,1,0,PRUNED,32,48,4,3,1,0.42938595116138456,26466,0.33592262584723176,31,,,,2,median_after_complete_fold
9,9,1,0,PRUNED,64,32,2,3,1,0.42117584049701695,38466,0.48823395019419696,7,,,,2,median_after_complete_fold
1,1,1,0,PRUNED,96,96,4,4,2,,266210,3.3788998045338006,46,,,,0,parameter_cap
